User id;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Name;User 1;User 2;User 3;User 4;User 5;User 6;User 7;User 8;User 9;User 10;User 11;User 12;User 13;User 14;User 15;User 16;User 17;User 18;User 19;User 20
NFL index;1;2;3;3;4;2;5;5;6;1;3;5;6;5;6;5;3;1;2;3
PV cap;2;0;0;10;8;0;14;0;10;12;0;8;0;9;0;0;10;0;20;10
PV index;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BSS index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Node;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
TS index;[1,2];[2,3];[1,3];[1,2];[2,3];[1,3];[1,2];[2,3];[1,3];[1,2];[2,3];[1,3];[1,2];[2,3];[1,3];[1,3];[2,3];[1,3];[1,2];[2,3]
TS profile;[1,3];[2,4];[1,4];[1,3];[2,4];[2,4];[1,3];[2,4];[1,4];[2,4];[1,3];[2,4];[1,4];[2,4];[1,4];[2,4];[2,4];[1,4];[2,4];[1,4]
EV index;[1];[2];[3];[1];[2];[1];[2];[3];[2];[1];[2];[3];[1];[2];[1];[2];[3];[1];[2];[3]
EV usage;[1];[2];[3];[1];[2];[3];[2];[3];[3];[1];[2];[3];[2];[3];[2];[3];[1];[1];[2];[3]
HVAC1 index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HVAC1 profil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HVAC2 index;[1];[2];[1];[2];[2];[2];[1];[2];[1];[2];[1];[2];[2];[1];[2];[1];[2];[1];[2];[2]
HVAC2 profile;[1];[2];[1];[2];[2];[2];[1];[2];[1];[2];[1];[2];[2];[1];[2];[1];[2];[1];[2];[2]
Price index;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Alpha TS;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Alpha EV;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Alpha HVAC1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Alpha HVAC2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1


