,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited,Flex_EV
2024-01-01 00:00:00,19.5,19.5,19.5,12.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:00,19.5,19.499610649166318,19.498119800072075,12.0,300.0,0.0,0.0,0.0
2024-01-01 00:02:00,19.5,19.49928117773337,19.49624096119987,12.0,299.7828333521292,0.0,0.0,0.0
2024-01-01 00:03:00,19.5,19.49895082758022,19.494363517964487,12.0,299.5601490296751,0.0,0.0,0.0
2024-01-01 00:04:00,19.5,19.498619600067492,19.49248746865877,12.0,299.3377370969694,0.0,0.0,0.0
2024-01-01 00:05:00,19.5,19.49828749655396,19.49061281157782,12.0,299.11559719361213,0.0,0.0,0.0
2024-01-01 00:06:00,19.5,19.49795451839656,19.488739545018994,12.0,298.89372895968455,0.0,0.0,0.0
2024-01-01 00:07:00,19.5,19.49762066695039,19.486867667281903,12.0,298.67213203574784,0.0,0.0,0.0
2024-01-01 00:08:00,19.5,19.497285943568706,19.484997176668408,12.0,298.4508060628428,0.0,0.0,0.0
2024-01-01 00:09:00,19.5,19.49695034960293,19.483128071482614,12.0,298.22975068248996,0.0,0.0,0.0
2024-01-01 00:10:00,19.5,19.496613886402656,19.48126035003087,12.0,298.0089655366881,0.0,0.0,0.0
2024-01-01 00:11:00,19.5,19.49627655531565,19.479394010621768,12.0,297.78845026791316,0.0,0.0,0.0
2024-01-01 00:12:00,19.5,19.49593835768784,19.477529051566133,12.0,297.56820451911926,0.0,0.0,0.0
2024-01-01 00:13:00,19.5,19.495599294863343,19.475665471177035,12.0,297.3482279337364,0.0,0.0,0.0
2024-01-01 00:14:00,19.5,19.495259368184442,19.473803267769764,12.0,297.12852015567114,0.0,0.0,0.0
2024-01-01 00:15:00,19.5,19.494918578991605,19.471942439661845,12.0,296.9090808293049,0.0,0.0,0.0
2024-01-01 00:16:00,19.5,19.494576928623484,19.47008298517303,12.0,296.68990959949406,0.0,0.0,0.0
2024-01-01 00:17:00,19.5,19.494234418416916,19.468224902625284,12.0,296.47100611156884,0.0,0.0,0.0
2024-01-01 00:18:00,19.5,19.493891049706924,19.466368190342806,12.0,296.2523700113322,0.0,0.0,0.0
2024-01-01 00:19:00,19.5,19.493546823826723,19.464512846652003,12.0,296.0340009450608,0.0,0.0,0.0
2024-01-01 00:20:00,19.5,19.493201742107715,19.4626588698815,12.0,295.81589855950324,0.0,0.0,0.0
2024-01-01 00:21:00,19.5,19.4928558058795,19.46080625836213,12.0,295.59806250188,0.0,0.0,0.0
2024-01-01 00:22:00,19.5,19.492509016469878,19.458955010426934,12.0,295.38049241988114,0.0,0.0,0.0
2024-01-01 00:23:00,19.5,19.49216137520484,19.45710512441116,12.0,295.16318796166814,0.0,0.0,0.0
2024-01-01 00:24:00,19.5,19.491812883408592,19.45525659865226,12.0,294.9461487758722,0.0,0.0,0.0
2024-01-01 00:25:00,19.5,19.491463542403533,19.453409431489877,12.0,294.72937451159225,0.0,0.0,0.0
2024-01-01 00:26:00,19.5,19.491113353510272,19.451563621265862,12.0,294.51286481839674,0.0,0.0,0.0
2024-01-01 00:27:00,19.5,19.49076231804763,19.44971916632425,12.0,294.29661934632173,0.0,0.0,0.0
2024-01-01 00:28:00,19.5,19.490410437332635,19.44787606501127,12.0,294.08063774586986,0.0,0.0,0.0
2024-01-01 00:29:00,19.5,19.490057712680535,19.446034315675337,12.0,293.86491966801026,0.0,0.0,0.0
2024-01-01 00:30:00,19.5,19.48970414540479,19.444193916667054,12.0,293.64946476417856,0.0,0.0,0.0
2024-01-01 00:31:00,19.5,19.48934973681708,19.4423548663392,12.0,293.4342726862749,0.0,0.0,0.0
2024-01-01 00:32:00,19.5,19.488994488227302,19.440517163046742,12.0,293.2193430866645,0.0,0.0,0.0
2024-01-01 00:33:00,19.5,19.488638400943582,19.438680805146813,12.0,293.00467561817675,0.0,0.0,0.0
2024-01-01 00:34:00,19.5,19.488281476272274,19.43684579099872,12.0,292.7902699341042,0.0,0.0,0.0
2024-01-01 00:35:00,19.5,19.48792371551795,19.435012118963947,12.0,292.57612568820105,0.0,0.0,0.0
2024-01-01 00:36:00,19.5,19.487565119983426,19.43317978740614,12.0,292.36224253468555,0.0,0.0,0.0
2024-01-01 00:37:00,19.5,19.487205690969738,19.43134879469111,12.0,292.14862012823636,0.0,0.0,0.0
2024-01-01 00:38:00,19.5,19.486845429776164,19.429519139186834,12.0,291.9352581239936,0.0,0.0,0.0
2024-01-01 00:39:00,19.5,19.48648433770022,19.427690819263436,12.0,291.72215617755734,0.0,0.0,0.0
2024-01-01 00:40:00,19.5,19.48612241603766,19.425863833293207,12.0,291.50931394498696,0.0,0.0,0.0
2024-01-01 00:41:00,19.5,19.485759666082483,19.424038179650584,12.0,291.29673108280144,0.0,0.0,0.0
2024-01-01 00:42:00,19.5,19.48539608912693,19.42221385671216,12.0,291.0844072479778,0.0,0.0,0.0
2024-01-01 00:43:00,19.5,19.48503168646149,19.420390862856664,12.0,290.87234209795184,0.0,0.0,0.0
2024-01-01 00:44:00,19.5,19.484666459374903,19.418569196464983,12.0,290.66053529061503,0.0,0.0,0.0
2024-01-01 00:45:00,19.5,19.48430040915416,19.416748855920137,12.0,290.4489864843167,0.0,0.0,0.0
2024-01-01 00:46:00,19.5,19.483933537084503,19.414929839607286,12.0,290.23769533786185,0.0,0.0,0.0
2024-01-01 00:47:00,19.5,19.483565844449437,19.413112145913725,12.0,290.02666151051073,0.0,0.0,0.0
2024-01-01 00:48:00,19.5,19.483197332530718,19.411295773228883,12.0,289.8158846619786,0.0,0.0,0.0
2024-01-01 00:49:00,19.5,19.482828002608368,19.409480719944316,12.0,289.60536445243457,0.0,0.0,0.0
2024-01-01 00:50:00,19.5,19.482457855960675,19.40766698445371,12.0,289.39510054250155,0.0,0.0,0.0
2024-01-01 00:51:00,19.5,19.482086893864185,19.40585456515287,12.0,289.18509259325504,0.0,0.0,0.0
2024-01-01 00:52:00,19.5,19.48171511759372,19.404043460439734,12.0,288.9753402662236,0.0,0.0,0.0
2024-01-01 00:53:00,19.5,19.481342528422367,19.40223366871435,12.0,288.7658432233869,0.0,0.0,0.0
2024-01-01 00:54:00,19.5,19.48096912762149,19.400425188378875,12.0,288.5566011271764,0.0,0.0,0.0
2024-01-01 00:55:00,19.5,19.48059491646072,19.398618017837595,12.0,288.3476136404734,0.0,0.0,0.0
2024-01-01 00:56:00,19.5,19.48021989620798,19.396812155496892,12.0,288.1388804266098,0.0,0.0,0.0
2024-01-01 00:57:00,19.5,19.47984406812946,19.395007599765265,12.0,287.9304011493658,0.0,0.0,0.0
2024-01-01 00:58:00,19.5,19.479467433489635,19.39320434905331,12.0,287.72217547297197,0.0,0.0,0.0
2024-01-01 00:59:00,19.5,19.479089993551263,19.391402401773725,12.0,287.5142030621055,0.0,0.0,0.0
2024-01-01 01:00:00,19.5,19.478711749575396,19.389601756341314,12.0,287.3064835818918,0.0,0.0,0.0
2024-01-01 01:01:00,19.5,19.478332702821366,19.38780241117297,12.0,287.09901669790327,0.0,0.0,0.0
2024-01-01 01:02:00,19.5,19.4779528545468,19.386004364687683,12.0,286.89180207615857,0.0,0.0,0.0
2024-01-01 01:03:00,19.5,19.47757220600762,19.38420761530653,12.0,286.68483938312215,0.0,0.0,0.0
2024-01-01 01:04:00,19.5,19.47719075845804,19.382412161452677,12.0,286.47812828570346,0.0,0.0,0.0
2024-01-01 01:05:00,19.5,19.476808513150576,19.38061800155138,12.0,286.2716684512565,0.0,0.0,0.0
2024-01-01 01:06:00,19.5,19.47642547133604,19.378825134029967,12.0,286.0654595475797,0.0,0.0,0.0
2024-01-01 01:07:00,19.5,19.47604163426355,19.377033557317855,12.0,285.8595012429144,0.0,0.0,0.0
2024-01-01 01:08:00,19.5,19.475657003180526,19.37524326984653,12.0,285.65379320594525,0.0,0.0,0.0
2024-01-01 01:09:00,19.5,19.4752715793327,19.373454270049553,12.0,285.44833510579787,0.0,0.0,0.0
2024-01-01 01:10:00,19.5,19.474885363964106,19.371666556362563,12.0,285.243126612041,0.0,0.0,0.0
2024-01-01 01:11:00,19.5,19.4744983583171,19.369880127223258,12.0,285.03816739468357,0.0,0.0,0.0
2024-01-01 01:12:00,19.5,19.47411056363234,19.368094981071405,12.0,284.83345712417474,0.0,0.0,0.0
