,Occupancy,EV_plugged,EV_arrival,EV_departure,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,,,,15.0,14.99777483871414,14.978157735293982,12.0,115.26738855668057,1822.6012345679012,1822.6012345679012
2024-01-01 01:00:00,2.0,,,,15.0,14.992513623285651,14.935121997686627,12.0,111.78176562891973,1267.8037037037038,1267.8037037037038
2024-01-01 02:00:00,2.0,,,,15.0,14.984365128309879,14.88678034209922,11.0,145.20358716188576,534.8777777777779,534.8777777777779
2024-01-01 03:00:00,2.0,,,,15.0,14.973131160554429,14.833160064776418,11.0,139.5000136258464,1119.7555555555557,1119.7555555555557
2024-01-01 04:00:00,1.0,,,,18.5,14.960465303662131,14.781845393415004,11.0,133.59405719876662,1257.4790123456792,1257.4790123456792
2024-01-01 05:00:00,1.0,,,,18.5,14.944904957956611,14.725377885105473,10.0,166.6194428638381,356.5851851851852,356.5851851851852
2024-01-01 06:00:00,1.0,,,,18.5,14.926258971210817,14.663776901948255,10.0,160.53972614054445,356.5851851851852,356.5851851851852
2024-01-01 07:00:00,1.0,,,,18.5,14.906285671065929,14.604620527820462,10.0,154.2669573274051,644.3086419753088,644.3086419753088
2024-01-01 08:00:00,3.0,,,,18.5,14.891107356129623,14.54781063293225,10.0,147.86389773391815,247.15432098765436,247.15432098765436
2024-01-01 09:00:00,1.0,,,,18.5,14.887096003417666,14.49355206678147,10.0,140.70621456541323,772.6012345679013,772.6012345679013
2024-01-01 10:00:00,1.0,,,,18.5,14.905316572640182,14.449529324077044,11.0,93.43143338157037,1069.7555555555557,1069.7555555555557
2024-01-01 11:00:00,1.0,,,,18.5,14.954031727676465,14.423651018511356,12.0,44.97712270093519,1200.8938271604939,1200.8938271604939
2024-01-01 12:00:00,1.0,,,,18.5,15.008034894880979,14.408493885001189,12.0,36.78690032411011,1379.1864197530865,1379.1864197530865
2024-01-01 13:00:00,1.0,,,,18.5,15.05227350612952,14.3958564628209,12.0,30.612915002176997,1620.6493827160496,1620.6493827160496
2024-01-01 14:00:00,1.0,,,,18.5,15.076612813102681,14.385230028021024,12.0,26.642237040124748,268.86172839506173,268.86172839506173
2024-01-01 15:00:00,1.0,1,1,,18.5,15.065037146463142,14.375369571745853,12.0,26.362761506051957,641.462962962963,641.462962962963
2024-01-01 16:00:00,1.0,1,,,18.5,15.035056193267996,14.357894467485089,11.0,66.27028995423963,416.01604938271606,416.01604938271606
2024-01-01 17:00:00,1.0,1,,,18.5,15.00356551347985,14.332793237589897,11.0,66.56942627019308,850.0,850.0
2024-01-01 18:00:00,1.0,1,,,18.5,14.972400728511102,14.307832885974541,11.0,66.18861666446426,2305.527160493827,2305.527160493827
2024-01-01 19:00:00,1.0,1,,,18.5,14.941554344786146,14.283017958062251,11.0,65.79638897054616,2693.2506172839508,2693.2506172839508
2024-01-01 20:00:00,1.0,1,,,18.5,14.911019310861521,14.258352501675919,11.0,65.39401140295939,1698.941975308642,1698.941975308642
2024-01-01 21:00:00,1.0,1,,,18.5,14.879192090579554,14.2265493103894,10.0,103.48601135559849,2209.430864197531,2209.430864197531
2024-01-01 22:00:00,2.0,1,,,15.0,14.845751882782384,14.187785294347995,10.0,102.07087374466849,1534.7135802469138,1534.7135802469138
2024-01-01 23:00:00,2.0,1,,,15.0,14.812238043911005,14.149782300785043,10.0,100.1022193161993,1382.032098765432,1382.032098765432
