,WasherDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.09133166666666666,0.0,2.9,0.0
2024-01-01 01:00:00,0.001,0.001,0.08499999999999999,0.0,3.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.11349999999999999,0.0,3.0,2.95
2024-01-01 03:00:00,0.001,0.001,0.15383333333333335,0.0,3.0,3.0
2024-01-01 04:00:00,0.001,0.001,0.3845,0.0,0.65,3.0
2024-01-01 05:00:00,0.001,0.001,0.10400000000000001,0.0,2.45,3.0
2024-01-01 06:00:00,0.001,0.001,0.38003333333333333,0.0,2.25,3.0
2024-01-01 07:00:00,0.001,0.001,0.2423833333333333,0.0,3.0,3.0
2024-01-01 08:00:00,0.001,0.001,0.19656666666666667,4.4,3.0,3.0
2024-01-01 09:00:00,0.001,0.001,0.1148,0.0,3.0,3.0
2024-01-01 10:00:00,0.001,0.32927359522199706,0.12411666666666667,0.0,3.0,3.0
2024-01-01 11:00:00,0.001,0.5170030823924495,0.28806666666666664,0.0,3.0,3.0
2024-01-01 12:00:00,0.001,0.30874932666965155,0.20753333333333332,1.4666666666666666,3.0,3.0
2024-01-01 13:00:00,0.001,0.001,0.1982,0.9166666666666666,3.0,3.0
2024-01-01 14:00:00,0.001,0.001,0.11349999999999999,0.0,3.0,3.0
2024-01-01 15:00:00,0.001,0.001,0.16911666666666667,0.0,3.0,3.0
2024-01-01 16:00:00,0.001,0.001,0.2246,0.36666666666666664,3.0,3.0
2024-01-01 17:00:00,0.001,0.001,0.24676666666666666,0.0,3.0,3.0
2024-01-01 18:00:00,0.001,0.001,0.20045,0.0,3.0,3.0
2024-01-01 19:00:00,0.001,0.001,0.23641412152287417,0.0,3.0,3.0
2024-01-01 20:00:00,0.001,0.001,0.30944357538703754,0.0,3.0,3.0
2024-01-01 21:00:00,0.001,0.001,0.36772040903934017,0.0,3.0,3.0
2024-01-01 22:00:00,0.001,0.001,0.5111490821248896,0.0,1.45,3.0
2024-01-01 23:00:00,0.001,0.001,0.5267715272978057,0.0,0.0,3.0
