,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,T_set,Tref,Twall,Tout,T_ref,P_use,P_loss
2024-01-01 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.997795583679977,14.978136384225172,12.0,60,0.0,0.0
2024-01-01 01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.992657077732739,14.934974864744353,12.0,60,0.0,0.0
2024-01-01 02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.984744935785391,14.886392301178201,11.0,59,192.55599999999998,0.0
2024-01-01 03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.973867134107058,14.832411016068502,11.0,53,1155.3359999999998,0.0
2024-01-01 04:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.961663516885007,14.780630765619659,11.0,49,1540.448,0.0
2024-01-01 05:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.946659016338849,14.723607102610732,10.0,34,3851.12,0.0
2024-01-01 06:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.928669636871032,14.661353099942021,10.0,24,3273.4519999999998,0.0
2024-01-01 07:00:00,3.0,0.0,0.0,0.0,0.0,0.0,60.0,14.909360506055474,14.60146012468121,10.0,21,577.6679999999999,0.0
2024-01-01 08:00:00,3.0,0.0,0.0,0.0,0.0,0.0,60.0,14.891178648149877,14.543798847682597,10.0,6,7509.684,0.0
2024-01-01 09:00:00,3.0,1.0,0.0,0.0,0.7969444444444457,0.6900000000000001,60.0,14.877080297120953,14.488358673130168,10.0,0,3851.1200000000003,0.0
2024-01-01 10:00:00,3.0,0.0,0.0,0.0,0.0,0.0,60.0,14.87678763531549,14.442560229890221,11.0,0,2310.672,0.0
2024-01-01 11:00:00,3.0,1.0,0.0,0.0,0.7847222222222224,0.7694444444444445,60.0,14.898776748266084,14.414001195181775,12.0,0,3273.4519999999998,0.0
2024-01-01 12:00:00,1.0,1.0,0.0,0.0,0.9680555555555578,0.0,60.0,14.927299900068736,14.395133999187443,12.0,-1,3080.896,0.0
2024-01-01 13:00:00,1.0,1.0,0.0,0.0,1.151388888888893,0.0,60.0,14.951809995760515,14.378024821618794,12.0,0,1155.3359999999998,0.0
2024-01-01 14:00:00,3.0,1.0,0.0,0.0,1.3347222222222284,0.0,60.0,14.964854660568854,14.362427483189434,12.0,0,5584.124,0.0
2024-01-01 15:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.954165592977297,14.347618397511232,12.0,0,2888.3399999999997,0.0
2024-01-01 16:00:00,1.0,1.0,0.0,0.0,0.8947222222222234,0.7877777777777778,60.0,14.929592186651114,14.32560112383759,11.0,0,3273.4519999999998,0.0
2024-01-01 17:00:00,1.0,1.0,0.0,0.0,1.0780555555555587,0.0,60.0,14.902922572360602,14.296371943941226,11.0,0,385.11199999999997,0.0
2024-01-01 18:00:00,1.0,1.0,0.0,0.0,1.261388888888894,0.0,60.0,14.876260049115546,14.26765699896133,11.0,0,4621.344,0.0
2024-01-01 19:00:00,1.0,1.0,0.0,0.0,1.4447222222222293,0.0,60.0,14.849620614784362,14.239432173844962,11.0,0,385.11199999999997,0.0
2024-01-01 20:00:00,1.0,1.0,0.0,0.0,1.6280555555555647,0.0,60.0,14.823018947265014,14.211675016896741,11.0,-2,7894.795999999999,0.0
2024-01-01 21:00:00,2.0,1.0,0.0,0.0,1.8113888888889,0.0,60.0,14.794877645830923,14.177067608542947,10.0,0,14634.255999999998,0.0
2024-01-01 22:00:00,2.0,1.0,0.0,0.0,1.9947222222222354,0.0,60.0,14.764917949377471,14.135740222177,10.0,0,4813.9,0.0
2024-01-01 23:00:00,2.0,1.0,0.0,0.0,2.1780555555555705,0.0,60.0,14.734697935261334,14.095392577026685,10.0,0,7124.572,0.0
