,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.31533333333333335,0.0
2024-01-01 00:15:00,0.001,0.001,0.252,0.0
2024-01-01 00:30:00,0.001,0.001,0.1898,0.0
2024-01-01 00:45:00,0.001,0.001,0.017,0.0
2024-01-01 01:00:00,0.001,0.001,0.017,0.0
2024-01-01 01:15:00,0.001,0.001,0.207,0.0
2024-01-01 01:30:00,0.001,0.001,0.13099999999999998,0.0
2024-01-01 01:45:00,0.001,0.001,0.055,0.0
2024-01-01 02:00:00,0.001,0.001,0.5688,0.0
2024-01-01 02:15:00,0.001,0.001,0.017,0.0
2024-01-01 02:30:00,0.001,0.001,0.08033333333333334,2.6666666666666665
2024-01-01 02:45:00,0.001,0.001,0.207,0.0
2024-01-01 03:00:00,0.001,0.001,0.3342,0.0
2024-01-01 03:15:00,0.001,0.001,0.28353333333333336,0.0
2024-01-01 03:30:00,0.001,0.001,0.16899999999999998,0.0
2024-01-01 03:45:00,0.001,0.001,0.055,0.0
2024-01-01 04:00:00,0.001,0.001,0.14366666666666666,0.0
2024-01-01 04:15:00,0.001,0.001,0.19433333333333333,5.0
2024-01-01 04:30:00,0.001,0.001,0.017,4.666666666666667
2024-01-01 04:45:00,0.001,0.001,0.017,0.0
2024-01-01 05:00:00,0.001,0.001,0.093,0.0
2024-01-01 05:15:00,0.001,0.001,0.39753333333333335,0.0
2024-01-01 05:30:00,0.001,0.001,0.34026666666666666,0.0
2024-01-01 05:45:00,0.001,0.001,0.13099999999999998,0.0
2024-01-01 06:00:00,0.001,0.001,0.017,2.6666666666666665
2024-01-01 06:15:00,0.001,0.001,0.0654,0.0
2024-01-01 06:30:00,0.001,0.001,0.138,0.0
2024-01-01 06:45:00,0.001,0.001,0.39133333333333337,0.0
2024-01-01 07:00:00,0.001,0.001,0.341,0.0
2024-01-01 07:15:00,0.001,0.001,0.20166666666666666,0.0
2024-01-01 07:30:00,0.001,0.001,0.09453333333333333,0.0
2024-01-01 07:45:00,0.001,0.001,0.029999999999999995,1.6666666666666667
2024-01-01 08:00:00,0.001,0.001,0.023066666666666666,1.0
2024-01-01 08:15:00,0.001,0.001,0.25766666666666665,0.0
2024-01-01 08:30:00,0.001,0.001,0.2703333333333333,0.0
2024-01-01 08:45:00,0.001,0.001,0.017,0.0
2024-01-01 09:00:00,0.001,0.001,0.017,0.0
2024-01-01 09:15:00,0.001,0.001,0.017,0.0
2024-01-01 09:30:00,0.001,0.001,0.017,0.0
2024-01-01 09:45:00,0.001,0.001,0.245,0.0
2024-01-01 10:00:00,0.001,0.001,0.28300000000000003,2.6666666666666665
2024-01-01 10:15:00,0.001,0.001,0.017,0.0
2024-01-01 10:30:00,0.001,0.001,0.027399999999999997,0.0
2024-01-01 10:45:00,0.001,0.001,0.029999999999999995,0.0
2024-01-01 11:00:00,0.001,0.001,0.09333333333333332,0.0
2024-01-01 11:15:00,0.001,0.001,0.22,0.0
2024-01-01 11:30:00,0.001,0.001,0.22053333333333333,0.0
2024-01-01 11:45:00,0.001,0.001,0.055,0.0
2024-01-01 12:00:00,0.001,0.001,0.017,0.0
