,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.13566666666666669,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.09766666666666665,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.237,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.059666666666666666,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.17366666666666666,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.17366666666666666,0.0,0.0,0.1
2024-01-01 03:00:00,0.001,0.001,0.001,0.047,0.0,0.0,1.5
2024-01-01 03:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.9
2024-01-01 03:30:00,0.001,0.001,0.001,0.4468,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.059666666666666666,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.237,0.0,2.6666666666666665,0.1
2024-01-01 04:15:00,0.001,0.001,0.001,0.09766666666666665,0.0,0.8,1.5
2024-01-01 04:30:00,0.001,0.001,0.001,0.047,0.0,4.0,1.5
2024-01-01 04:45:00,0.001,0.001,0.001,0.047,0.0,4.0,1.5
2024-01-01 05:00:00,0.001,0.001,0.001,0.047,0.0,4.0,1.5
2024-01-01 05:15:00,0.001,0.001,0.001,0.13566666666666669,0.0,0.8,1.5
2024-01-01 05:30:00,0.001,0.001,0.001,0.21166666666666664,0.0,0.8,1.5
2024-01-01 05:45:00,0.001,0.001,0.001,0.047,0.0,4.0,1.5
2024-01-01 06:00:00,0.001,0.001,0.001,0.047,0.0,0.0,1.5
2024-01-01 06:15:00,0.001,0.001,0.001,0.047,0.0,0.0,1.5
2024-01-01 06:30:00,0.001,0.001,0.001,0.047,0.0,0.0,1.3
2024-01-01 06:45:00,0.001,0.001,0.001,0.21166666666666664,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.001,0.13566666666666669,0.0,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.001,0.09766666666666665,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.001,0.237,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.001,0.059666666666666666,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.001,0.047,0.0,2.6666666666666665,0.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.047,0.0,0.5333333333333333,0.0
2024-01-01 09:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.001,0.17366666666666666,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.001,0.17366666666666666,0.0,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.001,0.07006666666666667,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.001,0.25,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.001,0.11066666666666666,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.001,0.05999999999999999,0.0,0.0,1.4
2024-01-01 11:45:00,0.001,0.001,0.001,0.05046666666666667,0.0,0.0,1.5
2024-01-01 12:00:00,0.001,0.001,0.001,0.13532,0.0,0.0,1.5
2024-01-01 12:15:00,0.001,0.001,0.001,0.15774666666666667,0.0,0.0,0.5
2024-01-01 12:30:00,0.001,0.001,0.001,0.21166666666666664,0.0,3.2,0.0
2024-01-01 12:45:00,0.001,0.001,0.001,0.047,0.0,0.0,1.3
2024-01-01 13:00:00,0.001,0.001,0.001,0.047,0.0,0.0,1.5
2024-01-01 13:15:00,0.001,0.001,0.001,0.054799999999999995,0.0,0.0,1.3
2024-01-01 13:30:00,0.001,0.001,0.001,0.07603514555821907,0.0,0.0,0.9
2024-01-01 13:45:00,0.001,0.001,0.001,0.2680426063922544,0.0,0.0,1.5
2024-01-01 14:00:00,0.001,0.001,0.001,0.19204260639225446,0.0,0.0,1.2
2024-01-01 14:15:00,0.001,0.001,0.001,0.09644260639225448,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.001,0.0903759397255878,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.001,0.07934044684442587,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.001,0.11239102543136001,0.0,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.001,0.237,0.0,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.001,0.059666666666666666,0.0,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.047,0.0,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.001,0.17366666666666666,0.0,2.1333333333333333,0.0
