,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.001,0.6530759397255878,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.45500927305892114,0.0,2.0
2024-01-01 00:30:00,0.001,0.001,0.33734644277651843,0.0,3.0
2024-01-01 00:45:00,0.001,0.001,0.265718864019581,0.0,3.0
2024-01-01 01:00:00,0.001,0.001,0.7242255306862476,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.2466785710391924,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.14333333333333334,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.042,0.0,1.4
2024-01-01 02:00:00,0.001,0.001,0.042,0.0,1.4
2024-01-01 02:15:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.11800000000000001,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.232,0.0,2.4
2024-01-01 03:00:00,0.001,0.001,0.05466666666666667,0.0,3.0
2024-01-01 03:15:00,0.001,0.001,0.042,0.0,2.6
2024-01-01 03:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.042,0.0,0.8
2024-01-01 04:00:00,0.001,0.001,0.20666666666666667,0.0,3.0
2024-01-01 04:15:00,0.001,0.001,0.15600000000000003,0.0,0.2
2024-01-01 04:30:00,0.001,0.001,0.042,0.0,1.0
2024-01-01 04:45:00,0.001,0.001,0.042,0.0,1.6
2024-01-01 05:00:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.10533333333333333,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.232,0.0,0.8
2024-01-01 05:45:00,0.001,0.001,0.06733333333333333,0.0,3.0
2024-01-01 06:00:00,0.001,0.001,0.042,0.0,1.0
2024-01-01 06:15:00,0.001,0.001,0.44179999999999997,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.7270666666666666,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.1686666666666667,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.042,0.0,0.4
2024-01-01 08:00:00,0.001,0.001,0.0996,0.0,3.0
2024-01-01 08:15:00,0.001,0.001,0.245,0.0,0.8
2024-01-01 08:30:00,0.001,0.001,0.093,0.0,0.0
2024-01-01 08:45:00,0.2960260692674706,0.001,0.055,0.0,0.0
2024-01-01 09:00:00,1.7701289318849094,0.001,0.057917746440580974,0.0,0.0
2024-01-01 09:15:00,1.9710678818205933,0.001,1.7294237423726737,0.0,0.0
2024-01-01 09:30:00,1.9676199074311727,0.001,2.3281570757060073,0.0,2.0
2024-01-01 09:45:00,1.035182789394466,0.001,0.20615707570600686,0.0,2.0
2024-01-01 10:00:00,0.001,0.001,0.06682374237267351,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.049643165649689805,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.44179999999999997,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.08000000000000002,2.8,0.0
2024-01-01 11:00:00,0.001,0.001,0.24413333333333334,7.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.37220000000000003,7.0,0.0
2024-01-01 11:30:00,0.001,0.001,2.198248717529387,7.0,0.2
2024-01-01 11:45:00,0.001,0.001,2.2085521973529145,4.2,3.0
2024-01-01 12:00:00,0.001,0.001,0.4420855306862477,0.0,3.0
2024-01-01 12:15:00,0.001,0.001,0.33500711351109247,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.8992426063922545,1.4,0.4
2024-01-01 12:45:00,0.001,0.001,0.2193759397255878,2.3333333333333335,3.0
2024-01-01 13:00:00,0.001,0.001,0.21130927305892114,0.0,3.0
2024-01-01 13:15:00,0.001,0.001,0.10785158096089446,0.0,3.0
2024-01-01 13:30:00,0.001,0.001,0.5655292730589211,0.0,0.6
2024-01-01 13:45:00,0.001,0.001,0.656616945827449,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.5275855306862477,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.46425219735291434,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.3520333333333333,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.20094724338965037,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.4833904090393402,0.0,2.8
2024-01-01 15:15:00,0.001,0.001,0.6214570757060068,0.0,2.2
2024-01-01 15:30:00,0.001,0.001,0.5900570757060069,0.0,1.2
2024-01-01 15:45:00,0.001,0.001,0.3235237423726735,0.0,3.0
2024-01-01 16:00:00,0.001,0.001,0.8565904090393401,0.0,0.4
2024-01-01 16:15:00,0.047599999999999996,0.001,0.8692570757060067,0.0,0.0
2024-01-01 16:30:00,1.643048217049416,0.001,0.5177307020197287,0.0,0.0
2024-01-01 16:45:00,1.9473821803476017,0.001,0.42500927305892117,0.0,0.0
2024-01-01 17:00:00,1.9800067705896622,0.001,0.33521694582744904,0.0,0.0
2024-01-01 17:15:00,1.421988411811932,0.001,0.8437934448104722,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.4760759397255878,0.0,0.0
2024-01-01 17:45:00,0.001,0.11920751533575101,0.5774092730589211,0.0,1.8
2024-01-01 18:00:00,0.001,0.3770993350918567,0.653409273058921,0.0,2.8
2024-01-01 18:15:00,0.001,0.7261964883268495,0.4760759397255878,0.0,0.0
2024-01-01 18:30:00,0.001,0.13009393002600678,0.4681934448104722,0.0,0.0
2024-01-01 18:45:00,0.001,0.20773299504554338,1.4626521973529143,0.0,0.0
2024-01-01 19:00:00,0.001,1.216813004506753,1.9866680256013634,0.0,0.6
2024-01-01 19:15:00,0.001,0.5173311925843554,1.6814092730589212,0.0,3.0
2024-01-01 19:30:00,0.001,0.11589228021551379,0.5647426063922545,0.0,2.0
2024-01-01 19:45:00,0.001,0.2885587116668161,0.5830092730589211,0.0,3.0
2024-01-01 20:00:00,0.001,0.9191785643369471,0.9961426063922545,0.0,3.0
2024-01-01 20:15:00,0.001,0.001,0.4599229417595415,0.0,3.0
2024-01-01 20:30:00,0.001,0.001,0.5430718619856272,0.0,3.0
2024-01-01 20:45:00,0.001,0.001,0.6608759397255877,0.0,3.0
2024-01-01 21:00:00,0.001,0.001,0.4760759397255878,0.0,1.8
2024-01-01 21:15:00,0.001,0.001,0.4760759397255878,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.4760759397255878,0.0,0.0
2024-01-01 21:45:00,0.001,0.030528685607001272,0.43574260639225443,0.0,0.0
2024-01-01 22:00:00,0.001,0.14989578781234514,0.5784759397255878,0.0,2.8
2024-01-01 22:15:00,0.001,0.5244482883318516,0.9523855306862476,0.0,3.0
2024-01-01 22:30:00,0.001,0.8344073934396177,0.4614994407425647,0.0,0.2
2024-01-01 22:45:00,0.001,0.13497999927447052,0.4630759397255878,0.0,0.0
2024-01-01 23:00:00,0.001,0.2774706408661197,0.4630759397255878,0.0,0.0
2024-01-01 23:15:00,0.001,0.6517822434126704,0.5390759397255879,0.0,0.0
2024-01-01 23:30:00,0.001,0.11003856463190093,1.1861426063922547,0.0,0.2
2024-01-01 23:45:00,0.001,0.13970506768754115,0.46312172745108876,0.0,2.4
