,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.39183827805880383,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.9091,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.44203333333333333,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.31416666666666665,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.35403333333333337,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.4033666666666667,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.43842,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.5794666666666667,0.0,3.0
2024-01-01 02:30:00,0.001,0.001,0.167,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0702,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.08266666666666667,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.22466666666666668,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.18533333333333332,0.0,1.0
2024-01-01 03:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.046,0.0,4.0
2024-01-01 04:15:00,0.001,0.001,0.046,0.0,1.3333333333333333
2024-01-01 04:30:00,0.001,0.001,0.6010666666666666,0.0,0.6666666666666666
2024-01-01 04:45:00,0.001,0.001,0.29533333333333334,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.12933333333333333,0.0,3.0
2024-01-01 05:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.046,0.0,1.0
2024-01-01 05:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.066,3.2666666666666666,0.0
2024-01-01 06:15:00,0.001,0.001,0.346,0.0,0.3333333333333333
2024-01-01 06:30:00,0.001,0.001,0.08066666666666666,0.0,5.0
2024-01-01 06:45:00,0.001,0.001,0.046,0.0,2.0
2024-01-01 07:00:00,0.001,0.001,0.4458,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.12199999999999998,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.288,0.0,0.0
