,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.16766666666666669,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.24966666666666665,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.16366666666666668,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.27899999999999997,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.121,0.0,3.0,0.0
2024-01-01 03:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.15966666666666668,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.30833333333333335,0.0,0.0,1.4
2024-01-01 04:15:00,0.001,0.09566666666666665,0.0,4.0,1.0
2024-01-01 04:30:00,0.001,0.045,0.0,0.0,1.8
2024-01-01 04:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.045,0.0,3.0,0.0
2024-01-01 05:15:00,0.001,0.15566666666666668,0.0,2.0,0.0
2024-01-01 05:30:00,0.001,0.3376666666666666,0.0,5.0,0.0
2024-01-01 05:45:00,0.001,0.07033333333333333,0.0,5.0,0.0
2024-01-01 06:00:00,0.001,0.045,0.0,0.6666666666666666,0.0
2024-01-01 06:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.15899999999999997,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.3376666666666666,0.0,0.0,0.0
2024-01-01 07:15:00,0.001,0.06699999999999999,0.0,0.0,0.0
2024-01-01 07:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 07:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.18433333333333332,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.28300000000000003,4.666666666666667,0.0,0.0
2024-01-01 08:45:00,0.001,0.09633333333333334,5.133333333333334,0.0,0.0
2024-01-01 09:00:00,0.001,0.045,0.0,2.3333333333333335,0.0
2024-01-01 09:15:00,0.001,0.045,0.0,0.6666666666666666,0.0
2024-01-01 09:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.20966666666666667,0.0,2.0,0.0
2024-01-01 10:00:00,0.001,0.22833333333333333,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.12566666666666668,0.0,4.333333333333333,0.0
2024-01-01 10:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.045,0.4666666666666667,0.0,0.0
2024-01-01 11:15:00,0.001,0.235,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.17366666666666666,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.155,0.0,0.0,0.0
2024-01-01 12:00:00,0.001,0.045,0.0,0.0,0.0
