,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.2854904090393402,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.2568237423726735,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.077,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.09733333333333333,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.289,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.08733333333333333,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.05333333333333334,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.30066666666666664,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.11966666666666666,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.046,0.0,1.3333333333333333,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.046,0.0,5.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.046,0.0,5.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.25366666666666665,0.0,1.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.174,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.19933333333333333,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.4458,0.0,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.05413333333333334,0.0,2.3333333333333335,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.2816666666666667,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.37124175788233144,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.24355219735291428,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.1995521973529143,0.0,0.0,2.2
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.15888553068624764,0.0,0.0,3.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.07755219735291431,0.0,0.0,1.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.15985073245097145,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.19033333333333333,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.13399999999999998,0.0,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.13899999999999998,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.15666666666666668,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.6890666666666666,0.0,0.0,0.2
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,0.068,0.0,1.3333333333333333,3.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,0.4458,0.0,1.0,3.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,3.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.12866666666666668,0.0,0.0,3.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.6927333333333333,0.0,0.0,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.11933333333333333,0.0,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.112,0.0,0.0,2.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,1.2
2024-01-01 13:30:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,3.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.001,0.11833333333333335,0.0,0.0,3.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.001,0.17,0.0,0.0,0.2
2024-01-01 14:15:00,0.001,0.001,0.0,0.001,0.6083999999999999,0.0,0.0,0.8
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.156,0.0,0.0,2.4
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,3.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,1.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.10800000000000001,0.0,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.18033333333333335,0.0,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.14133333333333334,0.0,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.09000000000000001,4.0,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.09766666666666667,0.0,2.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.19066666666666668,0.0,0.3333333333333333,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.046,2.0,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.09733333333333333,0.0,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.13399999999999998,0.0,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.046,0.0,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.001,0.10941320617263786,0.0,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.001,0.24437593972558783,0.0,0.0,0.8
2024-01-01 18:45:00,0.001,0.001,0.0,0.001,0.0893759397255878,0.0,0.0,1.6
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.09670927305892114,0.0,0.0,0.0
