,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,15.0,0.44668449363727575,14.992557367428189,13.503785199956553,12.0,60.0,60.0,0.0,0.0
2024-01-01 00:15:00,2.0,15.0,0.44668449363727575,14.976761444426899,13.511723946471216,12.0,60.0,60.0,0.0,0.0
2024-01-01 00:30:00,2.0,15.0,0.44668449363727575,14.961198681783479,13.519399596028217,12.0,60.0,60.0,0.0,0.0
2024-01-01 00:45:00,2.0,15.0,0.44668449363727575,14.945864261252758,13.526818065068806,12.0,60.0,60.0,0.0,0.0
2024-01-01 01:00:00,2.0,15.0,0.44668449363727575,14.930753468682644,13.53398514109,12.0,60.0,60.0,0.0,0.0
2024-01-01 01:15:00,2.0,15.0,0.44668449363727575,14.915861691754696,13.540906485445968,12.0,60.0,60.0,0.0,0.0
2024-01-01 01:30:00,2.0,15.0,0.44668449363727575,14.90118441777372,13.547587636088572,12.0,60.0,60.0,0.0,0.0
2024-01-01 01:45:00,2.0,15.0,0.44668449363727575,14.886717231505418,13.554034010248408,12.0,60.0,60.0,0.0,0.0
2024-01-01 02:00:00,2.0,15.0,0.44668449363727575,14.872185765297285,13.558249821903742,11.0,60.0,60.0,0.0,0.0
2024-01-01 02:15:00,2.0,15.0,0.44668449363727575,14.857524829997223,13.559989348724999,11.0,60.0,60.0,0.0,0.0
2024-01-01 02:30:00,2.0,15.0,0.44668449363727575,14.84302719761991,13.561563104750118,11.0,60.0,60.0,0.0,0.0
2024-01-01 02:45:00,2.0,15.0,0.44668449363727575,14.82868966805,13.562974976050615,11.0,60.0,60.0,0.0,0.0
2024-01-01 03:00:00,2.0,15.0,0.44668449363727575,14.81450910989751,13.564228763662674,11.0,60.0,60.0,0.0,0.0
2024-01-01 03:15:00,2.0,15.0,0.44668449363727575,14.80048245900703,13.565328185435334,11.0,59.705600000000004,60.0,0.2567413333333333,0.0
2024-01-01 03:30:00,2.0,15.0,0.44668449363727575,14.786606716999218,13.56627687783856,11.0,59.448,60.0,0.0,0.0
2024-01-01 03:45:00,2.0,15.0,0.44668449363727575,14.772878949844053,13.567078397732026,11.0,59.448,60.0,0.0,0.0
2024-01-01 04:00:00,2.0,15.0,0.44668449363727575,14.759296286465002,13.56773622409549,11.0,59.26013492594362,60.0,0.5134826666666666,0.0
2024-01-01 04:15:00,1.0,17.8,0.44668449363727575,14.962104105400561,13.568722291515282,11.0,60.62302532250355,60.0,0.0,0.0
2024-01-01 04:30:00,1.0,18.5,0.44668449363727575,15.66251200437365,13.574357710688936,11.0,61.13903105590059,60.0,0.0,0.0
2024-01-01 04:45:00,2.0,15.233333333333333,0.44668449363727575,16.077455899954654,13.586071001104848,11.0,61.13903105590059,60.0,0.0,0.0
2024-01-01 05:00:00,2.0,17.333333333333332,0.44668449363727575,16.266928948257668,13.597555537781355,10.0,60.029233444816015,60.0,1.5404480000000003,0.0
2024-01-01 05:15:00,1.0,15.7,0.44668449363727575,16.525230213747722,13.609696109869203,10.0,59.99646211180118,60.0,0.770224,0.0
