,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.10533333333333333,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.048799999999999996,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.076,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.076,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.08000000000000002,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.232,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.09266666666666667,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.09266666666666667,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.232,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.08000000000000002,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.06693333333333333,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.076,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.057866666666666663,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.10533333333333333,0.0,0.5
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.7650666666666666,1.4666666666666666,0.8
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.06733333333333333,2.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.44179999999999997,0.26666666666666666,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.042,1.3333333333333333,0.6
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.042,0.26666666666666666,1.5
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.11800000000000001,1.4666666666666666,0.2
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.232,1.4666666666666666,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.4544666666666667,2.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.042,0.5333333333333333,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.042,0.0,1.3
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.042,0.0,1.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.13066666666666668,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.232,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.44179999999999997,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.042,0.0,0.6
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.6001961636157361,0.0,1.5
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.7222237423726736,0.0,0.5
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.24929040903934016,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.06289040903934016,2.0,1.3
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.08782374237267351,0.9333333333333333,1.5
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.07915299796604627,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.046533333333333336,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.15600000000000003,0.0,0.5
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.20666666666666667,0.0,1.5
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.042,0.0,0.1
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.042,0.0,0.2
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.042,0.0,1.5
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.5750666666666666,0.0,1.5
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,0.1686666666666667,0.0,1.5
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,0.194,0.0,0.6
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.042,0.0,1.1
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.04620695964705524,0.0,0.0
2024-01-01 13:00:00,0.31741391442306527,0.001,0.0,0.04455419540545832,0.21288553068624766,0.0,0.8
