,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.12399999999999999,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.20433333333333334,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.17200000000000001,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.133,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.19266666666666668,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.22533333333333333,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.2,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.09966666666666667,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.203,0.0,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.058333333333333334,0.0,3.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.08600000000000001,0.0,5.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.238,0.0,0.6666666666666666,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.14933333333333332,0.0,1.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.079,0.0,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.203,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.079,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.13666666666666666,0.0,1.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.09866666666666667,0.0,2.3333333333333335,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.058333333333333334,0.0,5.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.203,0.0,0.3333333333333333,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.09966666666666667,0.0,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.19266666666666668,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.12033333333333335,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0,1.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.6666666666666666,2.0
2024-01-01 09:45:00,0.001,0.11525299393937072,0.0,0.001,0.06013333333333334,0.0,1.3333333333333333,0.0
2024-01-01 10:00:00,0.001,1.6984739823927635,0.0,0.001,0.185,0.0,0.0,0.3333333333333333
2024-01-01 10:15:00,0.001,1.9571921555028464,0.0,0.001,0.20466666666666666,0.0,0.0,5.0
2024-01-01 10:30:00,0.001,1.9777871676156922,0.0,0.001,0.251,0.0,0.0,5.0
2024-01-01 10:45:00,0.001,0.7409794553679554,0.0,0.001,0.13666666666666666,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,3.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,1.5716666666666665,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,1.6037333333333335,0.0,0.0,2.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,0.276,0.0,0.0,3.6666666666666665
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.251,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.48840000000000006,0.0,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,3.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0,1.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.14366666666666666,0.0,0.0,0.0
