,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.0,0.4546237423726735,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.0548237423726735,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.0548237423726735,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.12579232723147213,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.09433333333333334,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.10166666666666666,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.109,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.087,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.12366666666666666,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.043,1.6
2024-01-01 04:30:00,0.001,0.001,0.0,0.07233333333333333,1.4666666666666666
2024-01-01 04:45:00,0.001,0.001,0.0,0.13833333333333334,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.043,2.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.043,1.6
2024-01-01 05:45:00,0.001,0.001,0.0,0.057666666666666665,1.7333333333333334
2024-01-01 06:00:00,0.001,0.001,0.0,0.153,2.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.043,2.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.043,0.4
2024-01-01 06:45:00,0.001,0.001,0.0,0.043,0.13333333333333333
2024-01-01 07:00:00,0.001,0.001,0.0,0.043,2.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.153,2.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.057666666666666665,1.0666666666666667
2024-01-01 07:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.13833333333333334,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.07233333333333333,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.12366666666666666,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.087,0.26666666666666666
2024-01-01 10:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.109,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.10166666666666666,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.043,1.6
2024-01-01 11:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.09433333333333334,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.11633333333333333,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.043,0.13333333333333333
2024-01-01 13:30:00,0.001,0.001,0.0,0.07966666666666665,2.0
