,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.20244871752938667,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.21261886401958094,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.24421886401958096,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.33021886401958095,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.3450805859607771,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.172,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.13973333333333332,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.051,3.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.241,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.15233333333333332,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.5840666666666666,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.18426666666666666,1.3333333333333333
2024-01-01 03:45:00,0.001,0.0,0.001,0.4508,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.11433333333333333,1.3333333333333333
2024-01-01 04:15:00,0.001,0.0,0.001,0.241,4.333333333333333
2024-01-01 04:30:00,0.001,0.0,0.001,0.089,5.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.051,5.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.051,3.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.17766666666666667,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.21566666666666665,3.3333333333333335
2024-01-01 06:15:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.051,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.051,0.6666666666666666
2024-01-01 07:15:00,0.001,0.0,0.001,0.05186666666666666,2.6666666666666665
2024-01-01 07:30:00,0.001,0.0,0.001,0.254,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.16533333333333333,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.064,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,1.9832,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.5501104394705829,3.3333333333333335
2024-01-01 08:45:00,0.001,0.0,0.001,0.0955521973529143,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.1588855306862476,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.2760188640195809,0.0
