,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0932816943019837,0.0,0.0
2024-01-01 00:15:00,0.001,0.10037593972558781,0.0,0.0
2024-01-01 00:30:00,0.001,0.10037593972558781,0.0,0.0
2024-01-01 00:45:00,0.001,0.23863564674519921,0.0,0.0
2024-01-01 01:00:00,0.001,0.22049040903934017,0.0,0.0
2024-01-01 01:15:00,0.001,0.0558237423726735,0.0,0.0
2024-01-01 01:30:00,0.001,0.12781966463271294,0.0,0.0
2024-01-01 01:45:00,0.001,0.165,0.0,0.0
2024-01-01 02:00:00,0.001,0.24100000000000002,0.0,0.0
2024-01-01 02:15:00,0.001,0.3549999999999999,0.0,0.0
2024-01-01 02:30:00,0.001,0.21566666666666665,0.0,0.0
2024-01-01 02:45:00,0.001,0.10853333333333334,0.0,0.0
2024-01-01 03:00:00,0.001,0.44380000000000003,0.0,0.0
2024-01-01 03:15:00,0.001,0.044,0.0,0.0
2024-01-01 03:30:00,0.001,0.234,0.0,0.0
2024-01-01 03:45:00,0.001,0.17066666666666666,0.0,0.5333333333333333
2024-01-01 04:00:00,0.001,0.044,0.0,1.8666666666666667
2024-01-01 04:15:00,0.001,0.044,0.0,1.6
2024-01-01 04:30:00,0.001,0.044,0.0,2.0
2024-01-01 04:45:00,0.001,0.158,0.0,2.0
2024-01-01 05:00:00,0.001,0.234,0.0,2.0
2024-01-01 05:15:00,0.001,0.056666666666666664,0.0,2.0
2024-01-01 05:30:00,0.001,0.044,0.0,2.0
2024-01-01 05:45:00,0.001,0.044,0.0,2.0
2024-01-01 06:00:00,0.001,0.082,0.0,2.0
2024-01-01 06:15:00,0.001,0.234,0.0,0.13333333333333333
2024-01-01 06:30:00,0.001,0.13266666666666665,0.0,0.0
2024-01-01 06:45:00,0.001,0.044,2.0,0.0
2024-01-01 07:00:00,0.001,0.044,7.0,0.0
2024-01-01 07:15:00,0.001,0.05526666666666667,0.0,0.0
2024-01-01 07:30:00,0.001,0.209,0.0,0.0
2024-01-01 07:45:00,0.001,0.22166666666666668,0.0,0.0
2024-01-01 08:00:00,0.001,0.05093333333333334,0.0,0.0
2024-01-01 08:15:00,0.001,0.044,0.0,0.0
2024-01-01 08:30:00,0.001,0.05093333333333334,0.0,0.0
2024-01-01 08:45:00,0.001,0.133,0.0,0.0
2024-01-01 09:00:00,0.001,0.247,0.0,0.0
2024-01-01 09:15:00,0.001,0.10766666666666666,0.0,0.0
2024-01-01 09:30:00,0.001,0.053533333333333336,0.0,0.0
2024-01-01 09:45:00,0.001,0.044,0.0,0.0
2024-01-01 10:00:00,0.001,0.044,0.0,2.0
2024-01-01 10:15:00,0.001,0.234,0.0,0.0
2024-01-01 10:30:00,0.001,0.17066666666666666,0.0,0.0
2024-01-01 10:45:00,0.001,0.048206959647055236,0.0,0.0
2024-01-01 11:00:00,0.001,0.07555219735291431,0.0,0.0
