,WasherDryer,TumbleDryer,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.11533333333333333,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.37633333333333335,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.23366666666666666,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.11800000000000001,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.18666666666666665,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.397,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.15633333333333335,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.10333333333333333,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.2786666666666667,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.336,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.14,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.08866666666666667,0.0,1.8
2024-01-01 04:15:00,0.001,0.001,0.052,0.0,3.0
2024-01-01 04:30:00,0.001,0.001,0.07733333333333332,0.0,1.8
2024-01-01 04:45:00,0.001,0.001,0.3453333333333333,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.24400000000000002,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.15466666666666667,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.074,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.052,0.0,1.4
2024-01-01 06:00:00,0.001,0.001,0.128,0.0,2.0
2024-01-01 06:15:00,0.001,0.001,0.3866666666666667,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.15933333333333335,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.162,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.059333333333333335,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.20966666666666667,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.38433333333333336,0.0,0.2
2024-01-01 08:00:00,0.001,0.001,0.09466666666666666,0.0,3.0
2024-01-01 08:15:00,0.001,0.001,0.15466666666666667,0.0,0.2
2024-01-01 08:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.3016666666666667,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.313,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.08866666666666667,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.14,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.5850666666666666,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.09,0.0,1.4
2024-01-01 10:30:00,0.001,0.001,0.3556666666666667,0.0,2.2
2024-01-01 10:45:00,0.528356524038442,0.001,0.221,0.0,0.0
2024-01-01 11:00:00,0.7920347860576631,0.001,0.5031333333333333,0.0,0.0
2024-01-01 11:15:00,0.7920347860576631,0.001,1.1156,0.0,0.0
2024-01-01 11:30:00,0.7920347860576631,0.001,2.174,0.0,0.0
2024-01-01 11:45:00,0.7920347860576631,0.001,1.5553333333333332,1.4666666666666666,0.0
2024-01-01 12:00:00,0.7920347860576631,0.001,0.4017294969490694,11.0,0.0
2024-01-01 12:15:00,0.7920347860576631,0.001,0.17701040903934018,9.533333333333333,0.0
2024-01-01 12:30:00,0.7920347860576631,0.001,0.2655237423726735,0.0,0.0
2024-01-01 12:45:00,0.7920347860576631,0.001,0.25819040903934015,0.0,0.0
2024-01-01 13:00:00,0.7920347860576631,0.001,0.1995237423726735,0.0,0.0
2024-01-01 13:15:00,0.7920347860576631,0.001,0.37861391005631706,0.0,0.0
2024-01-01 13:30:00,0.7920347860576631,0.001,0.5073666666666667,0.0,0.0
2024-01-01 13:45:00,0.7920347860576631,0.001,0.1980333333333333,0.0,0.0
2024-01-01 14:00:00,0.1592069572115326,0.001,0.2683666666666666,0.0,1.4
2024-01-01 14:15:00,0.001,0.001,0.23169999999999996,0.0,1.4
2024-01-01 14:30:00,0.001,0.001,0.18769999999999998,1.4666666666666666,0.0
2024-01-01 14:45:00,0.001,0.001,0.46036666666666665,6.6,0.0
2024-01-01 15:00:00,0.001,0.001,0.9587666666666667,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.18769999999999998,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.2830333333333333,0.0,1.2
2024-01-01 15:45:00,0.001,0.001,0.2170333333333333,0.0,0.4
2024-01-01 16:00:00,0.001,0.001,0.23836666666666667,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.5017,3.6666666666666665,0.0
2024-01-01 16:30:00,0.001,0.001,0.33370000000000005,0.7333333333333333,0.0
2024-01-01 16:45:00,0.001,0.001,0.18769999999999998,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.3166313184117486,0.0,3.0
2024-01-01 17:15:00,0.001,0.001,0.23391886401958095,0.0,0.4
2024-01-01 17:30:00,0.001,0.001,0.2585455306862476,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.4285521973529143,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.1375521973529143,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.08559798507841525,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.162,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.25566666666666665,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.359,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.052,0.0,1.8
2024-01-01 19:45:00,0.001,0.001,0.08133333333333333,0.0,1.6
2024-01-01 20:00:00,0.001,0.001,0.14733333333333334,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.06466666666666666,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.335,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.267,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.096,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.13266666666666665,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.11533333333333333,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.37633333333333335,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.175,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.11066666666666668,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.11800000000000001,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.18666666666666665,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.397,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.08299999999999999,0.0,0.0
2024-01-02 00:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 00:15:00,0.001,0.001,0.12533333333333335,0.0,0.0
2024-01-02 00:30:00,0.001,0.001,0.10333333333333333,0.0,0.0
2024-01-02 00:45:00,0.001,0.001,0.2786666666666667,0.0,0.0
2024-01-02 01:00:00,0.001,0.001,0.336,0.0,0.0
2024-01-02 01:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 01:45:00,0.001,0.001,0.14,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.114,0.0,0.0
2024-01-02 02:15:00,0.001,0.001,0.3453333333333333,0.0,0.0
2024-01-02 02:30:00,0.001,0.001,0.24400000000000002,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 03:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.15466666666666667,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.15,0.0,0.0
2024-01-02 03:45:00,0.001,0.001,0.3866666666666667,0.0,0.0
2024-01-02 04:00:00,0.001,0.001,0.152,0.0,0.0
2024-01-02 04:15:00,0.001,0.001,0.052,0.0,2.0
2024-01-02 04:30:00,0.001,0.001,0.05933333333333333,0.0,1.6
2024-01-02 04:45:00,0.001,0.001,0.162,0.0,0.0
2024-01-02 05:00:00,0.001,0.001,0.217,1.4666666666666666,0.6
2024-01-02 05:15:00,0.001,0.001,0.38433333333333336,3.6666666666666665,0.6
2024-01-02 05:30:00,0.001,0.001,0.07266666666666666,0.0,0.0
2024-01-02 05:45:00,0.001,0.001,0.052,0.0,0.8
2024-01-02 06:00:00,0.001,0.001,0.074,0.0,1.6
2024-01-02 06:15:00,0.001,0.001,0.15466666666666667,0.0,0.0
2024-01-02 06:30:00,0.001,0.001,0.3016666666666667,0.0,0.2
2024-01-02 06:45:00,0.001,0.001,0.313,0.0,3.0
2024-01-02 07:00:00,0.001,0.001,0.052,0.0,1.6
2024-01-02 07:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 07:30:00,0.001,0.001,0.08866666666666667,0.0,0.0
2024-01-02 07:45:00,0.001,0.001,0.178,0.0,0.0
2024-01-02 08:00:00,0.001,0.001,0.3556666666666667,0.0,0.0
2024-01-02 08:15:00,0.001,0.001,0.221,0.0,0.0
2024-01-02 08:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 08:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 09:00:00,0.001,0.001,0.10333333333333333,0.0,0.2
2024-01-02 09:15:00,0.001,0.001,0.214,0.0,3.0
2024-01-02 09:30:00,0.001,0.001,0.397,0.0,0.6
2024-01-02 09:45:00,0.001,0.001,0.129,0.0,0.0
2024-01-02 10:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 10:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 10:30:00,0.001,0.001,0.11800000000000001,0.0,0.0
2024-01-02 10:45:00,0.001,0.001,0.29133333333333333,0.0,0.0
2024-01-02 11:00:00,0.001,0.001,0.3716666666666667,0.0,0.0
2024-01-02 11:15:00,0.001,0.001,0.06233333333333333,0.0,0.0
2024-01-02 11:30:00,0.001,0.001,0.052,0.0,0.8
2024-01-02 11:45:00,0.001,0.001,0.052,0.0,2.8
2024-01-02 12:00:00,0.001,0.001,0.13266666666666665,0.0,0.0
2024-01-02 12:15:00,0.001,0.001,0.3686666666666667,0.0,0.0
2024-01-02 12:30:00,0.001,0.001,0.29000000000000004,3.6666666666666665,0.0
2024-01-02 12:45:00,0.001,0.001,0.052,11.0,0.0
2024-01-02 13:00:00,0.001,0.001,0.052,3.6666666666666665,0.0
2024-01-02 13:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 13:30:00,0.001,0.001,0.19799999999999998,0.0,0.0
2024-01-02 13:45:00,0.001,0.001,0.3953333333333333,0.0,0.0
2024-01-02 14:00:00,0.001,0.001,0.198,0.0,0.8
2024-01-02 14:15:00,0.001,0.001,0.052,0.0,1.6
2024-01-02 14:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 14:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 15:00:00,0.001,0.001,0.2736666666666666,0.0,0.0
2024-01-02 15:15:00,0.001,0.001,0.41166666666666674,0.0,0.0
2024-01-02 15:30:00,0.001,0.001,0.106,0.0,0.0
2024-01-02 15:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 16:00:00,0.001,0.001,0.052,0.0,1.6
2024-01-02 16:15:00,0.001,0.001,0.06666666666666667,0.0,1.6
2024-01-02 16:30:00,0.001,0.001,0.36566666666666664,10.266666666666667,0.0
2024-01-02 16:45:00,0.001,0.001,0.359,1.4666666666666666,0.0
2024-01-02 17:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 17:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 17:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 17:45:00,0.001,0.001,0.094,0.0,0.0
2024-01-02 18:00:00,0.001,0.001,0.43033333333333335,0.0,0.0
2024-01-02 18:15:00,0.001,0.001,0.267,0.0,0.0
2024-01-02 18:30:00,0.001,0.001,0.052,0.0,1.2
2024-01-02 18:45:00,0.001,0.001,0.052,0.0,2.2
2024-01-02 19:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-02 19:15:00,0.001,0.001,0.1593333333333333,0.0,0.0
2024-01-02 19:30:00,0.001,0.001,0.5618666666666667,0.0,0.0
2024-01-02 19:45:00,0.001,0.001,0.6958,0.0,0.0
2024-01-02 20:00:00,0.001,0.001,0.173,0.0,0.0
2024-01-02 20:15:00,0.001,0.001,0.173,0.0,0.0
2024-01-02 20:30:00,0.001,0.001,0.1488,0.0,0.0
2024-01-02 20:45:00,0.001,0.001,0.24533333333333332,0.0,0.0
2024-01-02 21:00:00,0.001,0.001,0.463,0.0,0.0
2024-01-02 21:15:00,0.001,0.001,0.08299999999999999,0.0,2.8
2024-01-02 21:30:00,0.001,0.001,0.052,0.0,0.6
2024-01-02 21:45:00,0.001,0.001,0.055152997966046266,0.0,0.0
2024-01-02 22:00:00,0.001,0.001,0.0638237423726735,0.0,0.0
2024-01-02 22:15:00,0.001,0.001,0.3890655002550049,0.0,0.0
2024-01-02 22:30:00,0.001,0.001,0.43070927305892115,0.0,0.0
2024-01-02 22:45:00,0.001,0.001,0.09537593972558782,0.0,0.0
2024-01-02 23:00:00,0.001,0.001,0.08828169430198371,0.0,0.0
2024-01-02 23:15:00,0.001,0.001,0.05620695964705524,0.0,0.0
2024-01-02 23:30:00,0.001,0.001,0.07733333333333332,0.0,0.0
2024-01-02 23:45:00,0.001,0.001,0.43333333333333335,0.0,0.0
2024-01-03 00:00:00,0.001,0.001,0.2806666666666667,0.0,0.0
2024-01-03 00:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 00:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 00:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 01:00:00,0.001,0.001,0.128,0.0,0.0
2024-01-03 01:15:00,0.001,0.001,0.48933333333333334,0.0,0.0
2024-01-03 01:30:00,0.001,0.001,0.174,0.0,0.0
2024-01-03 01:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 02:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 02:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 02:30:00,0.001,0.001,0.217,0.0,0.0
2024-01-03 02:45:00,0.001,0.001,0.49433333333333335,0.0,0.0
2024-01-03 03:00:00,0.001,0.001,0.08,0.0,0.0
2024-01-03 03:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 03:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 03:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 04:00:00,0.001,0.001,0.3236666666666667,0.0,0.0
2024-01-03 04:15:00,0.001,0.001,0.4156666666666667,0.0,0.6
2024-01-03 04:30:00,0.001,0.001,0.052,0.0,1.8
2024-01-03 04:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 05:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 05:15:00,0.001,0.001,0.09,0.0,0.0
2024-01-03 05:30:00,0.001,0.001,0.3923333333333333,0.0,1.4
2024-01-03 05:45:00,0.001,0.001,0.309,0.0,3.0
2024-01-03 06:00:00,0.001,0.001,0.052,0.0,3.0
2024-01-03 06:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 06:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 06:45:00,0.001,0.001,0.14066666666666666,0.0,0.0
2024-01-03 07:00:00,0.001,0.001,0.44833333333333336,0.0,0.0
2024-01-03 07:15:00,0.001,0.001,0.20233333333333334,0.0,0.0
2024-01-03 07:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 07:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 08:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 08:15:00,0.001,0.001,0.2326666666666667,0.0,0.0
2024-01-03 08:30:00,0.001,0.001,0.4376666666666667,0.0,0.0
2024-01-03 08:45:00,0.001,0.001,0.121,0.0,2.6
2024-01-03 09:00:00,0.001,0.001,0.052,0.0,0.8
2024-01-03 09:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 09:30:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 09:45:00,0.001,0.001,0.32466666666666666,0.0,0.0
2024-01-03 10:00:00,0.001,0.001,0.3706666666666667,5.133333333333334,0.0
2024-01-03 10:15:00,0.001,0.001,0.096,9.533333333333333,0.6
2024-01-03 10:30:00,0.001,0.001,0.052,0.0,2.8
2024-01-03 10:45:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 11:00:00,0.001,0.001,0.10266666666666667,0.0,0.0
2024-01-03 11:15:00,0.001,0.001,0.366,0.0,0.0
2024-01-03 11:30:00,0.001,0.001,0.29333333333333333,0.0,0.0
2024-01-03 11:45:00,0.001,0.001,0.08133333333333333,0.0,0.0
2024-01-03 12:00:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 12:15:00,0.001,0.001,0.052,0.0,0.0
2024-01-03 12:30:00,0.001,0.001,0.16366666666666668,0.0,0.0
2024-01-03 12:45:00,0.001,0.001,0.397,0.0,0.0
