,WasherDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.4001759397255878,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.3403759397255878,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.3403759397255878,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.2839092730589211,1.0666666666666667,1.0
2024-01-01 01:00:00,0.001,0.0,0.3214934448104721,0.5333333333333333,1.5
2024-01-01 01:15:00,0.001,0.0,0.29831043947058283,0.0,0.1
2024-01-01 01:30:00,0.001,0.0,0.252,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.08726666666666666,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.5880666666666666,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.10633333333333334,0.0,0.8
2024-01-01 02:30:00,0.001,0.0,0.12833333333333333,0.0,1.5
2024-01-01 02:45:00,0.001,0.0,0.7654000000000001,0.0,1.5
2024-01-01 03:00:00,0.001,0.0,0.4547999999999999,0.0,0.3
2024-01-01 03:15:00,0.001,0.0,0.055,0.0,1.4
2024-01-01 03:30:00,0.001,0.0,0.07309333333333333,0.0,1.5
2024-01-01 03:45:00,0.001,0.0,0.2933666666666666,0.0,0.2
2024-01-01 04:00:00,0.001,0.0,0.3013666666666666,0.0,1.4
2024-01-01 04:15:00,0.001,0.0,0.27936666666666665,1.7333333333333334,0.9
2024-01-01 04:30:00,0.001,0.0,0.19069999999999998,2.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.19069999999999998,2.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.2347,2.0,0.7
2024-01-01 05:15:00,0.001,0.0,0.6832999999999998,2.0,1.5
2024-01-01 05:30:00,0.001,0.0,0.5143,2.0,1.5
2024-01-01 05:45:00,0.001,0.0,0.2037,2.0,1.5
2024-01-01 06:00:00,0.001,0.0,0.2037,2.0,1.5
2024-01-01 06:15:00,0.001,0.0,0.20023333333333332,2.0,1.5
2024-01-01 06:30:00,0.001,0.0,0.2860333333333333,2.0,1.5
2024-01-01 06:45:00,0.001,0.0,0.2960333333333333,2.0,0.5
2024-01-01 07:00:00,0.001,0.0,0.2920333333333333,2.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.19069999999999998,2.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.21663333333333332,0.4,0.0
2024-01-01 07:45:00,0.001,0.0,0.36136666666666667,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.4127,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.48936666666666667,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.3269666666666666,1.7333333333333334,0.2
2024-01-01 08:45:00,0.001,0.0,0.21094,1.6,1.1
2024-01-01 09:00:00,0.001,0.0,0.08413333333333334,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.156,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.168,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.17853333333333332,0.0,0.7
2024-01-01 10:00:00,0.001,0.0,0.055,0.9333333333333333,0.3
2024-01-01 10:15:00,0.001,0.0,0.4547999999999999,2.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.08433333333333334,0.13333333333333333,0.0
2024-01-01 10:45:00,0.001,0.0,0.15033333333333332,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.207,0.0,1.3
2024-01-01 11:15:00,0.001,0.0,0.6134,0.0,1.5
2024-01-01 11:30:00,0.001,0.0,0.055,0.0,1.5
2024-01-01 11:45:00,0.001,0.0,0.055,0.0,0.4
2024-01-01 12:00:00,0.001,0.0,0.13566666666666669,1.6,0.0
2024-01-01 12:15:00,0.001,0.0,1.2163333333333335,1.3333333333333333,0.8
2024-01-01 12:30:00,0.001,0.0,1.915,0.0,1.5
2024-01-01 12:45:00,0.3701495668269094,0.0,0.055,0.0,1.5
2024-01-01 13:00:00,0.7920347860576631,0.0006666666666666666,0.17007161139213717,0.0,0.0
2024-01-01 13:15:00,0.7920347860576631,1.2004666666666668,0.9088855306862477,0.0,0.0
2024-01-01 13:30:00,0.7920347860576631,0.001,0.7293248599516736,0.0,0.0
2024-01-01 13:45:00,0.7920347860576631,0.001,0.37170927305892115,0.0,0.3
2024-01-01 14:00:00,0.7920347860576631,0.0008666666666666667,0.33224172745108876,0.0,1.5
2024-01-01 14:15:00,0.7920347860576631,2.1000666666666667,0.8292570757060068,1.3333333333333333,0.0
2024-01-01 14:30:00,0.7920347860576631,1.2004666666666668,0.22183418184325635,1.4666666666666666,0.0
2024-01-01 14:45:00,0.7920347860576631,1.3504,0.3148915266183402,0.0,0.5
2024-01-01 15:00:00,0.7920347860576631,0.0007333333333333333,1.3318521973529143,0.0,1.5
2024-01-01 15:15:00,0.7920347860576631,0.0,0.48752677814380546,0.0,0.6
2024-01-01 15:30:00,0.7920347860576631,0.0,0.46900927305892115,0.0,0.2
2024-01-01 15:45:00,0.7392991336538189,0.0,0.45814462131383926,0.0,1.1
2024-01-01 16:00:00,0.001,0.0,0.46019040903934016,0.0,0.7
2024-01-01 16:15:00,0.001,0.0,0.4579237423726735,0.0,1.5
2024-01-01 16:30:00,0.001,0.0,0.36321774644058097,0.5333333333333333,1.5
2024-01-01 16:45:00,0.001,0.0,0.3409472433896504,2.0,1.5
2024-01-01 17:00:00,0.001,0.0,0.4097237423726735,0.26666666666666666,0.9
2024-01-01 17:15:00,0.001,0.0,0.4585237423726735,0.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.5245237423726735,0.0,1.5
2024-01-01 17:45:00,0.001,0.0,0.5775275787569375,0.0,0.1
2024-01-01 18:00:00,0.001,0.0,0.6740200000000001,0.0,0.0
2024-01-01 18:15:00,0.001,0.0,0.3117,0.0,0.0
2024-01-01 18:30:00,0.001,0.0,0.3117,0.0,0.9
2024-01-01 18:45:00,0.001,0.0,0.31903333333333334,0.0,1.5
2024-01-01 19:00:00,0.001,0.0,0.5447251953189606,0.8,1.5
2024-01-01 19:15:00,0.001,0.0,1.115209273058921,2.0,1.5
2024-01-01 19:30:00,0.001,0.0,0.5320759397255878,0.0,1.5
2024-01-01 19:45:00,0.001,0.0,0.5707426063922545,0.0,1.5
2024-01-01 20:00:00,0.001,0.0,0.6005585406079497,0.0,1.5
2024-01-01 20:15:00,0.001,0.0,0.6508112879805059,0.0,1.5
2024-01-01 20:30:00,0.001,0.0,0.6819426063922545,0.0,1.5
2024-01-01 20:45:00,0.001,0.0,1.295809273058921,0.0,1.5
2024-01-01 21:00:00,0.001,0.0,0.5980759397255878,0.0,1.5
2024-01-01 21:15:00,0.001,0.0,0.5174092730589211,0.0,1.5
2024-01-01 21:30:00,0.001,0.0,0.6863959397255878,0.4,1.5
2024-01-01 21:45:00,0.1064713048076884,0.0,0.7080759397255878,2.0,1.5
2024-01-01 22:00:00,0.7920347860576631,0.0,0.6734092730589211,0.4,1.5
2024-01-01 22:15:00,0.7920347860576631,0.0,0.5520759397255878,0.0,1.5
2024-01-01 22:30:00,0.7920347860576631,0.0,0.4729229417595416,0.0,1.5
2024-01-01 22:45:00,0.7920347860576631,0.0,0.44380927305892115,0.0,0.7
2024-01-01 23:00:00,0.7920347860576631,0.0,0.40640927305892116,0.0,0.0
2024-01-01 23:15:00,0.7920347860576631,0.0,0.4242023134118659,0.0,0.0
2024-01-01 23:30:00,0.7920347860576631,0.0,0.45300839411775534,0.0,0.0
2024-01-01 23:45:00,0.7920347860576631,0.0,0.6614816943019837,0.0,0.0
2024-01-02 00:00:00,0.7920347860576631,0.0,0.3295521973529143,0.0,0.0
2024-01-02 00:15:00,0.7920347860576631,0.0,0.3303404468444259,0.0,0.0
2024-01-02 00:30:00,0.7920347860576631,0.0,0.6015092730589211,0.0,0.3
2024-01-02 00:45:00,0.7920347860576631,0.0,0.8153759397255878,0.0,1.5
2024-01-02 01:00:00,0.7920347860576631,0.0,0.34786751517658965,0.0,1.5
2024-01-02 01:15:00,0.7920347860576631,0.0,0.18782374237267352,0.0,1.5
2024-01-02 01:30:00,0.3701495668269094,0.0,0.17994124745755785,0.0,1.5
2024-01-02 01:45:00,0.001,0.0,0.22,0.0,1.5
2024-01-02 02:00:00,0.001,0.0,0.2647333333333333,0.0,1.5
2024-01-02 02:15:00,0.001,0.0,0.35333333333333333,0.0,1.5
2024-01-02 02:30:00,0.001,0.0,0.176,0.0,1.5
2024-01-02 02:45:00,0.001,0.0,0.176,0.0,1.5
2024-01-02 03:00:00,0.001,0.0,0.08726666666666666,0.0,1.5
2024-01-02 03:15:00,0.001,0.0,0.15033333333333332,0.0,1.5
2024-01-02 03:30:00,0.001,0.0,0.16033333333333333,0.0,1.5
2024-01-02 03:45:00,0.001,0.0,0.15633333333333332,0.0,1.5
2024-01-02 04:00:00,0.001,0.0,0.055,0.0,1.5
2024-01-02 04:15:00,0.001,0.0,0.055,1.3333333333333333,1.5
2024-01-02 04:30:00,0.001,0.0,0.09166666666666666,1.0666666666666667,1.5
2024-01-02 04:45:00,0.001,0.0,0.143,0.8,1.5
2024-01-02 05:00:00,0.001,0.0,0.21966666666666665,0.9333333333333333,1.5
2024-01-02 05:15:00,0.001,0.0,0.06766666666666667,2.0,1.5
2024-01-02 05:30:00,0.001,0.0,0.055,0.8,1.5
2024-01-02 05:45:00,0.001,0.0,0.055,0.0,1.5
2024-01-02 06:00:00,0.001,0.0,0.143,0.0,1.5
2024-01-02 06:15:00,0.001,0.0,0.155,0.0,1.5
2024-01-02 06:30:00,0.001,0.0,0.169,0.0,1.5
2024-01-02 06:45:00,0.001,0.0,0.4547999999999999,0.0,1.5
2024-01-02 07:00:00,0.001,0.0,1.0534,0.0,1.5
2024-01-02 07:15:00,0.001,0.0,1.3323333333333334,0.6666666666666666,1.5
2024-01-02 07:30:00,0.001,0.0,0.23353333333333334,2.0,1.5
2024-01-02 07:45:00,0.001,0.0,0.3038,0.13333333333333333,1.5
2024-01-02 08:00:00,0.001,0.0,0.21,0.0,1.5
2024-01-02 08:15:00,0.001,0.0,0.189,0.0,1.5
2024-01-02 08:30:00,0.001,0.0,0.189,0.0,1.5
2024-01-02 08:45:00,0.528356524038442,0.0,0.666,0.0,1.5
2024-01-02 09:00:00,0.7920347860576631,0.0,0.6988666666666667,0.0,1.5
2024-01-02 09:15:00,0.7920347860576631,0.0,0.19466666666666665,0.0,1.5
2024-01-02 09:30:00,0.7920347860576631,0.0,0.26713333333333333,0.26666666666666666,1.5
2024-01-02 09:45:00,0.7920347860576631,0.0,0.5935294969490694,2.0,1.5
2024-01-02 10:00:00,0.7920347860576631,0.0,0.2228237423726735,0.5333333333333333,1.5
2024-01-02 10:15:00,0.7920347860576631,0.0,2.2948237423726736,0.0,1.5
2024-01-02 10:30:00,0.7920347860576631,0.0005333333333333334,0.8604904090393403,0.0,1.5
2024-01-02 10:45:00,0.7920347860576631,1.0505333333333333,0.14704260639225447,0.0,1.5
2024-01-02 11:00:00,0.7920347860576631,0.1509333333333333,0.10112869633593743,0.0,1.5
2024-01-02 11:15:00,0.7920347860576631,0.001,0.0995521973529143,0.0,1.5
2024-01-02 11:30:00,0.7920347860576631,0.001,0.17288553068624765,0.0,1.5
2024-01-02 11:45:00,0.7920347860576631,0.0002,0.18281886401958095,0.0,1.5
2024-01-02 12:00:00,0.7920347860576631,0.0,0.2136437728039162,0.0,1.5
2024-01-02 12:15:00,0.4228852192307536,0.0,0.068,2.0,1.5
2024-01-02 12:30:00,0.001,0.0,0.068,0.8,1.5
2024-01-02 12:45:00,0.001,0.0,0.07573333333333335,0.0,1.5
2024-01-02 13:00:00,0.001,0.0,0.178,0.0,1.5
2024-01-02 13:15:00,0.001,0.0,0.19466666666666665,0.0,0.2
2024-01-02 13:30:00,0.001,0.0,0.11866666666666667,0.0,0.0
2024-01-02 13:45:00,0.001,0.0,0.05846666666666667,0.0,0.0
2024-01-02 14:00:00,0.001,0.0,0.19299616361573607,0.0,1.5
2024-01-02 14:15:00,0.001,0.0,0.6536237423726735,0.0,1.5
2024-01-02 14:30:00,0.001,0.0,1.0240904090393401,0.0,1.5
2024-01-02 14:45:00,0.001,0.0,1.6302724599020602,0.4,0.1
2024-01-02 15:00:00,0.001,0.0,0.8979759397255879,2.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.2996032771268286,0.4,0.0
2024-01-02 15:30:00,0.001,0.0,0.22888553068624767,0.0,0.0
2024-01-02 15:45:00,0.001,0.0,0.3131084245489981,0.0,0.0
2024-01-02 16:00:00,0.001,0.0,0.2983333333333333,0.0,0.0
2024-01-02 16:15:00,0.001,0.0,0.6220393292654259,0.0,0.0
2024-01-02 16:30:00,0.001,0.0,0.1888237423726735,0.0,0.6
2024-01-02 16:45:00,0.001,0.0,0.7218904090393402,0.0,1.5
2024-01-02 17:00:00,0.001,0.0,0.24749040903934016,0.0,0.0
2024-01-02 17:15:00,0.001,0.0,0.27355707570600685,0.0,0.0
2024-01-02 17:30:00,0.001,0.0,0.24395299796604628,0.26666666666666666,0.6
2024-01-02 17:45:00,0.001,0.0,0.068,2.0,1.5
2024-01-02 18:00:00,0.001,0.0,0.068,0.5333333333333333,1.5
2024-01-02 18:15:00,0.001,0.0,0.06106666666666667,0.0,1.5
2024-01-02 18:30:00,0.001,0.0,0.31920579323539344,0.0,1.5
2024-01-02 18:45:00,0.001,0.0,0.3353759397255878,0.0,1.5
2024-01-02 19:00:00,0.001,0.0,0.2953759397255878,0.0,0.6
2024-01-02 19:15:00,0.001,0.0,0.22744260639225447,0.0,0.9
2024-01-02 19:30:00,0.001,0.0,0.3356464427765184,0.0,1.5
2024-01-02 19:45:00,0.001,0.0,0.29115219735291425,0.0,1.2
2024-01-02 20:00:00,0.001,0.0,0.445636813156861,0.0,0.0
2024-01-02 20:15:00,0.001,0.0,0.5963333333333334,0.5333333333333333,0.6
2024-01-02 20:30:00,0.001,0.0,0.4308237423726735,2.0,1.0
2024-01-02 20:45:00,0.001,0.0,0.3672704090393402,0.26666666666666666,1.5
2024-01-02 21:00:00,0.001,0.0,0.38099040903934017,0.0,1.5
2024-01-02 21:15:00,0.001,0.0,0.40517447482364494,0.0,1.5
2024-01-02 21:30:00,0.001,0.0,0.49782102356740954,0.0,1.5
2024-01-02 21:45:00,0.001,0.0,0.5657426063922544,0.0,1.5
2024-01-02 22:00:00,0.001,0.0,0.4770759397255878,0.0,1.5
2024-01-02 22:15:00,0.001,0.0,0.5594988335883382,0.0,1.5
2024-01-02 22:30:00,0.001,0.0,0.5782570757060068,0.0,1.5
2024-01-02 22:45:00,0.001,0.0,0.4367237423726735,0.0,1.5
2024-01-02 23:00:00,0.001,0.0,0.4961275787569374,0.0,1.5
2024-01-02 23:15:00,0.001,0.0,0.3117,0.0,1.5
2024-01-02 23:30:00,0.001,0.0,0.29556666666666664,0.0,1.5
2024-01-02 23:45:00,0.001,0.0,0.19069999999999998,0.0,1.5
2024-01-03 00:00:00,0.001,0.0,0.2860333333333333,0.0,1.5
2024-01-03 00:15:00,0.001,0.0,0.2960333333333333,0.0,1.5
