,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.3793188640195809,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.10064553068624764,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.20921886401958095,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.2218855306862476,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.27570519531896054,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.15770927305892116,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.0943759397255878,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.09016898007853257,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.30191391005631707,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.26839102543136,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.1585521973529143,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.08255219735291432,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.08255219735291432,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.17121886401958095,2.2
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.41193131841174857,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.13966666666666666,1.2
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.051,0.4
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.051,2.4
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.089,3.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.32966666666666666,3.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.25366666666666665,3.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.051,2.2
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.07633333333333334,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.31126666666666664,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.11466666666666667,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.064,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.07666666666666666,2.6
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.25226666666666664,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.17766666666666667,0.0
2024-01-01 07:45:00,0.001,0.9887669884116619,0.0,0.001,0.241,0.0
2024-01-01 08:00:00,0.001,1.9270935187488678,0.0,0.001,0.051,0.0
2024-01-01 08:15:00,0.001,1.7897319924923003,0.0,0.001,0.051,0.0
2024-01-01 08:30:00,0.001,0.5252236169965309,0.0,0.036593312409691596,0.2462,0.0
2024-01-01 08:45:00,0.001,1.0781792581538319,0.0,0.19006134212123083,0.6031333333333334,0.0
2024-01-01 09:00:00,0.001,0.7991305740280013,0.0,0.7803025484349668,0.11466666666666667,0.0
2024-01-01 09:15:00,0.001,1.006747267478339,0.0,0.5492199581826239,0.6031333333333334,0.0
2024-01-01 09:30:00,0.001,0.7486222154739657,0.0,0.1434513441698239,0.064,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.2554147936828785,0.22833333333333333,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.67508669111518,0.20299999999999999,1.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.09870951859967539,0.051,2.2
2024-01-01 10:30:00,0.001,0.001,0.0,0.18557756726486918,0.1592666666666667,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.8314813029734992,0.15266666666666667,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,1.3392152388553726,0.22866666666666668,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.22866666666666668,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,0.05706666666666667,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.08326666666666666,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.18466666666666665,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.001,0.4886666666666667,0.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.001,0.362,0.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.001,0.172,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.001,0.13166666666666665,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.36766666666666664,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.051,2.8
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.051,0.4
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.35500000000000004,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.15233333333333335,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.15233333333333335,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-01 17:45:00,0.001,0.8689622377404913,0.0,0.001,0.67156,0.0
2024-01-01 18:00:00,0.001,1.9127276990289628,0.0,0.001,0.21834377280391618,0.0
2024-01-01 18:15:00,0.001,1.8124454728166914,0.30033333333333334,0.001,1.4966521973529143,0.0
2024-01-01 18:30:00,0.001,0.6293646436977995,1.5003333333333333,0.001,2.441918864019581,0.0
2024-01-01 18:45:00,0.001,1.066386949685267,1.9501333333333333,0.1343270449307853,1.168918864019581,0.0
2024-01-01 19:00:00,0.001,0.7806512044240247,1.2004666666666666,0.3980656350139567,0.4282521973529143,0.0
2024-01-01 19:15:00,0.001,0.7352516067965826,0.4508,0.7000993479286205,0.5106084245489981,0.0
2024-01-01 19:30:00,0.001,0.001,0.0002,0.1361017319839218,0.7323237423726734,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.2459531966181246,1.1242709950001173,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,1.262108895437139,2.6438092730589213,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.4280888661194665,1.2736092730589212,2.6
2024-01-01 20:30:00,0.001,0.001,0.0,0.11063258560186728,0.5603426063922544,0.6
2024-01-01 20:45:00,0.001,0.001,0.0,0.2961313106793138,0.7316092730589212,0.0
2024-01-01 21:00:00,0.001,0.001,1.5003333333333333,0.9065954028231974,0.4144092730589211,0.0
2024-01-01 21:15:00,0.001,0.001,1.5003333333333333,0.001,0.5007426063922544,0.0
2024-01-01 21:30:00,0.001,0.001,1.6502666666666665,0.001,0.2987237423726735,0.0
2024-01-01 21:45:00,0.001,0.4021083233660059,0.001,0.001,0.3307904090393402,0.0
2024-01-01 22:00:00,0.001,1.8406756085268738,0.0,0.001,0.4591904090393402,0.0
2024-01-01 22:15:00,0.001,1.876675357220152,0.0,0.001,0.4654595043229124,0.0
2024-01-01 22:30:00,0.001,1.0562196165049882,0.0,0.001,0.5480092730589211,0.0
2024-01-01 22:45:00,0.001,0.8785710521150513,0.0,0.001,0.8395426063922545,0.0
2024-01-01 23:00:00,0.001,0.8716531683927703,0.0,0.001,0.33298260639225447,0.0
2024-01-01 23:15:00,0.001,0.8221247289641881,0.0,0.001,0.2515626063922545,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.8267585406079497,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.6684570757060069,0.0
2024-01-02 00:00:00,0.001,0.001,0.0,0.001,0.4283393292654259,0.0
2024-01-02 00:15:00,0.001,0.001,0.0,0.001,0.9870333333333332,0.0
2024-01-02 00:30:00,0.001,0.001,0.0,0.001,0.5872333333333333,0.0
2024-01-02 00:45:00,0.001,0.001,0.0,0.001,0.4605805859607771,0.0
2024-01-02 01:00:00,0.001,0.001,0.0,0.001,1.2265855306862474,0.0
2024-01-02 01:15:00,0.001,0.001,0.0,0.001,0.3322521973529143,0.0
2024-01-02 01:30:00,0.001,0.001,0.0,0.001,0.2182521973529143,0.0
2024-01-02 01:45:00,0.001,0.001,0.0,0.001,0.2098382780588038,0.0
2024-01-02 02:00:00,0.001,0.001,0.0,0.001,0.19936666666666664,0.0
2024-01-02 02:15:00,0.001,0.001,0.0,0.001,0.46536666666666665,0.0
2024-01-02 02:30:00,0.001,0.001,0.0,0.001,0.4147,0.0
2024-01-02 02:45:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-02 03:00:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-02 03:15:00,0.001,0.001,0.0,0.001,0.45323333333333327,0.0
2024-01-02 03:30:00,0.001,0.001,0.0,0.001,0.6432333333333332,0.0
2024-01-02 03:45:00,0.001,0.001,0.0,0.001,0.46536666666666665,0.0
2024-01-02 04:00:00,0.001,0.001,0.0,0.001,0.23736666666666664,0.2
2024-01-02 04:15:00,0.001,0.001,0.0,0.001,0.10528,3.0
2024-01-02 04:30:00,0.001,0.001,0.0,0.001,0.051,1.2
2024-01-02 04:45:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-02 05:00:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-02 05:15:00,0.001,0.001,0.0,0.001,0.9073333333333334,0.0
