,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.14266666666666666,0.0,0.0
2024-01-01 00:15:00,0.054,0.0,0.0
2024-01-01 00:30:00,0.054,0.0,0.0
2024-01-01 00:45:00,0.054,0.0,0.0
2024-01-01 01:00:00,0.06666666666666667,0.0,0.0
2024-01-01 01:15:00,0.24400000000000002,0.0,0.0
2024-01-01 01:30:00,0.15533333333333335,0.0,0.0
2024-01-01 01:45:00,0.054,0.0,0.0
2024-01-01 02:00:00,0.054,0.0,1.6
2024-01-01 02:15:00,0.054,0.0,2.4
2024-01-01 02:30:00,0.054,0.0,0.0
2024-01-01 02:45:00,0.24400000000000002,0.0,0.0
2024-01-01 03:00:00,0.168,0.0,0.0
2024-01-01 03:15:00,0.054,0.0,0.0
2024-01-01 03:30:00,0.054,0.0,0.0
2024-01-01 03:45:00,0.054,0.0,0.0
2024-01-01 04:00:00,0.054,0.0,0.0
2024-01-01 04:15:00,0.2313333333333333,0.0,2.1333333333333333
2024-01-01 04:30:00,0.18066666666666667,0.0,3.466666666666667
2024-01-01 04:45:00,0.054,0.0,1.3333333333333333
2024-01-01 05:00:00,0.054,0.0,0.0
2024-01-01 05:15:00,0.054,0.0,0.0
2024-01-01 05:30:00,0.32053333333333334,0.0,0.8
2024-01-01 05:45:00,0.3519333333333333,0.0,0.0
2024-01-01 06:00:00,0.19333333333333333,8.066666666666666,0.0
2024-01-01 06:15:00,0.054,3.6666666666666665,2.1333333333333333
2024-01-01 06:30:00,0.054,0.0,4.0
2024-01-01 06:45:00,0.054,0.0,4.0
2024-01-01 07:00:00,0.054,0.0,1.8666666666666667
2024-01-01 07:15:00,0.25453333333333333,0.0,0.0
2024-01-01 07:30:00,0.297,0.0,0.0
2024-01-01 07:45:00,0.145,0.0,0.0
2024-01-01 08:00:00,0.145,0.0,0.0
2024-01-01 08:15:00,0.13286666666666666,0.0,0.8
2024-01-01 08:30:00,0.1266,1.4666666666666666,3.466666666666667
2024-01-01 08:45:00,0.3143333333333333,5.866666666666666,0.0
2024-01-01 09:00:00,0.3396666666666667,0.0,0.0
2024-01-01 09:15:00,0.175,0.0,0.0
2024-01-01 09:30:00,0.24173333333333336,0.0,0.0
2024-01-01 09:45:00,0.16113333333333332,0.0,0.0
2024-01-01 10:00:00,0.145,0.0,0.0
2024-01-01 10:15:00,0.27166666666666667,0.0,0.5333333333333333
2024-01-01 10:30:00,0.2738,0.0,3.7333333333333334
2024-01-01 10:45:00,0.054,0.0,0.0
2024-01-01 11:00:00,0.14446666666666666,0.0,0.0
2024-01-01 11:15:00,0.7227666666666667,0.0,0.0
2024-01-01 11:30:00,0.18969999999999995,0.0,0.0
2024-01-01 11:45:00,0.30369999999999997,0.0,0.0
2024-01-01 12:00:00,0.3797,0.0,0.0
2024-01-01 12:15:00,0.18969999999999995,0.0,0.0
2024-01-01 12:30:00,0.18969999999999995,0.0,0.0
2024-01-01 12:45:00,0.18969999999999995,0.0,0.0
2024-01-01 13:00:00,0.18969999999999995,0.0,0.0
2024-01-01 13:15:00,0.2910333333333333,0.0,0.0
2024-01-01 13:30:00,0.3797,0.0,0.5333333333333333
2024-01-01 13:45:00,0.20236666666666667,0.0,3.466666666666667
2024-01-01 14:00:00,0.18969999999999995,0.0,0.0
2024-01-01 14:15:00,0.18969999999999995,0.0,0.0
2024-01-01 14:30:00,0.18969999999999995,0.0,0.0
2024-01-01 14:45:00,0.27836666666666665,0.0,0.0
2024-01-01 15:00:00,0.3797,0.0,0.0
2024-01-01 15:15:00,0.3118333333333333,0.0,0.0
2024-01-01 15:30:00,0.3107,0.0,0.0
2024-01-01 15:45:00,0.3107,0.0,0.0
2024-01-01 16:00:00,0.3191139192941105,0.0,0.0
2024-01-01 16:15:00,0.4182521973529143,0.0,0.0
2024-01-01 16:30:00,0.4354521973529143,0.0,0.8
2024-01-01 16:45:00,2.0983188640195807,0.0,3.2
2024-01-01 17:00:00,2.448118864019581,0.0,0.0
2024-01-01 17:15:00,0.8634521973529143,0.0,0.0
2024-01-01 17:30:00,2.512936813156861,0.0,0.0
2024-01-01 17:45:00,2.7340999999999998,0.0,0.0
2024-01-01 18:00:00,2.221033333333333,0.0,0.0
2024-01-01 18:15:00,1.7074701464901942,0.0,0.0
2024-01-01 18:30:00,1.7171188640195811,0.0,0.0
2024-01-01 18:45:00,0.3430404468444259,0.0,0.0
2024-01-01 19:00:00,0.3540759397255878,0.0,0.0
2024-01-01 19:15:00,0.5257426063922545,0.0,0.0
2024-01-01 19:30:00,0.6650759397255878,0.0,2.933333333333333
2024-01-01 19:45:00,0.44512172745108874,0.0,1.0666666666666667
2024-01-01 20:00:00,0.4348529979660462,0.0,0.0
2024-01-01 20:15:00,0.4386333333333333,0.0,0.0
2024-01-01 20:30:00,0.3323751879451175,0.0,0.0
2024-01-01 20:45:00,0.3808759397255878,0.0,0.0
2024-01-01 21:00:00,0.4798026063922544,0.0,0.0
2024-01-01 21:15:00,0.4283759397255878,0.0,0.0
2024-01-01 21:30:00,0.34024260639225445,0.0,0.0
2024-01-01 21:45:00,0.33937593972558777,0.0,0.0
2024-01-01 22:00:00,0.2909759397255878,0.0,0.0
2024-01-01 22:15:00,0.24370927305892115,0.0,0.0
2024-01-01 22:30:00,0.43985435690074287,0.0,0.0
2024-01-01 22:45:00,0.4280426063922544,0.0,0.0
2024-01-01 23:00:00,0.33937593972558777,0.0,0.0
2024-01-01 23:15:00,0.33937593972558777,0.0,0.0
2024-01-01 23:30:00,0.33937593972558777,0.0,0.0
2024-01-01 23:45:00,0.35204260639225443,0.0,0.0
2024-01-02 00:00:00,0.5041341818432563,0.0,0.0
2024-01-02 00:15:00,0.4012745807908911,0.0,0.0
2024-01-02 00:30:00,0.296,0.0,0.0
2024-01-02 00:45:00,0.2234,0.0,0.0
2024-01-02 01:00:00,0.3268393292654259,0.0,0.0
2024-01-02 01:15:00,0.33235707570600687,0.0,0.0
2024-01-02 01:30:00,0.2663411414903116,0.0,0.0
2024-01-02 01:45:00,0.7444426063922546,0.0,0.0
2024-01-02 02:00:00,0.0973759397255878,0.0,0.0
2024-01-02 02:15:00,0.09185819328500684,0.0,0.0
2024-01-02 02:30:00,0.0855521973529143,0.0,0.0
2024-01-02 02:45:00,0.0749173991176381,0.0,0.0
2024-01-02 03:00:00,0.5108666666666667,0.0,0.0
2024-01-02 03:15:00,0.3363923272314721,0.0,0.0
2024-01-02 03:30:00,0.0788237423726735,0.0,0.0
2024-01-02 03:45:00,0.06929040903934018,0.0,0.8
2024-01-02 04:00:00,0.06582374237267351,0.0,0.0
2024-01-02 04:15:00,0.061882494915115674,0.0,0.8
2024-01-02 04:30:00,0.21866666666666665,0.0,2.4
2024-01-02 04:45:00,0.19333333333333333,0.0,0.0
2024-01-02 05:00:00,0.054,0.0,0.5333333333333333
2024-01-02 05:15:00,0.054,0.0,1.0666666666666667
2024-01-02 05:30:00,0.054,11.0,0.0
2024-01-02 05:45:00,0.054,2.2,2.4
2024-01-02 06:00:00,0.20686666666666664,0.0,4.0
2024-01-02 06:15:00,0.6188,0.0,0.0
2024-01-02 06:30:00,0.067,0.0,0.0
2024-01-02 06:45:00,0.067,0.0,0.0
2024-01-02 07:00:00,0.067,0.0,0.0
2024-01-02 07:15:00,0.05573333333333333,0.0,0.0
2024-01-02 07:30:00,0.19333333333333333,0.0,0.0
2024-01-02 07:45:00,0.22126666666666667,0.0,0.0
2024-01-02 08:00:00,0.067,0.0,1.8666666666666667
2024-01-02 08:15:00,0.13937333333333332,0.0,2.4
2024-01-02 08:30:00,0.2027,0.0,0.0
2024-01-02 08:45:00,0.19749999999999998,0.0,0.0
