,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.060333333333333336,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.205,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.10166666666666666,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.17666666666666667,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.112,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.205,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.10066666666666667,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.126,1.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.16366666666666668,2.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.15333333333333332,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.21466666666666664,1.2
2024-01-01 04:30:00,0.001,0.001,0.001,0.21233333333333335,3.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.205,3.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.10166666666666666,3.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.05,3.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.05,0.6
2024-01-01 05:45:00,0.001,0.001,0.001,0.13866666666666666,1.8
2024-01-01 06:00:00,0.001,0.001,0.001,0.302,3.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.243,0.8
2024-01-01 06:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 07:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.06266666666666668,0.0
2024-01-01 07:30:00,0.001,0.001,0.001,0.35366666666666663,0.6
2024-01-01 07:45:00,0.001,0.001,0.001,0.2673333333333333,3.0
2024-01-01 08:00:00,0.001,0.001,0.001,0.05,0.4
2024-01-01 08:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 08:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 08:45:00,0.001,0.001,0.001,0.060333333333333336,0.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.33166666666666667,0.0
2024-01-01 09:15:00,0.001,0.001,0.001,0.2916666666666667,1.2
2024-01-01 09:30:00,0.001,0.001,0.001,0.05,2.2
2024-01-01 09:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 10:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 10:15:00,0.001,0.001,0.001,0.112,0.0
2024-01-01 10:30:00,0.001,0.001,0.001,0.25566666666666665,0.0
2024-01-01 10:45:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-01 11:00:00,0.001,0.001,0.001,0.126,0.0
2024-01-01 11:15:00,0.001,0.001,0.001,0.05,1.2
2024-01-01 11:30:00,0.001,0.001,0.001,0.05,2.0
2024-01-01 11:45:00,0.001,0.001,0.001,0.16366666666666668,0.0
2024-01-01 12:00:00,0.001,0.001,0.001,0.5531333333333334,0.0
2024-01-01 12:15:00,0.001,0.001,0.001,0.32506666666666667,0.0
2024-01-01 12:30:00,0.001,0.001,0.001,0.20594124745755782,0.0
2024-01-01 12:45:00,0.001,0.001,0.001,0.0618237423726735,0.0
2024-01-01 13:00:00,0.001,0.001,0.001,0.07215707570600684,0.0
2024-01-01 13:15:00,0.001,0.001,0.001,0.22895707570600682,0.0
2024-01-01 13:30:00,0.001,0.001,0.001,0.13700780815697827,0.2
2024-01-01 13:45:00,0.001,0.001,0.001,0.1950426063922545,2.8
2024-01-01 14:00:00,0.001,0.001,0.001,0.2937759397255878,0.0
2024-01-01 14:15:00,0.001,0.001,0.001,0.13058769023407624,0.0
2024-01-01 14:30:00,0.001,0.001,0.001,0.1435521973529143,0.0
2024-01-01 14:45:00,0.001,0.001,0.001,0.2092069596470552,0.0
2024-01-01 15:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 15:15:00,0.001,0.001,0.001,0.06266666666666668,0.0
2024-01-01 15:30:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-01 15:45:00,0.001,0.001,0.001,0.164,0.0
2024-01-01 16:00:00,0.001,0.001,0.001,0.16366666666666668,1.6
2024-01-01 16:15:00,0.001,0.001,0.001,0.15333333333333332,1.6
2024-01-01 16:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 16:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 17:00:00,0.001,0.001,0.001,0.17666666666666667,0.0
2024-01-01 17:15:00,0.001,0.001,0.001,0.25033333333333335,0.0
2024-01-01 17:30:00,0.001,0.001,0.001,0.205,0.0
2024-01-01 17:45:00,0.001,0.001,0.001,0.2146,0.0
2024-01-01 18:00:00,0.001,0.001,0.001,0.171,0.0
2024-01-01 18:15:00,0.001,0.001,0.001,0.171,0.0
2024-01-01 18:30:00,0.001,0.001,0.001,0.22166666666666668,0.2
2024-01-01 18:45:00,0.001,0.001,0.001,0.3907333333333333,2.0
2024-01-01 19:00:00,0.001,0.001,0.001,0.28099999999999997,1.2
2024-01-01 19:15:00,0.001,0.001,0.001,0.8496,0.0
2024-01-01 19:30:00,0.001,0.001,0.001,0.088245835622292,0.0
2024-01-01 19:45:00,0.001,0.001,0.001,0.10637593972558781,0.0
2024-01-01 20:00:00,0.001,0.001,0.001,0.18704260639225448,0.0
2024-01-01 20:15:00,0.001,0.001,0.001,0.5057092730589211,0.0
2024-01-01 20:30:00,0.001,0.001,0.001,0.4827092730589211,0.0
2024-01-01 20:45:00,0.001,0.001,0.001,0.18598562741570043,0.0
2024-01-01 21:00:00,0.001,0.001,0.001,0.2120111912510531,0.0
2024-01-01 21:15:00,0.001,0.001,0.001,0.12564260639225447,0.8
2024-01-01 21:30:00,0.001,0.001,0.001,0.33424927305892116,0.0
2024-01-01 21:45:00,0.001,0.001,0.001,0.5937426063922545,0.0
2024-01-01 22:00:00,0.001,0.001,0.001,0.5801756891320977,0.0
2024-01-01 22:15:00,0.001,0.001,0.001,0.35652374237267354,0.0
2024-01-01 22:30:00,0.001,0.001,0.001,0.3185237423726735,0.0
2024-01-01 22:45:00,0.001,0.001,0.001,0.3185237423726735,0.0
2024-01-01 23:00:00,0.001,0.001,0.001,0.30196055552953444,0.0
2024-01-01 23:15:00,0.001,0.001,0.001,0.511436610460162,0.0
2024-01-01 23:30:00,0.001,0.001,0.001,0.5282521973529143,0.0
2024-01-01 23:45:00,0.001,0.001,0.001,0.4522521973529143,0.0
2024-01-02 00:00:00,0.001,0.001,0.001,0.33825219735291434,0.0
2024-01-02 00:15:00,0.001,0.001,0.001,0.27371886401958095,0.0
2024-01-02 00:30:00,0.001,0.001,0.001,0.30147014649019427,0.0
2024-01-02 00:45:00,0.001,0.001,0.001,0.8220999999999999,0.0
2024-01-02 01:00:00,0.001,0.001,0.001,0.3123666666666666,0.0
2024-01-02 01:15:00,0.001,0.001,0.001,0.3757,0.0
2024-01-02 01:30:00,0.001,0.001,0.001,0.1857,0.0
2024-01-02 01:45:00,0.001,0.001,0.001,0.1960333333333333,0.0
2024-01-02 02:00:00,0.001,0.001,0.001,0.3407,0.0
2024-01-02 02:15:00,0.001,0.001,0.001,0.21927333333333332,0.0
2024-01-02 02:30:00,0.001,0.001,0.001,0.10066666666666667,0.0
2024-01-02 02:45:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-02 03:00:00,0.001,0.001,0.001,0.126,0.0
2024-01-02 03:15:00,0.001,0.001,0.001,0.112,0.0
2024-01-02 03:30:00,0.001,0.001,0.001,0.205,0.0
2024-01-02 03:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 04:00:00,0.001,0.001,0.001,0.05,0.4
2024-01-02 04:15:00,0.001,0.001,0.001,0.21466666666666664,3.0
2024-01-02 04:30:00,0.001,0.001,0.001,0.20199999999999999,3.0
2024-01-02 04:45:00,0.001,0.001,0.001,0.5634666666666667,0.2
2024-01-02 05:00:00,0.001,0.001,0.001,0.15333333333333332,0.0
2024-01-02 05:15:00,0.001,0.001,0.001,0.05,1.6
2024-01-02 05:30:00,0.001,0.001,0.001,0.05,1.6
2024-01-02 05:45:00,0.001,0.001,0.001,0.13866666666666666,0.0
2024-01-02 06:00:00,0.001,0.001,0.001,0.25033333333333335,0.0
2024-01-02 06:15:00,0.001,0.001,0.001,0.243,0.0
2024-01-02 06:30:00,0.001,0.001,0.001,0.11206666666666668,0.0
2024-01-02 06:45:00,0.001,0.001,0.001,0.063,0.0
2024-01-02 07:00:00,0.001,0.001,0.001,0.063,0.0
2024-01-02 07:15:00,0.001,0.001,0.001,0.07133333333333333,2.2
2024-01-02 07:30:00,0.001,0.001,0.001,0.7104666666666667,0.0
2024-01-02 07:45:00,0.001,0.001,0.001,0.33199999999999996,0.0
2024-01-02 08:00:00,0.001,0.001,0.001,0.6041333333333333,0.0
2024-01-02 08:15:00,0.001,0.001,0.001,0.184,0.0
2024-01-02 08:30:00,0.001,0.001,0.001,0.18226666666666666,0.0
2024-01-02 08:45:00,0.001,0.001,0.001,0.171,0.0
2024-01-02 09:00:00,0.001,0.001,0.001,0.41306666666666664,0.8
2024-01-02 09:15:00,0.001,0.001,0.001,0.47733333333333333,2.8
2024-01-02 09:30:00,0.001,0.001,0.001,0.12753333333333333,0.0
2024-01-02 09:45:00,0.001,0.001,0.001,0.063,0.0
2024-01-02 10:00:00,0.001,0.001,0.001,0.06126666666666667,0.0
2024-01-02 10:15:00,0.001,0.001,0.001,0.060333333333333336,0.0
2024-01-02 10:30:00,0.001,0.001,0.001,0.25566666666666665,0.0
2024-01-02 10:45:00,0.001,0.001,0.001,0.2916666666666667,0.0
2024-01-02 11:00:00,0.001,0.001,0.001,0.126,0.0
2024-01-02 11:15:00,0.001,0.001,0.001,0.05,0.2
2024-01-02 11:30:00,0.001,0.001,0.001,0.05,3.0
2024-01-02 11:45:00,0.001,0.001,0.001,0.112,0.0
2024-01-02 12:00:00,0.001,0.001,0.001,0.205,0.0
2024-01-02 12:15:00,0.001,0.001,0.001,0.21466666666666664,0.0
2024-01-02 12:30:00,0.001,0.001,0.001,0.20199999999999999,0.0
2024-01-02 12:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 13:00:00,0.001,0.001,0.001,0.05,0.0
