,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 00:15:00,0.0,0.001,0.06582783858822096,0.0,0.0
2024-01-01 00:30:00,0.0,0.001,0.21988553068624764,0.0,0.0
2024-01-01 00:45:00,0.0,0.001,0.27721886401958096,0.0,0.0
2024-01-01 01:00:00,0.0,0.001,0.34041886401958094,0.0,0.0
2024-01-01 01:15:00,0.0,0.001,0.2015521973529143,0.0,0.0
2024-01-01 01:30:00,0.0,0.001,0.18682783858822097,0.0,0.0
2024-01-01 01:45:00,0.0,0.001,0.25832,0.0,0.0
2024-01-01 02:00:00,0.0,0.001,0.284,0.0,0.0
2024-01-01 02:15:00,0.0,0.001,0.3988,0.0,0.0
2024-01-01 02:30:00,0.0,0.001,0.173,0.0,0.0
2024-01-01 02:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 03:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 03:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 03:30:00,0.0,0.001,0.13766666666666666,0.0,0.0
2024-01-01 03:45:00,0.0,0.001,0.35833333333333334,0.0,0.0
2024-01-01 04:00:00,0.0,0.001,0.142,0.0,0.8
2024-01-01 04:15:00,0.0,0.001,0.049,0.0,2.4
2024-01-01 04:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 04:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 05:00:00,0.0,0.001,0.133,0.0,0.0
2024-01-01 05:15:00,0.0,0.001,0.394,0.0,0.8
2024-01-01 05:30:00,0.0,0.001,0.111,0.0,0.0
2024-01-01 05:45:00,0.0,0.001,0.44880000000000003,0.0,1.0666666666666667
2024-01-01 06:00:00,0.0,0.001,0.049,0.0,4.0
2024-01-01 06:15:00,0.0,0.001,0.049,0.0,1.0666666666666667
2024-01-01 06:30:00,0.0,0.001,0.13866666666666666,0.0,0.0
2024-01-01 06:45:00,0.0,0.001,0.394,0.0,0.0
2024-01-01 07:00:00,0.0,0.001,0.10966666666666666,0.0,0.0
2024-01-01 07:15:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-01 07:30:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-01 07:45:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-01 08:00:00,0.0,0.001,0.15386666666666665,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.394,0.0,0.0
2024-01-01 08:30:00,1.2004666666666668,0.001,0.09966666666666665,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.049,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.049,0.0,2.1333333333333333
2024-01-01 09:15:00,0.001,0.001,0.049,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.16266666666666665,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.35033333333333333,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.125,0.0,0.0
2024-01-01 10:15:00,0.7506666666666667,0.001,0.049,0.0,0.0
2024-01-01 10:30:00,1.6502666666666668,0.001,0.5820666666666666,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.049,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.8599999999999999,0.0,0.0
2024-01-01 11:15:00,0.0,0.001,0.6938,0.0,0.0
2024-01-01 11:30:00,0.0,0.001,0.15033333333333332,0.0,0.0
2024-01-01 11:45:00,0.0,0.001,0.049,14.0,0.0
2024-01-01 12:00:00,0.0,0.001,0.049,1.0,0.0
2024-01-01 12:15:00,0.0,0.001,0.06966666666666667,0.0,0.0
2024-01-01 12:30:00,0.0,0.001,0.7370666666666666,0.0,0.0
2024-01-01 12:45:00,0.0,0.001,0.23766666666666666,0.0,1.8666666666666667
2024-01-01 13:00:00,0.0,0.001,0.6637866666666667,0.0,0.26666666666666666
2024-01-01 13:15:00,0.0,0.001,0.15386666666666668,0.0,0.0
2024-01-01 13:30:00,0.0,0.001,0.17,0.0,0.0
2024-01-01 13:45:00,0.0,0.001,0.22166666666666668,0.0,0.0
2024-01-01 14:00:00,0.0,0.001,0.325,0.0,0.0
2024-01-01 14:15:00,0.0,0.001,0.7628,0.0,0.0
2024-01-01 14:30:00,0.0,0.001,0.20099999999999998,0.0,0.0
2024-01-01 14:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 15:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 15:15:00,0.0,0.001,0.1403374110732939,1.0,0.0
