,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.2840333333333333,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.3727,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.23336666666666664,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.20442666666666665,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.047,0.8
2024-01-01 03:00:00,0.001,0.0,0.001,0.047,0.6
2024-01-01 03:15:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-01 11:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.047,1.2
2024-01-01 11:30:00,0.001,0.0,0.001,0.5800666666666666,3.0
2024-01-01 11:45:00,0.001,0.0,0.001,0.07233333333333333,2.4
2024-01-01 12:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.17366666666666666,1.2
2024-01-01 12:30:00,0.001,0.0,0.001,0.047,1.4
2024-01-01 12:45:00,0.001,0.0,0.001,0.14651333333333336,2.8
2024-01-01 13:00:00,0.001,0.0,0.001,0.1827,0.4
2024-01-01 13:15:00,0.001,0.0,0.001,0.24603333333333335,1.2
2024-01-01 13:30:00,0.001,0.0,0.001,0.3727,0.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.27136666666666664,0.0
2024-01-01 14:00:00,0.001,0.0,0.001,0.1827,0.6
2024-01-01 14:15:00,0.001,0.0,0.001,0.1827,1.2
2024-01-01 14:30:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.2840333333333333,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.3727,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.23336666666666664,0.0
2024-01-01 15:30:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 15:45:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.1827,1.2
2024-01-01 16:15:00,0.001,0.0,0.001,0.32203333333333334,0.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.3727,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,0.19536666666666666,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.1827,0.0
2024-01-01 17:45:00,0.001,0.0,0.001,0.36003333333333326,0.0
2024-01-01 18:00:00,0.001,0.0,0.001,0.34736666666666666,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.11937333333333333,0.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 18:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.237,0.0
