,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.22533333333333333,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.09866666666666667,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.07964377280391619,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.6440188640195809,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.6126188640195809,0.0,4.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.24421886401958096,0.0,3.2
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.20621886401958098,0.0,0.8
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.0795521973529143,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.16826465174508193,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.5364666666666668,0.0,2.4
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.1812666666666667,0.0,0.8
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.4792,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.8
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.048,0.0,3.7333333333333334
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.22533333333333333,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.06066666666666667,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,1.3813333333333333,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.8480000000000001,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.2777333333333333,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.2966666666666667,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.3093333333333333,0.0,0.26666666666666666
2024-01-01 09:45:00,0.26467826201922107,0.001,0.0,0.001,0.7537333333333334,0.0,2.1333333333333333
2024-01-01 10:00:00,0.7920347860576631,0.001,0.0,0.21009531541237417,0.12356474847453472,0.0,0.0
2024-01-01 10:15:00,0.7920347860576631,0.001,0.0,0.6512177418389324,0.09273912656872686,0.0,0.0
2024-01-01 10:30:00,0.7920347860576631,0.001,0.0,0.4137072442888054,0.26904260639225447,0.0,0.0
2024-01-01 10:45:00,0.7920347860576631,0.001,0.0,0.16964365321084549,2.102975939725588,0.0,0.0
2024-01-01 11:00:00,0.7920347860576631,0.001,0.0,0.6030308412973945,2.6003626063922542,0.0,0.0
2024-01-01 11:15:00,0.7920347860576631,0.001,0.0,1.1911661941981222,0.915128089181711,0.0,0.0
2024-01-01 11:30:00,0.7920347860576631,0.001,0.0,0.09525598664950095,0.169,0.0,0.0
2024-01-01 11:45:00,0.7920347860576631,0.001,0.0,0.1389822423506404,1.8665999999999998,4.0,0.0
2024-01-01 12:00:00,0.7920347860576631,0.001,0.0,0.4027552660211879,2.9112666666666667,15.0,0.0
2024-01-01 12:15:00,0.7920347860576631,0.001,0.0,0.7422495318685893,2.478133333333333,4.0,0.0
2024-01-01 12:30:00,0.7920347860576631,0.001,0.0,0.001,0.13666666666666666,0.0,0.0
2024-01-01 12:45:00,0.7920347860576631,0.001,0.0,0.001,0.1448,0.0,0.0
2024-01-01 13:00:00,0.7920347860576631,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-01 13:15:00,0.7920347860576631,0.001,0.0,0.001,0.26626666666666665,0.0,0.0
2024-01-01 13:30:00,0.7920347860576631,0.001,0.0,0.001,0.4686666666666667,0.0,0.0
2024-01-01 13:45:00,0.7920347860576631,0.001,0.0,0.001,0.6080000000000001,0.0,0.0
2024-01-01 14:00:00,0.7920347860576631,0.001,0.0,0.001,0.23914523770585908,0.0,2.1333333333333333
2024-01-01 14:15:00,0.7920347860576631,0.001,0.0,0.001,0.1977521973529143,0.0,0.0
2024-01-01 14:30:00,0.7920347860576631,0.001,0.0,0.001,0.6529521973529142,0.0,0.0
2024-01-01 14:45:00,0.6338278288461304,0.001,0.0,0.001,0.616618864019581,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.9314208789411658,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.9441333333333334,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.291,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.2648,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.183,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.2934,10.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.4288049447254705,1.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.2698855306862476,0.0,0.0
2024-01-01 17:00:00,0.1592069572115326,0.001,0.0,0.001,0.08041886401958097,0.0,0.0
2024-01-01 17:15:00,0.7920347860576631,0.001,0.0,0.001,0.0795521973529143,0.0,0.0
2024-01-01 17:30:00,0.7920347860576631,0.001,0.0,0.001,0.08768553068624764,0.0,0.0
2024-01-01 17:45:00,0.7920347860576631,0.001,0.0,0.001,1.2103034798235275,0.0,2.4
2024-01-01 18:00:00,0.7920347860576631,0.001,0.0,0.001,2.9547999999999996,0.0,0.0
2024-01-01 18:15:00,0.7920347860576631,0.001,0.0,0.001,0.4641914151412013,0.0,0.0
2024-01-01 18:30:00,0.7920347860576631,0.001,0.0,0.001,0.3469837423726735,0.0,0.0
2024-01-01 18:45:00,0.7920347860576631,0.001,0.0,0.001,0.2621570757060068,0.0,0.0
2024-01-01 19:00:00,0.7920347860576631,0.001,0.0,0.001,0.34315707570600684,0.0,0.0
2024-01-01 19:15:00,0.7920347860576631,0.001,0.0,0.001,0.9856237423726736,0.0,0.0
2024-01-01 19:30:00,0.7920347860576631,0.001,0.0,0.001,0.5537923272314721,0.0,0.0
2024-01-01 19:45:00,0.7920347860576631,0.001,0.0,0.001,0.42423837478825654,0.0,0.0
2024-01-01 20:00:00,0.7920347860576631,0.001,0.7503333333333333,0.001,0.3261759397255878,0.0,0.0
2024-01-01 20:15:00,0.1064713048076884,0.001,2.25,0.001,0.3337759397255878,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.9006000000000001,0.001,0.33437593972558777,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.7506666666666667,0.001,0.5117092730589211,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.0003333333333333333,0.001,0.5038223346053151,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,0.4752521881151208,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.45537593972558776,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.4649092730589211,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.6200292730589212,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.5950426063922545,0.0,2.1333333333333333
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.6330426063922544,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.42978118387721004,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,0.2866904090393402,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.358228687098144,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.5296426063922544,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.3840426063922544,0.0,0.0
2024-01-02 00:00:00,0.001,0.001,0.0,0.001,1.0271680256013633,0.0,0.0
2024-01-02 00:15:00,0.001,0.001,0.0,0.001,0.44821886401958094,0.0,0.0
2024-01-02 00:30:00,0.001,0.001,0.0,0.001,0.208618864019581,0.0,0.0
2024-01-02 00:45:00,0.001,0.001,0.0,0.001,0.22588553068624764,0.0,0.0
2024-01-02 01:00:00,0.001,0.001,0.0,0.001,0.2740347982352762,0.0,0.0
2024-01-02 01:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-02 01:45:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 02:15:00,0.001,0.001,0.0,0.001,0.15169808180786803,0.0,0.0
2024-01-02 02:30:00,0.001,0.001,0.0,0.001,0.14849040903934016,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.0,0.001,0.0598237423726735,0.0,0.0
2024-01-02 03:00:00,0.001,0.001,0.0,0.001,0.7575570757060069,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.0,0.001,0.1864904090393402,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.0,0.001,0.0598237423726735,0.0,0.0
2024-01-02 03:45:00,0.001,0.001,0.0,0.001,0.2284863312993796,0.0,0.0
2024-01-02 04:00:00,0.001,0.001,0.0,0.001,0.06066666666666667,0.0,0.0
2024-01-02 04:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.8
2024-01-02 04:30:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-02 04:45:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.8
2024-01-02 05:00:00,0.001,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-02 05:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-02 05:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 05:45:00,0.001,0.001,0.0,0.001,0.5810666666666667,0.0,0.0
2024-01-02 06:00:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-02 06:15:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0
2024-01-02 06:30:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,2.1333333333333333
2024-01-02 06:45:00,0.001,0.001,0.0,0.001,0.09866666666666667,0.0,0.0
2024-01-02 07:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 07:15:00,0.001,0.001,0.0,0.001,0.0506,0.0,0.0
2024-01-02 07:30:00,0.001,0.001,0.0,0.001,0.4922,0.0,0.0
2024-01-02 07:45:00,0.001,0.001,0.0,0.001,0.4795333333333333,0.0,0.0
2024-01-02 08:00:00,0.001,0.001,0.0,0.001,0.24986666666666668,0.0,0.0
2024-01-02 08:15:00,0.001,0.001,0.0,0.001,0.17593333333333336,0.0,0.0
2024-01-02 08:30:00,0.001,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-02 08:45:00,0.001,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-02 09:00:00,0.001,0.001,0.0,0.001,0.3371333333333333,0.0,0.0
2024-01-02 09:15:00,0.001,0.001,0.0,0.001,0.5068,0.0,0.0
2024-01-02 09:30:00,0.001,0.001,0.0,0.001,0.27066666666666667,13.0,0.0
2024-01-02 09:45:00,0.001,0.001,0.0,0.001,0.5818,15.0,0.0
2024-01-02 10:00:00,0.001,0.001,0.0,0.001,0.2788,0.0,0.0
2024-01-02 10:15:00,0.001,0.001,0.0,0.001,0.9464666666666667,0.0,0.0
2024-01-02 10:30:00,0.001,0.40165028568849453,0.0,0.030364887719969622,0.9523333333333334,0.0,0.0
