,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.7920347860576631,0.001,0.001,0.039,0.0,0.0
2024-01-01 00:15:00,0.7920347860576631,0.001,0.001,0.039,0.0,0.0
2024-01-01 00:30:00,0.7920347860576631,0.001,0.001,0.21633333333333335,0.0,0.0
2024-01-01 00:45:00,0.7920347860576631,0.001,0.001,0.115,0.0,0.0
2024-01-01 01:00:00,0.7920347860576631,0.001,0.001,0.039,0.0,0.0
2024-01-01 01:15:00,0.7920347860576631,0.001,0.001,0.039,0.0,0.0
2024-01-01 01:30:00,0.4756208716345978,0.001,0.001,0.4387999999999999,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.077,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.229,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.06433333333333333,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.039,0.0,1.0666666666666667
2024-01-01 02:45:00,0.001,0.001,0.001,0.039,0.0,1.6
2024-01-01 03:00:00,0.001,0.001,0.001,0.039,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.12766666666666668,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.2036666666666667,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.039,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.039,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.039,0.0,4.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.039,0.0,2.1333333333333333
2024-01-01 04:45:00,0.001,0.001,0.001,0.17833333333333334,0.0,2.6666666666666665
2024-01-01 05:00:00,0.001,0.001,0.001,0.153,0.0,0.5333333333333333
2024-01-01 05:15:00,0.001,0.001,0.001,0.039,0.0,4.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.039,0.0,1.0666666666666667
2024-01-01 05:45:00,0.001,0.001,0.001,0.039,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.039,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.229,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.10233333333333335,1.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.039,2.0,2.4
2024-01-01 07:00:00,0.001,0.001,0.001,0.039,0.0,0.8
