,WasherDryer,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.4153237423726735
2024-01-01 00:15:00,0.001,0.001,0.31458249491511564
2024-01-01 00:30:00,0.001,0.001,0.23116666666666663
2024-01-01 00:45:00,0.001,0.001,0.29569999999999996
2024-01-01 01:00:00,0.001,0.001,0.1930333333333333
2024-01-01 01:15:00,0.001,0.001,0.1857
2024-01-01 01:30:00,0.001,0.001,0.1857
2024-01-01 01:45:00,0.001,0.001,0.1857
2024-01-01 02:00:00,0.001,0.001,0.2370333333333333
2024-01-01 02:15:00,0.001,0.001,0.2810333333333333
2024-01-01 02:30:00,0.001,0.001,0.1857
2024-01-01 02:45:00,0.001,0.001,0.1857
2024-01-01 03:00:00,0.001,0.001,0.1857
2024-01-01 03:15:00,0.001,0.001,0.1857
2024-01-01 03:30:00,0.001,0.001,0.6588333333333333
2024-01-01 03:45:00,0.001,0.001,0.17761333333333332
2024-01-01 04:00:00,0.001,0.001,0.4498
2024-01-01 04:15:00,0.001,0.001,0.05
2024-01-01 04:30:00,0.001,0.001,0.05
2024-01-01 04:45:00,0.001,0.001,0.05
2024-01-01 05:00:00,0.001,0.001,0.14533333333333334
2024-01-01 05:15:00,0.001,0.001,0.10133333333333333
2024-01-01 05:30:00,0.001,0.001,0.05
2024-01-01 05:45:00,0.001,0.001,0.05
2024-01-01 06:00:00,0.001,0.001,0.05
2024-01-01 06:15:00,0.001,0.001,0.05733333333333334
2024-01-01 06:30:00,0.001,0.001,0.16
2024-01-01 06:45:00,0.001,0.001,0.07933333333333333
2024-01-01 07:00:00,0.001,0.001,0.05
2024-01-01 07:15:00,0.001,0.001,0.05
2024-01-01 07:30:00,0.001,0.001,0.05
2024-01-01 07:45:00,0.001,0.001,0.07933333333333333
2024-01-01 08:00:00,0.001,0.001,0.173
2024-01-01 08:15:00,0.001,0.001,0.07033333333333333
2024-01-01 08:30:00,0.001,0.001,0.063
2024-01-01 08:45:00,0.001,0.001,0.063
2024-01-01 09:00:00,0.001,0.001,0.063
2024-01-01 09:15:00,0.001,0.030364887719969622,0.11259999999999999
2024-01-01 09:30:00,0.001,0.10397152378241553,0.29328
2024-01-01 09:45:00,0.001,0.13127529386954348,0.3197
2024-01-01 10:00:00,0.001,0.4035889908621166,0.3197
2024-01-01 10:15:00,0.001,0.967440270205737,0.3188333333333333
2024-01-01 10:30:00,0.001,0.127732778090345,0.3197
2024-01-01 10:45:00,0.001,0.2795297395044324,0.2962333333333333
2024-01-01 11:00:00,0.001,0.6215710321512413,0.6778999999999998
2024-01-01 11:15:00,0.001,0.14483182563310534,0.295217746440581
2024-01-01 11:30:00,0.001,0.12370632987967563,0.3015237423726735
2024-01-01 11:45:00,0.001,0.4627587167084743,0.2953307020197287
2024-01-01 12:00:00,0.001,1.7921499552981397,0.32007593972558784
2024-01-01 12:15:00,0.001,0.10716399965674288,0.3365426063922545
2024-01-01 12:30:00,0.001,0.13654650227945514,0.6835150276353171
2024-01-01 12:45:00,0.001,0.2432091648742815,0.2302521973529143
2024-01-01 13:00:00,0.001,0.7035885055461283,0.33511886401958096
2024-01-01 13:15:00,0.001,0.001,0.45542435876469334
2024-01-01 13:30:00,0.001,0.001,0.43503333333333327
2024-01-01 13:45:00,0.001,0.001,0.5619666666666667
2024-01-01 14:00:00,0.001,0.001,0.5157666666666667
2024-01-01 14:15:00,0.001,0.001,0.3843646517450819
2024-01-01 14:30:00,0.001,0.001,0.2978855306862476
2024-01-01 14:45:00,0.001,0.001,0.23981886401958097
2024-01-01 15:00:00,0.7392991336538189,0.001,0.3658855306862476
2024-01-01 15:15:00,0.7920347860576631,0.001,0.4465521973529143
2024-01-01 15:30:00,0.7920347860576631,0.001,0.3155472526274438
2024-01-01 15:45:00,0.7920347860576631,0.001,0.2685533333333333
2024-01-01 16:00:00,0.7920347860576631,0.001,0.3067
2024-01-01 16:15:00,0.7920347860576631,0.001,0.2341
2024-01-01 16:30:00,0.7920347860576631,0.001,0.3419
2024-01-01 16:45:00,0.7920347860576631,0.001,0.40203333333333335
2024-01-01 17:00:00,0.7920347860576631,0.001,0.3067
2024-01-01 17:15:00,0.7920347860576631,0.001,0.3067
2024-01-01 17:30:00,0.7920347860576631,0.001,0.30843333333333334
2024-01-01 17:45:00,0.31741391442306527,0.001,0.20676666666666665
2024-01-01 18:00:00,0.001,0.001,0.2720333333333333
2024-01-01 18:15:00,0.001,0.001,0.2720333333333333
2024-01-01 18:30:00,0.001,0.001,0.2105
2024-01-01 18:45:00,0.001,0.1613153268107452,0.3639549161581782
2024-01-01 19:00:00,0.001,0.4742561237541715,0.4632849142942278
2024-01-01 19:15:00,0.001,0.614273171681349,0.4840759397255878
2024-01-01 19:30:00,0.001,0.15269830158935585,1.112475939725588
2024-01-01 19:45:00,0.001,0.3591484120935252,0.5354092730589212
2024-01-01 20:00:00,0.001,1.3103478708408682,0.3918759397255878
2024-01-01 20:15:00,0.001,0.24717629226994017,0.3500759397255878
2024-01-01 20:30:00,0.001,0.10649224540073976,0.9396092730589213
2024-01-01 20:45:00,0.001,0.3213968434492331,0.47840927305892117
2024-01-01 21:00:00,0.001,0.8709994292464647,0.5448892730589211
2024-01-01 21:15:00,0.001,0.001,0.5004092730589211
2024-01-01 21:30:00,0.001,0.001,1.0041426063922545
2024-01-01 21:45:00,0.001,0.001,1.4655581932850066
2024-01-01 22:00:00,0.001,0.001,1.4218556467451993
2024-01-01 22:15:00,0.001,0.001,0.4688570757060068
2024-01-01 22:30:00,0.001,0.001,0.5600411414903116
2024-01-01 22:45:00,0.001,0.001,0.5888092730589211
2024-01-01 23:00:00,0.4756208716345978,0.001,0.46713469226803
2024-01-01 23:15:00,0.7920347860576631,0.001,0.992318864019581
2024-01-01 23:30:00,0.7920347860576631,0.001,0.44214644277651843
2024-01-01 23:45:00,0.7920347860576631,0.001,0.40140927305892116
2024-01-02 00:00:00,0.7920347860576631,0.001,0.4454092730589212
2024-01-02 00:15:00,0.7920347860576631,0.001,0.43601128798050587
2024-01-02 00:30:00,0.7920347860576631,0.001,0.43715899389813884
2024-01-02 00:45:00,0.7920347860576631,0.001,0.42769999999999997
2024-01-02 01:00:00,0.7920347860576631,0.001,0.35509999999999997
2024-01-02 01:15:00,0.7920347860576631,0.001,0.7920999999999999
2024-01-02 01:30:00,0.7920347860576631,0.001,0.26218633129937957
2024-01-02 01:45:00,0.7920347860576631,0.001,0.1975237423726735
2024-01-02 02:00:00,0.7920347860576631,0.001,0.5159037423726736
2024-01-02 02:15:00,0.001,0.001,0.0618237423726735
2024-01-02 02:30:00,0.001,0.001,0.0618237423726735
2024-01-02 02:45:00,0.001,0.001,0.15242757875693744
2024-01-02 03:00:00,0.001,0.001,0.10133333333333333
2024-01-02 03:15:00,0.001,0.001,0.05
2024-01-02 03:30:00,0.001,0.001,0.05
2024-01-02 03:45:00,0.001,0.001,0.05
2024-01-02 04:00:00,0.001,0.001,0.05733333333333334
2024-01-02 04:15:00,0.001,0.001,0.16
2024-01-02 04:30:00,0.001,0.001,0.07933333333333333
2024-01-02 04:45:00,0.001,0.001,0.05
2024-01-02 05:00:00,0.001,0.001,0.05
2024-01-02 05:15:00,0.001,0.001,0.4498
2024-01-02 05:30:00,0.001,0.001,0.07933333333333333
2024-01-02 05:45:00,0.001,0.001,0.16
2024-01-02 06:00:00,0.001,0.001,0.4571333333333333
2024-01-02 06:15:00,0.001,0.001,0.05
2024-01-02 06:30:00,0.001,0.001,0.05
2024-01-02 06:45:00,0.001,0.001,0.05
2024-01-02 07:00:00,0.001,0.001,0.10133333333333333
2024-01-02 07:15:00,0.001,0.001,0.14927458079089118
2024-01-02 07:30:00,0.001,0.001,0.0618237423726735
2024-01-02 07:45:00,0.001,0.001,0.0618237423726735
2024-01-02 08:00:00,0.001,0.001,0.0618237423726735
2024-01-02 08:15:00,0.001,0.001,0.0618237423726735
2024-01-02 08:30:00,0.001,0.001,0.1465021595478286
2024-01-02 08:45:00,0.4756208716345978,0.001,0.13633333333333333
2024-01-02 09:00:00,0.7920347860576631,0.001,0.46279999999999993
2024-01-02 09:15:00,0.7920347860576631,0.001,0.063
2024-01-02 09:30:00,0.7920347860576631,0.08198752458236763,0.4628
2024-01-02 09:45:00,0.7920347860576631,0.22577821760524625,1.9296666666666669
2024-01-02 10:00:00,0.7920347860576631,1.1005373010781025,1.7661374110732941
2024-01-02 10:15:00,0.7920347860576631,0.1826653497677094,0.11315707570600683
2024-01-02 10:30:00,0.7920347860576631,0.137110304242186,0.0618237423726735
2024-01-02 10:45:00,0.7920347860576631,0.2502079141020956,0.12635707570600682
2024-01-02 11:00:00,0.7920347860576631,0.6547551129733702,0.44357806061441885
2024-01-02 11:15:00,0.7920347860576631,0.14989578781234514,0.6513521973529143
2024-01-02 11:30:00,0.7920347860576631,0.5244482883318516,0.7000855306862477
2024-01-02 11:45:00,0.7920347860576631,0.8344073934396177,0.48615219735291426
2024-01-02 12:00:00,0.264678262019221,0.13497999927447052,0.3296855306862476
2024-01-02 12:15:00,0.001,0.2774706408661197,0.22185819328500683
