,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.22736666666666666,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.2933666666666666,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.2200333333333333,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.30069999999999997,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.13642,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.077,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.06233333333333334,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.4547999999999999,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.06966666666666667,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.06966666666666667,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.06233333333333334,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.077,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.08433333333333334,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.5574666666666667,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.09166666666666666,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.15033333333333332,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.099,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.055,0.0
