,DishWasher,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.0,0.235,0.0,0.0
2024-01-01 00:15:00,0.0,0.121,0.0,0.0
2024-01-01 00:30:00,0.0,0.045,0.0,0.0
2024-01-01 00:45:00,0.0,0.045,0.0,0.0
2024-01-01 01:00:00,0.0,0.045,0.0,0.0
2024-01-01 01:15:00,0.0,0.10833333333333334,0.0,0.0
2024-01-01 01:30:00,0.0,0.235,0.0,0.0
2024-01-01 01:45:00,0.0,0.057666666666666665,0.0,0.0
2024-01-01 02:00:00,0.0,0.5780666666666666,0.0,0.0
2024-01-01 02:15:00,0.0,0.045,0.0,0.0
2024-01-01 02:30:00,0.0,0.045,0.0,0.0
2024-01-01 02:45:00,0.0,0.17166666666666666,0.0,0.0
2024-01-01 03:00:00,0.0,0.18433333333333332,0.0,0.0
2024-01-01 03:15:00,0.0,0.045,0.0,0.0
2024-01-01 03:30:00,0.0,0.045,0.0,0.0
2024-01-01 03:45:00,0.0,0.045,0.0,1.0666666666666667
2024-01-01 04:00:00,0.0,0.045,0.0,1.3333333333333333
2024-01-01 04:15:00,0.0,0.235,0.0,0.8
2024-01-01 04:30:00,0.0,0.121,0.0,2.1333333333333333
2024-01-01 04:45:00,0.0,0.045,0.0,2.6666666666666665
2024-01-01 05:00:00,0.0,0.045,0.0,0.0
2024-01-01 05:15:00,0.0,0.045,0.0,0.0
2024-01-01 05:30:00,0.0,0.10833333333333334,0.0,2.1333333333333333
2024-01-01 05:45:00,0.0,0.235,0.0,2.4
2024-01-01 06:00:00,0.0,0.057666666666666665,0.0,0.0
2024-01-01 06:15:00,0.0,0.045,0.0,0.0
2024-01-01 06:30:00,0.0,0.045,0.0,0.0
2024-01-01 06:45:00,0.0,0.045,0.0,0.0
2024-01-01 07:00:00,0.0,0.17166666666666666,0.0,0.0
2024-01-01 07:15:00,0.0,0.18433333333333332,0.0,0.0
2024-01-01 07:30:00,0.0,0.045,0.0,0.0
2024-01-01 07:45:00,0.0,0.045,0.0,0.0
2024-01-01 08:00:00,0.0,0.045,0.0,0.0
2024-01-01 08:15:00,0.0,0.045,0.0,0.0
2024-01-01 08:30:00,0.0,0.235,0.0,0.0
2024-01-01 08:45:00,0.0,0.121,0.0,0.0
2024-01-01 09:00:00,0.0,0.045,0.0,0.0
2024-01-01 09:15:00,0.0,0.045,0.0,0.0
2024-01-01 09:30:00,0.0,0.045,0.0,0.0
2024-01-01 09:45:00,0.0,0.10833333333333334,0.0,0.0
2024-01-01 10:00:00,0.0,0.235,0.0,0.8
2024-01-01 10:15:00,0.0,0.057666666666666665,0.0,2.1333333333333333
2024-01-01 10:30:00,0.0,0.045,0.0,0.0
2024-01-01 10:45:00,0.0,0.045,0.0,0.0
2024-01-01 11:00:00,0.0,0.44480000000000003,0.0,0.0
2024-01-01 11:15:00,0.0,0.22813333333333333,0.0,0.0
2024-01-01 11:30:00,0.0,0.30879999999999996,0.0,0.0
2024-01-01 11:45:00,0.0,0.179,0.0,0.0
2024-01-01 12:00:00,0.0,0.179,6.6,0.0
2024-01-01 12:15:00,0.0,0.179,0.0,0.0
2024-01-01 12:30:00,0.0,0.15438666666666664,0.0,0.0
2024-01-01 12:45:00,0.0,0.24366666666666664,0.0,0.0
2024-01-01 13:00:00,0.0,0.16134523770585904,0.0,0.0
2024-01-01 13:15:00,0.0,0.10471310944318507,0.0,0.0
2024-01-01 13:30:00,0.0,0.2223759397255878,0.0,0.0
2024-01-01 13:45:00,0.0,0.22004260639225448,0.0,0.0
2024-01-01 14:00:00,0.0,0.39370927305892106,0.0,0.0
2024-01-01 14:15:00,0.0,0.4961881435242653,0.0,0.0
2024-01-01 14:30:00,0.0,0.2593333333333333,0.0,0.0
2024-01-01 14:45:00,0.0,0.15073333333333333,0.0,0.0
2024-01-01 15:00:00,0.0,0.06588249491511568,0.0,0.0
2024-01-01 15:15:00,0.0,0.08595707570600684,0.0,0.0
2024-01-01 15:30:00,0.0,0.31749040903934017,0.0,0.0
2024-01-01 15:45:00,0.0,0.31975707570600687,0.0,0.0
2024-01-01 16:00:00,0.0,0.1778237423726735,0.0,0.0
2024-01-01 16:15:00,0.0,0.17467074440662725,0.0,0.0
2024-01-01 16:30:00,0.0,0.0934,0.0,0.0
2024-01-01 16:45:00,0.0,0.045,0.0,0.5333333333333333
2024-01-01 17:00:00,0.0,0.235,7.333333333333333,2.4
2024-01-01 17:15:00,0.0,0.121,0.0,0.0
2024-01-01 17:30:00,0.0,0.045,0.0,0.0
2024-01-01 17:45:00,0.0,0.045,0.0,0.0
2024-01-01 18:00:00,0.0,0.045,0.0,0.0
2024-01-01 18:15:00,0.0,0.10833333333333334,0.0,0.0
2024-01-01 18:30:00,0.0,0.23815299796604625,0.0,0.0
2024-01-01 18:45:00,0.0,0.08249040903934017,0.0,0.0
2024-01-01 19:00:00,0.0,0.07789040903934018,0.0,0.0
2024-01-01 19:15:00,0.0,0.1908237423726735,0.0,0.0
2024-01-01 19:30:00,0.0,0.1908237423726735,0.0,0.0
2024-01-01 19:45:00,0.0,0.30904594158953824,0.0,0.0
2024-01-01 20:00:00,0.0,0.3449521973529143,0.0,0.0
2024-01-01 20:15:00,0.0,0.2701521973529143,0.0,0.0
2024-01-01 20:30:00,0.0,0.1975521973529143,0.0,0.0
2024-01-01 20:45:00,0.0,0.1975521973529143,0.0,0.0
2024-01-01 21:00:00,0.0,0.1975521973529143,0.0,0.0
2024-01-01 21:15:00,0.0,0.3720351455582191,0.0,0.0
2024-01-01 21:30:00,0.0,0.3095759397255878,0.0,0.0
2024-01-01 21:45:00,0.0,0.3399092730589211,0.0,0.0
2024-01-01 22:00:00,0.0,0.3433759397255878,0.0,0.0
