,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.24533333333333332,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.09733333333333333,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.152,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.21066666666666664,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.14866666666666667,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.11333333333333333,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.5977999999999999,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.6230666666666667,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.13399999999999998,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.09666666666666666,0.0,4.333333333333333
2024-01-01 04:30:00,0.001,0.001,0.18533333333333332,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.14133333333333334,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.08266666666666667,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.24259999999999998,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,1.1055333333333333,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.08266666666666667,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.6744,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.12199999999999998,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.16,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.13399999999999998,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.49689424542360405,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.13089883358833826,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.32674260639225444,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.33940927305892116,0.0,3.0
2024-01-01 09:15:00,0.001,0.001,0.7965346922680301,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.453518864019581,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.860654212274499,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.2830333333333333,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.27036666666666664,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.2623666666666667,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.23303333333333334,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.29569999999999996,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.2797,2.2,0.0
2024-01-01 12:15:00,0.001,0.001,0.2917,0.0,0.0
