,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.6517822434126704,0.33437593972558777,0.0
2024-01-01 00:15:00,0.001,0.11003856463190093,0.8569252072746164,0.0
2024-01-01 00:30:00,0.001,0.13970506768754115,0.3028237423726735,0.0
2024-01-01 00:45:00,0.001,0.2953721858701199,0.3280655002550049,0.0
2024-01-01 01:00:00,0.001,0.001,0.4667759397255878,0.0
2024-01-01 01:15:00,0.001,0.001,0.6903092730589212,0.0
2024-01-01 01:30:00,0.001,0.001,0.10850927305892115,0.0
2024-01-01 01:45:00,0.001,0.001,0.21337593972558783,0.0
2024-01-01 02:00:00,0.001,0.001,0.6131759397255879,0.0
2024-01-01 02:15:00,0.001,0.001,0.2986426063922545,0.0
2024-01-01 02:30:00,0.001,0.001,0.5243759397255877,1.8666666666666667
2024-01-01 02:45:00,0.001,0.001,0.3875391265687268,0.5333333333333333
2024-01-01 03:00:00,0.001,0.001,0.17630599593209254,0.0
2024-01-01 03:15:00,0.001,0.001,0.17,0.4
2024-01-01 03:30:00,0.001,0.001,0.08933333333333333,0.0
2024-01-01 03:45:00,0.001,0.001,0.09966666666666667,0.0
2024-01-01 04:00:00,0.001,0.001,0.239,0.0
2024-01-01 04:15:00,0.001,0.001,0.07433333333333333,1.8666666666666667
2024-01-01 04:30:00,0.001,0.001,0.049,1.6
2024-01-01 04:45:00,0.001,0.001,0.049,2.0
2024-01-01 05:00:00,0.001,0.001,0.44880000000000003,2.0
2024-01-01 05:15:00,0.001,0.001,0.13766666666666666,0.4
2024-01-01 05:30:00,0.001,0.001,0.22633333333333333,0.0
2024-01-01 05:45:00,0.001,0.001,0.049,0.0
2024-01-01 06:00:00,0.001,0.001,0.049,0.0
2024-01-01 06:15:00,0.001,0.001,0.14,0.0
2024-01-01 06:30:00,0.001,0.001,0.14,0.0
2024-01-01 06:45:00,0.001,0.001,0.27620000000000006,0.0
2024-01-01 07:00:00,0.001,0.001,2.371466666666667,0.0
2024-01-01 07:15:00,0.001,0.001,0.8677333333333334,0.0
2024-01-01 07:30:00,0.001,0.001,0.22193333333333332,0.0
2024-01-01 07:45:00,0.001,0.001,2.994066666666667,0.0
2024-01-01 08:00:00,0.001,0.001,0.25348553068624763,0.0
2024-01-01 08:15:00,0.001,0.001,0.25821886401958094,0.0
2024-01-01 08:30:00,0.001,0.001,0.5946855306862476,0.0
2024-01-01 08:45:00,0.001,0.001,0.0935521973529143,0.0
2024-01-01 09:00:00,0.001,0.001,0.0935521973529143,0.0
2024-01-01 09:15:00,0.001,0.001,0.08093131841174858,0.0
2024-01-01 09:30:00,0.001,0.001,0.506018864019581,0.0
2024-01-01 09:45:00,0.001,0.001,0.2835521973529142,0.0
2024-01-01 10:00:00,0.001,0.001,0.6439521973529143,0.0
2024-01-01 10:15:00,0.001,0.001,0.734618864019581,0.0
2024-01-01 10:30:00,0.001,0.001,0.17631043947058286,0.0
2024-01-01 10:45:00,0.001,0.001,0.17,0.0
2024-01-01 11:00:00,0.001,0.001,0.22066666666666668,0.0
2024-01-01 11:15:00,0.001,0.001,0.239,0.0
2024-01-01 11:30:00,0.001,0.001,1.0872,0.0
2024-01-01 11:45:00,0.001,0.001,2.448,0.0
2024-01-01 12:00:00,0.001,0.001,0.049,0.0
