,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.0,0.054,0.0
2024-01-01 00:15:00,0.001,0.0,0.054,0.0
2024-01-01 00:30:00,0.001,0.0,0.19333333333333333,0.0
2024-01-01 00:45:00,0.001,0.0,0.206,0.0
2024-01-01 01:00:00,0.001,0.0,0.054,0.0
2024-01-01 01:15:00,0.001,0.0,0.054,0.0
2024-01-01 01:30:00,0.001,0.0,0.054,0.0
2024-01-01 01:45:00,0.001,0.0,0.11733333333333333,0.0
2024-01-01 02:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 02:15:00,0.001,0.0,0.092,0.0
2024-01-01 02:30:00,0.001,0.0,0.054,0.0
2024-01-01 02:45:00,0.001,0.0,0.054,0.0
2024-01-01 03:00:00,0.001,0.0,0.054,0.0
2024-01-01 03:15:00,0.001,0.0,0.2313333333333333,0.0
2024-01-01 03:30:00,0.001,0.0,0.168,0.0
2024-01-01 03:45:00,0.001,0.0,0.054,0.0
2024-01-01 04:00:00,0.001,0.0,0.054,0.0
2024-01-01 04:15:00,0.001,0.0,0.054,0.0
2024-01-01 04:30:00,0.001,0.0,0.15533333333333335,0.0
2024-01-01 04:45:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 05:00:00,0.001,0.0,0.054,3.7333333333333334
2024-01-01 05:15:00,0.001,0.0,0.054,0.0
2024-01-01 05:30:00,0.001,0.0,0.054,0.0
2024-01-01 05:45:00,0.001,0.0,0.07933333333333333,0.0
2024-01-01 06:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 06:15:00,0.001,0.0,0.13,0.0
2024-01-01 06:30:00,0.001,0.0,0.054,0.0
2024-01-01 06:45:00,0.001,0.0,0.054,0.0
2024-01-01 07:00:00,0.001,0.0,0.054,1.8666666666666667
2024-01-01 07:15:00,0.001,0.0,0.19333333333333333,0.0
2024-01-01 07:30:00,0.001,0.0,0.7390666666666665,0.0
2024-01-01 07:45:00,0.001,0.0,0.054,0.0
2024-01-01 08:00:00,0.001,0.0,0.054,0.0
2024-01-01 08:15:00,0.001,0.0,0.054,0.0
2024-01-01 08:30:00,0.001,0.0,0.11733333333333333,0.0
2024-01-01 08:45:00,0.001,0.0,0.6438,0.0
2024-01-01 09:00:00,0.001,0.0,0.092,0.0
2024-01-01 09:15:00,0.001,0.0,0.054,0.0
2024-01-01 09:30:00,0.001,0.0,0.13466666666666666,0.0
2024-01-01 09:45:00,0.001,0.0,0.18193333333333334,0.9333333333333333
2024-01-01 10:00:00,0.001,0.0,0.36533333333333334,0.9333333333333333
2024-01-01 10:15:00,0.001,0.0,0.302,0.0
2024-01-01 10:30:00,0.001,0.0,0.188,0.0
2024-01-01 10:45:00,0.001,0.0,0.07966666666666668,0.0
2024-01-01 11:00:00,0.001,0.0,0.054,0.0
2024-01-01 11:15:00,0.001,0.0,0.15533333333333335,0.0
2024-01-01 11:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 11:45:00,0.001,0.0,0.054,0.0
2024-01-01 12:00:00,0.001,0.0,0.054,2.3333333333333335
2024-01-01 12:15:00,0.001,0.0,0.054,0.0
2024-01-01 12:30:00,0.001,0.0,0.07933333333333333,0.0
2024-01-01 12:45:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 13:00:00,0.001,0.0,0.13,0.0
2024-01-01 13:15:00,0.001,0.0,0.054,0.0
2024-01-01 13:30:00,0.001,0.0,0.054,0.0
2024-01-01 13:45:00,0.001,0.0,0.054,0.0
2024-01-01 14:00:00,0.001,0.0,0.19333333333333333,0.0
2024-01-01 14:15:00,0.001,0.0,0.206,0.0
2024-01-01 14:30:00,0.001,0.0,0.054,0.0
2024-01-01 14:45:00,0.001,0.0,0.054,0.0
2024-01-01 15:00:00,0.001,0.0,0.054,0.0
2024-01-01 15:15:00,0.001,0.0,0.5171333333333333,0.0
2024-01-01 15:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 15:45:00,0.001,0.0,0.092,0.0
2024-01-01 16:00:00,0.001,0.0,0.054,0.0
