,WasherDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.07588553068624763,0.0,0.0,1.2
2024-01-01 00:15:00,0.001,0.0,0.18459798507841527,0.0,0.0,2.4
2024-01-01 00:30:00,0.001,0.0,0.351,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.113,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.08833333333333333,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.11033333333333332,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.057666666666666665,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.2046666666666667,0.0,0.0,0.8
2024-01-01 02:00:00,0.001,0.0,0.2786666666666667,0.0,0.0,2.6
2024-01-01 02:15:00,0.001,0.0,0.12566666666666668,0.0,0.0,2.4
2024-01-01 02:30:00,0.001,0.0,0.13233333333333333,0.0,0.0,0.6
2024-01-01 02:45:00,0.001,0.0,0.5993999999999999,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.13,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.1713333333333333,0.0,1.4,3.0
2024-01-01 03:30:00,0.001,0.0,0.227,0.0,1.0,0.6
2024-01-01 03:45:00,0.001,0.0,0.16766666666666669,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.13233333333333333,0.0,0.2,0.0
2024-01-01 04:15:00,0.001,0.0,0.04733333333333333,0.0,3.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.192,0.0,3.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.099,0.0,3.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.21433333333333335,0.0,1.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.22433333333333336,0.0,1.4,0.0
2024-01-01 05:30:00,0.001,0.0,0.08833333333333333,0.0,0.4,1.2
2024-01-01 05:45:00,0.001,0.0,0.11966666666666666,0.0,0.0,0.8
2024-01-01 06:00:00,0.001,0.0,0.18166666666666667,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.037,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.20900000000000002,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.6789844131072477,0.0,0.2,0.0
2024-01-01 07:00:00,0.001,0.0,0.19462374237267352,0.0,3.0,3.0
2024-01-01 07:15:00,0.001,0.0,0.21682374237267352,0.0,0.0,3.0
2024-01-01 07:30:00,0.001,0.0,0.13415707570600685,0.0,0.0,0.8
2024-01-01 07:45:00,0.001,0.0,0.05788249491511566,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.26279232723147217,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.2744904090393402,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.13415707570600685,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.3500904090393402,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.32283932926542586,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.5830666666666667,0.0,0.0,2.0
2024-01-01 09:30:00,0.001,0.0,0.6844666666666667,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.3576666666666667,0.0,0.0,0.0
2024-01-01 10:00:00,0.001,0.0,0.18166666666666667,0.0,0.0,2.0
2024-01-01 10:15:00,0.001,0.0,0.11966666666666666,0.0,0.0,3.0
2024-01-01 10:30:00,0.001,0.0,0.5700666666666667,0.0,0.0,3.0
2024-01-01 10:45:00,0.001,0.0,0.06712158282484489,0.0,0.0,1.4
