,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.5880666666666666,0.0,1.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.046,0.0,2.3333333333333335
2024-01-01 01:00:00,0.001,0.0,0.001,0.052933333333333325,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.06633333333333333,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.08833333333333333,0.0,0.6666666666666666
2024-01-01 02:00:00,0.001,0.0,0.001,0.05726666666666667,0.0,0.3333333333333333
2024-01-01 02:15:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.156,0.2,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.07533333333333332,2.2,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.046,1.4,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.05333333333333334,0.6,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.156,0.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.046,0.6,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.046,0.6,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.156,3.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.046,1.8,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.046,3.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.046,1.6,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.156,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.08339999999999999,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.17393333333333333,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.18,0.0,2.0
2024-01-01 08:30:00,0.3701495668269094,0.0,0.001,0.18,0.0,0.0
2024-01-01 08:45:00,0.7920347860576631,0.0,0.001,0.18733333333333332,0.0,0.0
2024-01-01 09:00:00,0.7920347860576631,0.0,0.001,0.20673333333333332,0.0,0.0
2024-01-01 09:15:00,0.7920347860576631,0.0,0.001,0.07533333333333332,2.4,0.0
2024-01-01 09:30:00,0.7920347860576631,0.0002,0.001,0.046,0.0,0.0
2024-01-01 09:45:00,0.7920347860576631,1.9501333333333333,0.001,0.046,0.0,0.6666666666666666
2024-01-01 10:00:00,0.7920347860576631,1.2004666666666668,0.001,0.0486,0.0,0.6666666666666666
2024-01-01 10:15:00,0.7920347860576631,1.5003333333333333,0.001,0.06633333333333333,0.0,0.0
2024-01-01 10:30:00,0.7920347860576631,0.0006666666666666666,0.001,0.7020666666666667,0.0,1.0
2024-01-01 10:45:00,0.7920347860576631,0.0,0.001,0.08833333333333333,0.0,3.3333333333333335
2024-01-01 11:00:00,0.7920347860576631,0.0,0.001,0.059000000000000004,0.0,0.0
2024-01-01 11:15:00,0.7920347860576631,0.0,0.001,0.04773333333333333,0.0,0.0
2024-01-01 11:30:00,0.5810921764422863,0.0,0.001,0.0564,0.0,2.3333333333333335
2024-01-01 11:45:00,0.001,0.0,0.001,0.06633333333333333,0.0,5.0
2024-01-01 12:00:00,0.001,0.0,0.001,0.2819333333333333,0.0,5.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.20933333333333332,2.2,5.0
2024-01-01 12:30:00,0.001,0.0,0.001,0.17220000000000002,0.0,5.0
2024-01-01 12:45:00,0.001,0.0,0.001,0.167,0.0,5.0
2024-01-01 13:00:00,0.001,0.0,0.001,0.167,0.0,5.0
2024-01-01 13:15:00,0.001,0.0,0.001,0.10173333333333333,0.0,5.0
2024-01-01 13:30:00,0.001,0.0,0.001,0.156,0.0,4.333333333333333
2024-01-01 13:45:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-01 14:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.156,0.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-01 15:30:00,0.001,0.0,0.001,0.046,2.4,0.0
2024-01-01 15:45:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 16:15:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.156,0.0,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 17:45:00,0.001,0.0,0.001,0.5881333333333333,0.0,4.333333333333333
2024-01-01 18:00:00,0.001,0.0,0.001,0.169,0.0,5.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.2565342454236041,0.0,5.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.3275237423726735,0.0,5.0
2024-01-01 18:45:00,0.001,0.0,0.001,2.308057075706007,0.0,5.0
2024-01-01 19:00:00,0.001,0.0,0.001,1.7603724599020603,2.0,5.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.31956610740923136,0.2,5.0
2024-01-01 19:30:00,0.001,0.0,0.001,0.4442521973529143,0.0,5.0
2024-01-01 19:45:00,0.001,0.0,0.001,0.5089934448104722,0.0,5.0
2024-01-01 20:00:00,0.001,0.0,0.001,2.4596620204314776,0.0,4.333333333333333
2024-01-01 20:15:00,0.001,0.0,0.001,1.8916918739412831,0.0,0.0
2024-01-01 20:30:00,0.001,0.0,0.001,0.3057426063922545,0.0,0.0
2024-01-01 20:45:00,0.001,0.0,0.001,0.23240927305892117,0.0,0.0
2024-01-01 21:00:00,0.001,0.0,0.001,0.4399426063922545,0.0,0.0
2024-01-01 21:15:00,0.001,0.0,0.001,0.7633855306862477,0.0,0.0
2024-01-01 21:30:00,0.001,0.0,0.001,0.30690695964705517,0.0,3.3333333333333335
2024-01-01 21:45:00,0.001,0.0,0.001,0.32373479823527623,0.0,1.3333333333333333
2024-01-01 22:00:00,0.001,0.0,0.001,0.2535855306862477,0.0,0.0
2024-01-01 22:15:00,0.001,0.0,0.001,0.2874836124941157,0.0,0.0
2024-01-01 22:30:00,0.001,0.0,0.001,0.45607593972558785,0.0,0.0
2024-01-01 22:45:00,0.001,0.0,0.001,0.3669953537648107,0.0,0.0
2024-01-01 23:00:00,0.001,0.0,0.001,0.3145237423726735,0.0,0.0
2024-01-01 23:15:00,0.001,0.0,0.001,0.16857040903934017,0.0,0.6666666666666666
2024-01-01 23:30:00,0.001,0.0,0.001,0.0554589938981388,0.0,2.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-02 00:00:00,0.001,0.0,0.001,0.7008904090393402,0.0,0.0
2024-01-02 00:15:00,0.001,0.0,0.001,0.1678237423726735,0.0,0.0
2024-01-02 00:30:00,0.001,0.0,0.001,0.1788237423726735,0.0,2.6666666666666665
2024-01-02 00:45:00,0.001,0.0,0.001,0.1788237423726735,0.0,0.0
2024-01-02 01:00:00,0.001,0.0,0.001,0.17803549288116194,0.0,1.0
2024-01-02 01:15:00,0.001,0.0,0.001,0.17433333333333334,0.0,3.0
2024-01-02 01:30:00,0.001,0.0,0.001,0.19633333333333336,0.0,0.0
2024-01-02 01:45:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-02 02:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-02 02:15:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-02 02:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-02 02:45:00,0.001,0.0,0.001,0.05333333333333334,0.0,0.0
2024-01-02 03:00:00,0.001,0.0,0.001,0.156,0.0,3.6666666666666665
2024-01-02 03:15:00,0.001,0.0,0.001,0.07533333333333332,0.6,0.0
2024-01-02 03:30:00,0.001,0.0,0.001,0.44580000000000003,0.6,1.3333333333333333
2024-01-02 03:45:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-02 04:15:00,0.001,0.0,0.001,0.05333333333333334,1.8,0.0
2024-01-02 04:30:00,0.001,0.0,0.001,0.156,0.6,3.6666666666666665
2024-01-02 04:45:00,0.001,0.0,0.001,0.07533333333333332,0.0,0.0
2024-01-02 05:00:00,0.001,0.0,0.001,0.046,0.0,0.3333333333333333
2024-01-02 05:15:00,0.001,0.0,0.001,0.3306266666666666,0.0,1.0
2024-01-02 05:30:00,0.001,0.0,0.001,0.3149666666666667,0.0,0.0
2024-01-02 05:45:00,0.001,0.0,0.001,0.18903333333333333,0.0,1.3333333333333333
2024-01-02 06:00:00,0.001,0.0,0.001,0.4249666666666666,0.0,0.6666666666666666
2024-01-02 06:15:00,0.001,0.0,0.001,0.6108333333333333,0.0,5.0
2024-01-02 06:30:00,0.001,0.0,0.001,0.1817,0.0,5.0
2024-01-02 06:45:00,0.001,0.0,0.001,0.1817,1.2,5.0
2024-01-02 07:00:00,0.001,0.0,0.001,0.1843,0.0,5.0
2024-01-02 07:15:00,0.001,0.0,0.001,0.20203333333333334,0.0,5.0
2024-01-02 07:30:00,0.001,0.0,0.001,0.3046999999999999,0.0,5.0
