,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-01 00:00:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 00:15:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 00:30:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 00:45:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 01:00:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 01:15:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 01:30:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 01:45:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 02:00:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 02:15:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 02:30:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 02:45:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 03:00:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 03:15:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 03:30:00,2.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 03:45:00,2.0,60.0,60.0,0.0,0.0,0.7883333333333329,1,0,1,0.7556666666666667
2024-01-01 04:00:00,2.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 04:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 04:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 04:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 05:00:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 05:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 05:30:00,2.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 05:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 06:00:00,2.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 06:15:00,2.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 06:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 06:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 07:00:00,3.0,60.0,60.0,0.0,0.0,0.7999999999999994,0,0,1,0.0
2024-01-01 07:15:00,3.0,60.0,60.0,0.0,0.0,0.0,0,1,0,0.0
2024-01-01 07:30:00,3.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 07:45:00,2.0,60.0,60.0,0.0,0.0,0.7999999999999998,1,0,1,0.7883333333333333
2024-01-01 08:00:00,2.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 08:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 08:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 08:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 09:00:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 09:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 09:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 09:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 10:00:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 10:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 10:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 10:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 11:00:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 11:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 11:30:00,3.0,60.0,60.0,0.0,0.0,0.7999999999999998,0,0,1,0.0
2024-01-01 11:45:00,1.0,60.0,60.0,0.0,0.0,0.0,0,1,0,0.0
2024-01-01 12:00:00,1.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 12:15:00,1.0,60.0,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-01 12:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,1,0,1,0.7813333333333333
2024-01-01 12:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 13:00:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 13:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 13:30:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 13:45:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 14:00:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 14:15:00,1.0,60.0,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 14:30:00,1.0,60.1860143334926,60.0,0.770224,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 14:45:00,1.0,57.305630578117544,60.0,3.594378666666667,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 15:00:00,3.0,58.52849077878647,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 15:15:00,1.0,57.8381538461539,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 15:30:00,1.0,58.146087720974755,60.0,3.0808960000000005,0.0,0.0,0,1,0,0.0
2024-01-01 15:45:00,3.0,60.292007262303024,60.0,0.5134826666666666,0.0,0.0,0,0,0,0.0
2024-01-01 16:00:00,3.0,59.61495269947454,60.0,2.053930666666667,0.0,0.0,0,0,0,0.0
2024-01-01 16:15:00,1.0,60.587137314859184,60.0,0.2567413333333333,0.0,0.0,0,0,0,0.0
