,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.001,0.14233333333333334
2024-01-01 00:15:00,0.001,0.0,0.001,0.5740666666666667
2024-01-01 00:30:00,0.001,0.0,0.001,0.041
2024-01-01 00:45:00,0.001,0.0,0.001,0.041
2024-01-01 01:00:00,0.001,0.0,0.001,0.06633333333333334
2024-01-01 01:15:00,0.001,0.0,0.001,0.231
2024-01-01 01:30:00,0.001,0.0,0.001,0.05366666666666667
2024-01-01 01:45:00,0.001,0.0,0.001,0.041
2024-01-01 02:00:00,0.001,0.0,0.001,0.4408
2024-01-01 02:15:00,0.001,0.0,0.001,0.041
2024-01-01 02:30:00,0.001,0.0,0.001,0.155
2024-01-01 02:45:00,0.001,0.0,0.001,0.155
2024-01-01 03:00:00,0.001,0.0,0.001,0.041
2024-01-01 03:15:00,0.001,0.0,0.001,0.041
2024-01-01 03:30:00,0.001,0.0,0.001,0.041
2024-01-01 03:45:00,0.001,0.0,0.001,0.05366666666666667
2024-01-01 04:00:00,0.001,0.0,0.001,0.231
2024-01-01 04:15:00,0.001,0.0,0.001,0.06633333333333333
2024-01-01 04:30:00,0.001,0.0,0.001,0.041
2024-01-01 04:45:00,0.001,0.0,0.001,0.041
2024-01-01 05:00:00,0.001,0.0,0.001,0.041
2024-01-01 05:15:00,0.001,0.0,0.001,0.14233333333333334
2024-01-01 05:30:00,0.001,0.0,0.001,0.16766666666666669
2024-01-01 05:45:00,0.001,0.0,0.001,0.041
2024-01-01 06:00:00,0.001,0.0,0.001,0.041
2024-01-01 06:15:00,0.001,0.0,0.001,0.041
2024-01-01 06:30:00,0.001,0.0,0.001,0.041
2024-01-01 06:45:00,0.001,0.0,0.001,0.231
2024-01-01 07:00:00,0.001,0.0,0.001,0.4788
2024-01-01 07:15:00,0.001,0.0,0.001,0.17426666666666665
2024-01-01 07:30:00,0.001,0.0,0.001,0.5740666666666667
2024-01-01 07:45:00,0.001,0.0,0.001,0.041
2024-01-01 08:00:00,0.001,0.0,0.001,0.12966666666666668
2024-01-01 08:15:00,0.001,0.0,0.001,0.18033333333333335
2024-01-01 08:30:00,0.001,0.0,0.001,0.5740666666666667
2024-01-01 08:45:00,0.001,0.0,0.001,0.041
2024-01-01 09:00:00,0.001,0.0,0.001,0.041
2024-01-01 09:15:00,0.001,0.0,0.001,0.041
2024-01-01 09:30:00,0.001,0.0,0.001,0.21833333333333335
2024-01-01 09:45:00,0.001,0.0,0.001,0.09166666666666666
2024-01-01 10:00:00,0.001,0.0,0.001,0.041
2024-01-01 10:15:00,0.001,0.0,0.001,0.041
2024-01-01 10:30:00,0.001,0.0,0.001,0.041
2024-01-01 10:45:00,0.001,0.0,0.001,0.117
2024-01-01 11:00:00,0.001,0.0,0.001,0.1982
2024-01-01 11:15:00,0.001,0.0,0.001,0.054
2024-01-01 11:30:00,0.001,0.0,0.001,0.4538
2024-01-01 11:45:00,0.001,0.0,0.001,0.054
