,WasherDryer,TumbleDryer,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.3046999999999999
2024-01-01 00:15:00,0.001,0.001,0.2321
2024-01-01 00:30:00,0.001,0.001,0.19836666666666666
2024-01-01 00:45:00,0.001,0.001,0.29369999999999996
2024-01-01 01:00:00,0.001,0.001,0.22036666666666666
2024-01-01 01:15:00,0.001,0.001,0.1837
2024-01-01 01:30:00,0.001,0.001,0.1837
2024-01-01 01:45:00,0.001,0.001,0.1837
2024-01-01 02:00:00,0.001,0.001,0.1837
2024-01-01 02:15:00,0.001,0.001,0.2790333333333333
2024-01-01 02:30:00,0.001,0.001,0.24969999999999998
2024-01-01 02:45:00,0.001,0.001,0.1837
2024-01-01 03:00:00,0.001,0.001,0.17465333333333335
2024-01-01 03:15:00,0.001,0.001,0.048
2024-01-01 03:30:00,0.001,0.001,0.048
2024-01-01 03:45:00,0.001,0.001,0.6470666666666667
2024-01-01 04:00:00,0.001,0.001,0.14333333333333334
2024-01-01 04:15:00,0.001,0.001,0.048
2024-01-01 04:30:00,0.001,0.001,0.048
2024-01-01 04:45:00,0.001,0.001,0.048
2024-01-01 05:00:00,0.001,0.001,0.048
2024-01-01 05:15:00,0.001,0.001,0.08466666666666667
2024-01-01 05:30:00,0.001,0.001,0.158
2024-01-01 05:45:00,0.001,0.001,0.06266666666666668
2024-01-01 06:00:00,0.001,0.001,0.44780000000000003
2024-01-01 06:15:00,0.001,0.001,0.048
2024-01-01 06:30:00,0.001,0.001,0.048
2024-01-01 06:45:00,0.001,0.001,0.05533333333333334
2024-01-01 07:00:00,0.001,0.001,0.1640666666666667
2024-01-01 07:15:00,0.001,0.001,0.11130599593209255
2024-01-01 07:30:00,0.001,0.001,0.07282374237267351
2024-01-01 07:45:00,0.001,0.001,0.6058904090393402
2024-01-01 08:00:00,0.001,0.001,0.07282374237267351
2024-01-01 08:15:00,0.001,0.001,0.0657294969490694
2024-01-01 08:30:00,0.001,0.001,0.6820666666666667
2024-01-01 08:45:00,0.001,0.001,0.13433333333333333
2024-01-01 09:00:00,0.001,0.001,0.061000000000000006
2024-01-01 09:15:00,0.001,0.001,0.048
2024-01-01 09:30:00,0.001,0.001,0.052333333333333336
2024-01-01 09:45:00,0.001,0.001,0.061000000000000006
2024-01-01 10:00:00,0.001,0.001,0.11966666666666667
2024-01-01 10:15:00,0.001,0.001,0.41326666666666667
2024-01-01 10:30:00,0.001,0.001,1.8420666666666667
2024-01-01 10:45:00,0.001,0.001,1.1313333333333333
2024-01-01 11:00:00,0.001,0.001,0.048
2024-01-01 11:15:00,0.001,0.001,0.048
2024-01-01 11:30:00,0.001,0.001,0.07733333333333332
2024-01-01 11:45:00,0.001,0.001,0.158
2024-01-01 12:00:00,0.001,0.001,0.07346666666666667
2024-01-01 12:15:00,0.001,0.001,0.54912
2024-01-01 12:30:00,0.001,0.001,0.14852666666666667
2024-01-01 12:45:00,0.001,0.001,0.8507666666666667
2024-01-01 13:00:00,0.001,0.001,0.3151
2024-01-01 13:15:00,0.001,0.001,0.42596666666666666
2024-01-01 13:30:00,0.001,0.001,0.3690333333333333
2024-01-01 13:45:00,0.001,0.001,0.3177
2024-01-01 14:00:00,0.001,0.001,0.3177
2024-01-01 14:15:00,0.001,0.001,0.3142333333333333
2024-01-01 14:30:00,0.001,0.001,0.3046999999999999
2024-01-01 14:45:00,0.001,0.001,0.3853666666666667
2024-01-01 15:00:00,0.001,0.001,0.3940374110732939
2024-01-01 15:15:00,0.001,0.001,0.3165237423726735
2024-01-01 15:30:00,0.001,0.001,0.3165237423726735
2024-01-01 15:45:00,0.001,0.001,0.3165237423726735
2024-01-01 16:00:00,0.001,0.001,0.1955237423726735
2024-01-01 16:15:00,0.001,0.001,1.3722844131072476
2024-01-01 16:30:00,0.001,0.001,2.4156999999999997
2024-01-01 16:45:00,0.001,0.001,0.6081
2024-01-01 17:00:00,0.001,0.001,0.1837
2024-01-01 17:15:00,0.001,0.001,0.1837
2024-01-01 17:30:00,0.001,0.001,0.1837
2024-01-01 17:45:00,0.001,0.001,0.22559040903934016
2024-01-01 18:00:00,0.001,0.001,1.5750104090393402
2024-01-01 18:15:00,0.001,0.001,1.458157075706007
2024-01-01 18:30:00,0.001,0.001,0.3092570757060068
2024-01-01 18:45:00,0.001,0.001,0.3157354928811619
2024-01-01 19:00:00,0.001,0.001,0.3046999999999999
2024-01-01 19:15:00,0.001,0.001,0.3046999999999999
2024-01-01 19:30:00,0.001,0.001,0.40736666666666665
2024-01-01 19:45:00,0.001,0.001,0.36336666666666667
2024-01-01 20:00:00,0.001,0.001,0.3145510797739143
2024-01-01 20:15:00,0.001,0.001,0.3295237423726735
2024-01-01 20:30:00,0.001,0.001,0.3295237423726735
2024-01-01 20:45:00,0.001,0.001,0.3295237423726735
2024-01-01 21:00:00,0.001,0.001,0.5071904090393402
2024-01-01 21:15:00,0.001,0.001,0.5299079141242244
