,WasherDryer,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.5945,0.0
2024-01-01 00:15:00,0.001,0.001,0.3837,0.0
2024-01-01 00:30:00,0.001,0.001,0.3092764989830231,0.0
2024-01-01 00:45:00,0.001,0.001,0.23885707570600684,0.0
2024-01-01 01:00:00,0.001,0.001,0.2195585406079497,0.0
2024-01-01 01:15:00,0.001,0.001,0.6298759397255879,0.0
2024-01-01 01:30:00,0.001,0.001,0.3820759397255878,1.4
2024-01-01 01:45:00,0.001,0.001,0.37971119125105307,0.6
2024-01-01 02:00:00,0.001,0.001,0.2182521973529143,0.0
2024-01-01 02:15:00,0.001,0.001,0.19090695964705523,0.0
2024-01-01 02:30:00,0.001,0.001,0.18669999999999998,0.0
2024-01-01 02:45:00,0.001,0.001,0.18669999999999998,0.0
2024-01-01 03:00:00,0.001,0.001,0.4376333333333333,0.0
2024-01-01 03:15:00,0.001,0.001,0.4977,0.0
2024-01-01 03:30:00,0.001,0.001,0.34569999999999995,0.0
2024-01-01 03:45:00,0.001,0.001,0.3077,0.0
2024-01-01 04:00:00,0.001,0.001,0.3077,0.0
2024-01-01 04:15:00,0.001,0.001,0.24316666666666664,0.0
2024-01-01 04:30:00,0.001,0.001,0.18669999999999998,0.0
2024-01-01 04:45:00,0.001,0.001,0.35860666666666663,0.0
2024-01-01 05:00:00,0.001,0.001,0.165,0.0
2024-01-01 05:15:00,0.001,0.001,0.051,1.4
2024-01-01 05:30:00,0.001,0.001,0.5840666666666666,0.0
2024-01-01 05:45:00,0.001,0.001,0.051,0.0
2024-01-01 06:00:00,0.001,0.001,0.051,0.0
2024-01-01 06:15:00,0.001,0.001,0.165,0.0
2024-01-01 06:30:00,0.001,0.001,0.241,0.0
2024-01-01 06:45:00,0.001,0.001,0.18426666666666666,0.0
2024-01-01 07:00:00,0.001,0.001,0.4508,0.0
2024-01-01 07:15:00,0.001,0.001,0.051,0.0
2024-01-01 07:30:00,0.001,0.001,0.051,0.0
2024-01-01 07:45:00,0.001,0.001,0.089,0.0
2024-01-01 08:00:00,0.001,0.001,0.24186666666666667,0.8
2024-01-01 08:15:00,0.001,0.001,0.6730666666666667,1.0
2024-01-01 08:30:00,0.001,0.001,0.46380000000000005,0.0
2024-01-01 08:45:00,0.001,0.001,0.9128000000000001,0.0
2024-01-01 09:00:00,0.001,0.001,2.186,0.0
2024-01-01 09:15:00,0.001,0.001,1.4786666666666666,0.0
2024-01-01 09:30:00,0.001,0.001,0.21600000000000003,0.0
2024-01-01 09:45:00,0.001,0.001,0.27932666666666667,0.0
2024-01-01 10:00:00,0.001,0.001,0.19883333333333333,0.0
2024-01-01 10:15:00,0.001,0.001,0.1997,0.0
2024-01-01 10:30:00,0.001,0.001,0.7327666666666666,0.0
2024-01-01 10:45:00,0.001,0.001,0.1997,0.0
2024-01-01 11:00:00,0.001,0.001,0.2722333333333333,0.0
2024-01-01 11:15:00,0.001,0.001,0.3897,0.0
2024-01-01 11:30:00,0.001,0.001,1.7938333333333332,0.0
2024-01-01 11:45:00,0.001,0.001,4.2409,0.0
2024-01-01 12:00:00,0.001,0.001,1.2638333333333334,0.0
2024-01-01 12:15:00,0.001,0.001,0.1961069596470552,2.0
2024-01-01 12:30:00,0.001,0.001,2.382518864019581,0.0
2024-01-01 12:45:00,0.001,0.001,1.0609855306862477,0.0
2024-01-01 13:00:00,0.001,0.001,0.3452521973529143,0.0
2024-01-01 13:15:00,0.001,0.001,0.23931886401958097,0.0
2024-01-01 13:30:00,0.001,0.001,0.3522521973529143,0.0
2024-01-01 13:45:00,0.001,0.001,0.856918864019581,0.0
2024-01-01 14:00:00,0.001,0.001,0.4787699437934953,0.0
2024-01-01 14:15:00,0.001,0.001,0.5990759397255877,0.0
2024-01-01 14:30:00,0.001,0.001,0.6456272221962011,0.0
2024-01-01 14:45:00,0.001,0.001,0.7948770757060069,0.0
2024-01-01 15:00:00,0.001,0.001,0.7007570757060068,0.0
2024-01-01 15:15:00,0.001,0.001,0.17436474847453468,0.0
2024-01-01 15:30:00,0.001,0.001,0.21233333333333332,0.0
2024-01-01 15:45:00,0.001,0.001,0.331,0.0
2024-01-01 16:00:00,0.001,0.001,0.483,0.0
2024-01-01 16:15:00,0.001,0.001,0.35286666666666666,0.0
2024-01-01 16:30:00,0.001,0.001,0.18382374237267352,0.0
2024-01-01 16:45:00,0.001,0.001,0.27996810113736686,0.0
2024-01-01 17:00:00,0.001,0.001,0.36679593972558777,1.2
2024-01-01 17:15:00,0.001,0.001,0.2300759397255878,0.0
2024-01-01 17:30:00,0.001,0.001,0.37892294175954155,0.0
2024-01-01 17:45:00,0.001,0.001,0.7716286963359374,0.0
2024-01-01 18:00:00,0.001,0.001,0.21324810113736686,0.0
2024-01-01 18:15:00,0.001,0.001,0.3089237423726735,0.0
2024-01-01 18:30:00,0.001,0.001,0.1985237423726735,0.0
2024-01-01 18:45:00,0.001,0.001,0.2469237423726735,0.0
2024-01-01 19:00:00,0.001,0.001,0.3955237423726735,0.0
2024-01-01 19:15:00,0.001,0.001,0.5095237423726735,0.0
2024-01-01 19:30:00,0.001,0.001,0.8057237423726735,0.0
2024-01-01 19:45:00,0.001,0.001,0.5553964142092261,1.0
2024-01-01 20:00:00,0.001,0.001,0.4689229417595416,0.0
2024-01-01 20:15:00,0.001,0.001,0.4075426063922544,0.0
2024-01-01 20:30:00,0.001,0.001,0.35914260639225454,0.0
2024-01-01 20:45:00,0.001,0.001,0.6620759397255878,0.0
2024-01-01 21:00:00,0.001,0.001,0.5860759397255878,0.0
2024-01-01 21:15:00,0.001,0.001,0.3609032771268286,0.0
2024-01-01 21:30:00,0.001,0.001,0.33020553068624764,0.0
2024-01-01 21:45:00,0.001,0.001,0.2035521973529143,0.0
2024-01-01 22:00:00,0.001,0.001,0.14486465174508192,0.0
2024-01-01 22:15:00,0.001,0.001,0.24674029298038855,0.0
2024-01-01 22:30:00,0.001,0.001,0.4160111912510531,0.0
2024-01-01 22:45:00,0.001,0.001,0.3251759397255878,0.0
2024-01-01 23:00:00,0.001,0.001,0.3476426063922544,0.0
2024-01-01 23:15:00,0.001,0.001,0.3342724599020601,0.0
2024-01-01 23:30:00,0.001,0.001,0.3087437423726735,0.0
2024-01-01 23:45:00,0.001,0.001,0.4706412474575578,0.0
2024-01-02 00:00:00,0.001,0.001,0.5460999999999999,0.0
2024-01-02 00:15:00,0.001,0.001,0.3837,0.0
2024-01-02 00:30:00,0.001,0.001,0.3077,0.0
2024-01-02 00:45:00,0.001,0.001,0.24140599593209253,0.0
2024-01-02 01:00:00,0.001,0.001,0.1985237423726735,0.0
2024-01-02 01:15:00,0.001,0.001,0.1985237423726735,0.0
2024-01-02 01:30:00,0.001,0.001,0.35052374237267353,0.0
2024-01-02 01:45:00,0.001,0.001,0.35052374237267353,0.0
2024-01-02 02:00:00,0.001,0.001,0.19615899389813882,0.0
2024-01-02 02:15:00,0.001,0.001,0.18669999999999998,0.0
2024-01-02 02:30:00,0.001,0.001,0.18669999999999998,0.0
2024-01-02 02:45:00,0.001,0.001,0.18669999999999998,0.0
2024-01-02 03:00:00,0.001,0.001,0.2627,0.0
2024-01-02 03:15:00,0.001,0.001,0.3767,0.0
2024-01-02 03:30:00,0.001,0.001,0.22469999999999998,0.0
2024-01-02 03:45:00,0.001,0.001,0.5864999999999999,0.0
2024-01-02 04:00:00,0.001,0.001,0.18669999999999998,0.0
2024-01-02 04:15:00,0.001,0.001,0.5864999999999999,0.0
2024-01-02 04:30:00,0.001,0.001,0.18669999999999998,1.2
2024-01-02 04:45:00,0.001,0.001,0.33146666666666663,0.0
2024-01-02 05:00:00,0.001,0.001,0.165,0.0
2024-01-02 05:15:00,0.001,0.001,0.051,0.0
2024-01-02 05:30:00,0.001,0.001,0.051,0.0
2024-01-02 05:45:00,0.001,0.001,0.051,0.0
2024-01-02 06:00:00,0.001,0.001,0.051,0.0
2024-01-02 06:15:00,0.001,0.001,0.165,0.0
2024-01-02 06:30:00,0.001,0.001,0.241,0.0
2024-01-02 06:45:00,0.001,0.001,0.051,0.0
2024-01-02 07:00:00,0.001,0.001,0.051,0.6
2024-01-02 07:15:00,0.001,0.001,0.051,3.0
2024-01-02 07:30:00,0.001,0.001,0.057305995932092534,0.4
2024-01-02 07:45:00,0.001,0.001,0.10082374237267351,0.0
2024-01-02 08:00:00,0.001,0.001,0.2528237423726735,0.0
2024-01-02 08:15:00,0.001,0.001,0.1388237423726735,0.0
2024-01-02 08:30:00,0.001,0.001,0.0628237423726735,0.0
2024-01-02 08:45:00,0.001,0.001,0.05257649898302313,0.0
2024-01-02 09:00:00,0.001,0.001,0.051,0.0
2024-01-02 09:15:00,0.001,0.001,0.4508,0.0
2024-01-02 09:30:00,0.001,0.001,0.20299999999999999,0.0
2024-01-02 09:45:00,0.001,0.001,0.20299999999999999,0.0
2024-01-02 10:00:00,0.001,0.001,0.05793333333333333,0.0
2024-01-02 10:15:00,0.001,0.001,0.9688666666666668,0.0
2024-01-02 10:30:00,0.001,0.001,4.424066666666666,0.0
2024-01-02 10:45:00,0.26467826201922107,0.001,1.364,0.0
2024-01-02 11:00:00,0.7920347860576631,0.001,2.3760666666666665,0.0
2024-01-02 11:15:00,0.7920347860576631,0.001,1.5705402929803887,2.0
2024-01-02 11:30:00,0.7920347860576631,0.001,1.8610855306862477,0.0
2024-01-02 11:45:00,0.7920347860576631,0.001,1.5050721973529142,0.0
2024-01-02 12:00:00,0.7920347860576631,0.11920751533575101,0.4359013589346966,0.0
2024-01-02 12:15:00,0.7920347860576631,0.3770993350918567,0.9455426063922545,0.0
2024-01-02 12:30:00,0.7920347860576631,0.7261964883268495,0.34872868709814403,0.0
2024-01-02 12:45:00,0.7920347860576631,0.13009393002600678,0.5095237423726735,0.0
2024-01-02 13:00:00,0.7920347860576631,0.20773299504554338,0.4980570757060068,0.0
2024-01-02 13:15:00,0.7920347860576631,1.216813004506753,0.43245707570600683,0.0
2024-01-02 13:30:00,0.7920347860576631,0.5173311925843554,0.4405237423726735,0.0
2024-01-02 13:45:00,0.7920347860576631,0.11589228021551379,0.46839596091903707,0.0
2024-01-02 14:00:00,0.4756208716345978,0.2885587116668161,0.47207593972558776,0.0
2024-01-02 14:15:00,0.001,0.9191785643369471,0.5699426063922545,0.0
2024-01-02 14:30:00,0.001,0.001,0.5249426063922544,0.0
2024-01-02 14:45:00,0.001,0.001,0.2300759397255878,0.0
2024-01-02 15:00:00,0.001,0.001,0.2430759397255878,0.0
2024-01-02 15:15:00,0.001,0.001,2.481354356900743,0.0
2024-01-02 15:30:00,0.001,0.001,2.8099049447254703,2.0
2024-01-02 15:45:00,0.001,0.001,1.4253666666666667,0.0
2024-01-02 16:00:00,0.001,0.001,0.4977,0.0
2024-01-02 16:15:00,0.001,0.001,0.4378459747386433,0.0
2024-01-02 16:30:00,0.001,0.001,0.3952359397255878,0.0
2024-01-02 16:45:00,0.001,0.001,0.2425159397255878,0.0
2024-01-02 17:00:00,0.001,0.001,0.2153759397255878,0.0
2024-01-02 17:15:00,0.001,0.001,0.2132724599020602,0.0
2024-01-02 17:30:00,0.001,0.001,0.5450452165124098,0.0
2024-01-02 17:45:00,0.001,0.001,0.6122521973529143,0.0
2024-01-02 18:00:00,0.001,0.001,1.8996521973529141,0.0
2024-01-02 18:15:00,0.001,0.001,2.0049613589346964,0.0
2024-01-02 18:30:00,0.001,0.001,0.5299020204314773,0.0
2024-01-02 18:45:00,0.001,0.001,0.43245707570600683,0.0
2024-01-02 19:00:00,0.001,0.001,0.867209273058921,0.0
2024-01-02 19:15:00,0.001,0.001,0.5410759397255878,0.0
2024-01-02 19:30:00,0.001,0.001,0.5020092730589211,0.0
2024-01-02 19:45:00,0.001,0.001,0.47049944074256467,1.6
2024-01-02 20:00:00,0.001,0.001,0.47207593972558776,0.4
2024-01-02 20:15:00,0.001,0.001,0.47207593972558776,0.0
2024-01-02 20:30:00,0.001,0.001,0.8718759397255877,0.0
2024-01-02 20:45:00,0.001,0.001,0.6620759397255878,0.0
2024-01-02 21:00:00,0.001,0.001,0.5376759397255878,0.0
2024-01-02 21:15:00,0.001,0.001,0.9970759397255878,0.0
2024-01-02 21:30:00,0.001,0.001,0.4738092730589212,0.0
2024-01-02 21:45:00,0.001,0.001,0.4124759397255878,0.0
2024-01-02 22:00:00,0.001,0.001,0.5733959397255878,0.0
2024-01-02 22:15:00,0.001,0.001,0.5927699437934952,0.0
2024-01-02 22:30:00,0.001,0.001,0.6298426063922544,0.0
2024-01-02 22:45:00,0.001,0.001,0.3450426063922544,0.0
2024-01-02 23:00:00,0.001,0.001,0.311828687098144,0.0
2024-01-02 23:15:00,0.001,0.001,0.18382374237267352,0.0
2024-01-02 23:30:00,0.001,0.001,0.18382374237267352,0.0
2024-01-02 23:45:00,0.001,0.001,0.19482244057256137,0.0
2024-01-03 00:00:00,0.001,0.001,0.2837718619856272,0.0
2024-01-03 00:15:00,0.001,0.001,0.2913759397255878,0.0
2024-01-03 00:30:00,0.001,0.001,0.2153759397255878,0.0
2024-01-03 00:45:00,0.001,0.001,0.6151759397255879,0.0
2024-01-03 01:00:00,0.001,0.001,1.1272078081569783,0.0
2024-01-03 01:15:00,0.001,0.001,0.2600196646327129,0.0
2024-01-03 01:30:00,0.001,0.001,0.21351739911763806,0.0
2024-01-03 01:45:00,0.001,0.001,0.23455219735291427,0.0
2024-01-03 02:00:00,0.001,0.001,0.08255219735291432,0.0
2024-01-03 02:15:00,0.001,0.001,0.08255219735291432,0.0
2024-01-03 02:30:00,0.001,0.001,0.08255219735291432,0.0
2024-01-03 02:45:00,0.001,0.001,0.08255219735291432,0.0
2024-01-03 03:00:00,0.001,0.001,0.14382783858822096,0.0
2024-01-03 03:15:00,0.001,0.001,0.241,0.0
2024-01-03 03:30:00,0.001,0.001,0.089,0.0
2024-01-03 03:45:00,0.001,0.001,0.051,0.0
2024-01-03 04:00:00,0.001,0.001,0.051,0.0
2024-01-03 04:15:00,0.001,0.001,0.051,0.4
2024-01-03 04:30:00,0.001,0.001,0.051,3.0
2024-01-03 04:45:00,0.001,0.001,0.241,0.2
2024-01-03 05:00:00,0.001,0.001,0.165,0.0
2024-01-03 05:15:00,0.001,0.001,0.051,0.0
2024-01-03 05:30:00,0.001,0.001,0.051,0.0
2024-01-03 05:45:00,0.001,0.001,0.051,0.0
2024-01-03 06:00:00,0.001,0.001,0.051,0.0
2024-01-03 06:15:00,0.001,0.001,0.16972949694906939,0.0
2024-01-03 06:30:00,0.001,0.001,0.2528237423726735,0.0
2024-01-03 06:45:00,0.001,0.001,0.0628237423726735,0.0
2024-01-03 07:00:00,0.001,0.001,0.0628237423726735,0.0
2024-01-03 07:15:00,0.001,0.001,0.0628237423726735,0.0
2024-01-03 07:30:00,0.001,0.001,0.09351391005631703,0.0
2024-01-03 07:45:00,0.001,0.001,0.21,0.0
2024-01-03 08:00:00,0.001,0.001,0.6286666666666666,2.0
2024-01-03 08:15:00,0.001,0.001,2.2479999999999998,0.0
2024-01-03 08:30:00,0.001,0.001,0.8482000000000001,0.0
2024-01-03 08:45:00,0.001,0.001,0.2356,0.0
