,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.14100000000000001,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.053,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.053,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.053,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.053,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.075,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.163,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.08233333333333334,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.053,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.4528,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.18626666666666666,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.053,0.0,0.0,2.0
2024-01-01 03:00:00,0.001,0.13366666666666666,0.0,0.0,2.4
2024-01-01 03:15:00,0.001,0.13366666666666666,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.053,0.0,0.0,1.0
2024-01-01 03:45:00,0.001,0.053,0.0,0.0,2.2
2024-01-01 04:00:00,0.001,0.053,0.0,0.0,0.0
2024-01-01 04:15:00,0.001,0.053,0.0,1.8,0.0
2024-01-01 04:30:00,0.001,0.08233333333333334,0.0,3.0,0.0
2024-01-01 04:45:00,0.001,0.163,0.0,3.0,0.0
2024-01-01 05:00:00,0.001,0.075,0.0,3.0,0.0
2024-01-01 05:15:00,0.001,0.053,0.0,2.4,0.0
2024-01-01 05:30:00,0.001,0.053,0.0,0.0,1.2
2024-01-01 05:45:00,0.001,0.4528,0.0,0.0,1.4
2024-01-01 06:00:00,0.001,0.05473333333333333,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.154,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.5391333333333334,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.066,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.05993333333333333,0.0,0.0,0.0
2024-01-01 07:15:00,0.001,0.053,0.0,0.0,1.2
