,TumbleDryer,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.1837
2024-01-01 00:15:00,0.001,0.001,0.5835
2024-01-01 00:30:00,0.001,0.001,0.28503333333333336
2024-01-01 00:45:00,0.001,0.001,0.3610333333333333
2024-01-01 01:00:00,0.001,0.001,0.1837
2024-01-01 01:15:00,0.001,0.001,0.1837
2024-01-01 01:30:00,0.001,0.001,0.10228
2024-01-01 01:45:00,0.001,0.001,0.06066666666666667
2024-01-01 02:00:00,0.001,0.001,0.238
2024-01-01 02:15:00,0.001,0.001,0.12399999999999999
2024-01-01 02:30:00,0.001,0.001,0.048
2024-01-01 02:45:00,0.001,0.001,0.048
2024-01-01 03:00:00,0.001,0.001,0.048
2024-01-01 03:15:00,0.001,0.001,0.16199999999999998
2024-01-01 03:30:00,0.001,0.001,0.21266666666666667
2024-01-01 03:45:00,0.001,0.001,0.048
2024-01-01 04:00:00,0.001,0.001,0.048
2024-01-01 04:15:00,0.001,0.001,0.048
2024-01-01 04:30:00,0.001,0.001,0.07333333333333333
2024-01-01 04:45:00,0.001,0.001,0.238
2024-01-01 05:00:00,0.001,0.001,0.11133333333333333
2024-01-01 05:15:00,0.001,0.001,0.048
2024-01-01 05:30:00,0.001,0.001,0.048
2024-01-01 05:45:00,0.001,0.001,0.048
2024-01-01 06:00:00,0.001,0.001,0.17466666666666666
2024-01-01 06:15:00,0.001,0.001,0.5998
2024-01-01 06:30:00,0.001,0.001,0.048
2024-01-01 06:45:00,0.001,0.001,0.048
2024-01-01 07:00:00,0.001,0.001,0.048
2024-01-01 07:15:00,0.001,0.001,0.09899999999999999
2024-01-01 07:30:00,0.001,0.001,0.251
2024-01-01 07:45:00,0.001,0.001,0.11166666666666666
2024-01-01 08:00:00,0.001,0.001,0.061000000000000006
2024-01-01 08:15:00,0.001,0.001,0.0584
2024-01-01 08:30:00,0.001,0.001,0.048
2024-01-01 08:45:00,0.001,0.001,0.18733333333333332
2024-01-01 09:00:00,0.001,0.001,0.18733333333333332
2024-01-01 09:15:00,0.001,0.001,0.048
2024-01-01 09:30:00,0.001,0.001,0.048
2024-01-01 09:45:00,0.001,0.001,0.048
2024-01-01 10:00:00,0.001,0.001,0.09866666666666667
2024-01-01 10:15:00,0.001,0.001,0.238
2024-01-01 10:30:00,0.001,0.001,0.08600000000000001
2024-01-01 10:45:00,0.001,0.001,0.048
2024-01-01 11:00:00,0.001,0.001,0.048
2024-01-01 11:15:00,0.001,0.001,0.048
2024-01-01 11:30:00,0.001,0.001,0.2
2024-01-01 11:45:00,0.001,0.001,0.17466666666666666
2024-01-01 12:00:00,0.001,0.001,0.048
2024-01-01 12:15:00,0.001,0.001,0.048
2024-01-01 12:30:00,0.001,0.001,0.048
2024-01-01 12:45:00,0.001,0.001,0.11133333333333333
2024-01-01 13:00:00,0.001,0.001,0.2484
2024-01-01 13:15:00,0.001,0.001,0.08633333333333333
2024-01-01 13:30:00,0.001,0.001,0.9938666666666667
2024-01-01 13:45:00,0.001,0.001,0.061000000000000006
2024-01-01 14:00:00,0.001,0.001,0.05753333333333333
2024-01-01 14:15:00,0.001,0.001,0.4792
2024-01-01 14:30:00,0.001,0.001,0.2952666666666667
2024-01-01 14:45:00,0.001,0.001,0.048
2024-01-01 15:00:00,0.001,0.001,0.048
2024-01-01 15:15:00,0.001,0.001,0.048
2024-01-01 15:30:00,0.001,0.001,0.12399999999999999
2024-01-01 15:45:00,0.001,0.001,0.238
2024-01-01 16:00:00,0.001,0.001,0.06066666666666667
2024-01-01 16:15:00,0.001,0.001,0.048
2024-01-01 16:30:00,0.001,0.001,0.048
2024-01-01 16:45:00,0.001,0.001,0.048
2024-01-01 17:00:00,0.001,0.001,0.22533333333333333
2024-01-01 17:15:00,0.001,0.001,0.14933333333333332
2024-01-01 17:30:00,0.001,0.001,0.048
2024-01-01 17:45:00,0.001,0.001,1.6715333333333333
2024-01-01 18:00:00,0.001,0.001,1.4484666666666668
2024-01-01 18:15:00,0.001,0.001,1.6723333333333334
2024-01-01 18:30:00,0.001,0.001,2.4841529979660466
2024-01-01 18:45:00,0.001,0.001,0.6052237423726735
2024-01-01 19:00:00,0.001,0.001,0.6574237423726735
2024-01-01 19:15:00,0.001,0.001,0.0598237423726735
2024-01-01 19:30:00,0.001,0.001,0.0598237423726735
2024-01-01 19:45:00,0.001,0.001,0.36275707570600685
2024-01-01 20:00:00,0.001,0.001,0.2789627335529499
2024-01-01 20:15:00,0.001,0.001,0.20055219735291427
2024-01-01 20:30:00,0.001,0.001,0.20212869633593744
2024-01-01 20:45:00,0.001,0.001,0.2365759397255878
2024-01-01 21:00:00,0.001,0.001,0.4122655002550049
2024-01-01 21:15:00,0.001,0.001,0.47915707570600685
2024-01-01 21:30:00,0.001,0.001,0.32075506078442206
2024-01-01 21:45:00,0.001,0.001,0.3333759397255877
2024-01-01 22:00:00,0.001,0.001,0.3317994407425646
2024-01-01 22:15:00,0.001,0.001,0.18470927305892115
2024-01-01 22:30:00,0.001,0.001,0.38624260639225444
2024-01-01 22:45:00,0.001,0.001,0.2568237423726735
2024-01-01 23:00:00,0.001,0.001,0.7841256605648056
2024-01-01 23:15:00,0.001,0.001,0.31313827805880384
2024-01-01 23:30:00,0.001,0.001,0.3134855306862476
2024-01-01 23:45:00,0.001,0.001,0.3145521973529143
2024-01-02 00:00:00,0.001,0.001,0.316818864019581
2024-01-02 00:15:00,0.001,0.001,0.0795521973529143
2024-01-02 00:30:00,0.001,0.001,0.07324175788233143
