,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.001,0.05633333333333333,0.0,0.0
2024-01-01 00:15:00,0.0,0.001,0.14669808180786806,0.0,0.0
2024-01-01 00:30:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-01 00:45:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-01 01:00:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-01 01:15:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-01 01:30:00,0.0,0.001,0.0584589938981388,0.0,0.0
2024-01-01 01:45:00,0.0,0.001,0.093,0.0,0.0
2024-01-01 02:00:00,0.0,0.001,0.10766666666666666,0.0,0.0
2024-01-01 02:15:00,0.0,0.001,0.049,1.4,0.6
2024-01-01 02:30:00,0.0,0.001,0.049,0.8,3.0
2024-01-01 02:45:00,0.0,0.001,0.44880000000000003,0.0,0.4
2024-01-01 03:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 03:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 03:30:00,0.0,0.001,0.12966666666666668,0.0,0.0
2024-01-01 03:45:00,0.0,0.001,0.6040666666666666,0.0,0.0
2024-01-01 04:00:00,0.0,0.001,0.049,0.2,0.0
2024-01-01 04:15:00,0.0,0.001,0.44880000000000003,1.6,0.6
2024-01-01 04:30:00,0.0,0.001,0.049,0.0,2.0
2024-01-01 04:45:00,0.0,0.001,0.049,0.0,0.8
2024-01-01 05:00:00,0.0,0.001,0.05633333333333333,2.0,2.4
2024-01-01 05:15:00,0.0,0.001,0.14433333333333334,1.6,0.0
2024-01-01 05:30:00,0.0,0.001,0.049,1.8,0.0
2024-01-01 05:45:00,0.0,0.001,0.049,2.6,0.0
2024-01-01 06:00:00,0.0,0.001,0.049,3.0,0.0
2024-01-01 06:15:00,0.0,0.001,0.049,0.8,0.0
2024-01-01 06:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 06:45:00,0.0,0.001,0.4928,0.0,1.6
2024-01-01 07:00:00,0.0,0.001,0.10766666666666666,0.0,1.4
2024-01-01 07:15:00,0.0,0.001,0.049,0.6,0.0
2024-01-01 07:30:00,0.0,0.001,0.05853333333333333,2.0,0.0
2024-01-01 07:45:00,0.0,0.001,0.06199999999999999,0.0,1.4
2024-01-01 08:00:00,0.0,0.001,0.06199999999999999,0.0,3.0
2024-01-01 08:15:00,0.0,0.001,0.06199999999999999,0.0,2.2
2024-01-01 08:30:00,0.0,0.001,0.13140000000000002,0.0,0.0
2024-01-01 08:45:00,0.0,0.17504257523551237,0.07186666666666668,0.0,0.0
2024-01-01 09:00:00,0.0,0.5291632413106246,0.06199999999999999,0.0,0.0
2024-01-01 09:15:00,0.0,0.5540378648781691,0.06199999999999999,0.0,0.0
2024-01-01 09:30:00,0.0,0.16032994249522786,0.06199999999999999,1.8,0.0
2024-01-01 09:45:00,0.0,0.4326330753153764,0.06026666666666667,1.4,0.0
2024-01-01 10:00:00,0.0,1.298188058297114,0.05633333333333333,0.0,0.0
2024-01-01 10:15:00,0.0,0.1750075079033244,0.5441333333333334,0.0,0.0
2024-01-01 10:30:00,0.0,0.11103646193573567,0.049,0.0,0.0
2024-01-01 10:45:00,0.0,0.3413704176104398,0.0595173991176381,0.0,1.2
2024-01-01 11:00:00,0.0,0.8412948721548686,0.08055219735291429,0.0,3.0
2024-01-01 11:15:00,0.0,0.001,0.08055219735291429,0.4,0.0
2024-01-01 11:30:00,0.0,0.001,0.08055219735291429,2.0,0.0
2024-01-01 11:45:00,0.0,0.001,0.1245521973529143,0.0,1.4
2024-01-01 12:00:00,0.0,0.001,0.12239102543136002,0.0,1.6
2024-01-01 12:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 12:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 12:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-01 13:00:00,0.0,0.001,0.11524,0.0,0.0
2024-01-01 13:15:00,0.0,0.001,0.07108,0.0,0.0
2024-01-01 13:30:00,0.0,0.001,0.12966666666666668,0.0,2.0
2024-01-01 13:45:00,0.0,0.001,0.10404175788233144,2.4,0.6
2024-01-01 14:00:00,0.0,0.001,0.4933521973529143,0.0,0.0
2024-01-01 14:15:00,0.0,0.001,0.1818721973529143,0.0,0.0
2024-01-01 14:30:00,0.0,0.001,0.5578855306862477,0.0,2.6
2024-01-01 14:45:00,0.0,0.001,0.20935219735291433,0.0,3.0
2024-01-01 15:00:00,0.0,0.001,0.5901333333333334,0.0,1.2
2024-01-01 15:15:00,0.0,0.001,0.28463932926542584,0.0,1.0
2024-01-01 15:30:00,0.0,0.001,0.1948237423726735,0.0,3.0
2024-01-01 15:45:00,0.0,0.001,0.14495707570600685,0.0,1.0
2024-01-01 16:00:00,0.0,0.001,0.4161304090393402,0.0,0.0
2024-01-01 16:15:00,0.0,0.001,2.317735492881162,2.2,2.4
2024-01-01 16:30:00,0.0,0.001,1.464994245423604,0.2,1.0
2024-01-01 16:45:00,0.0,0.001,0.27279040903934015,0.0,0.0
2024-01-01 17:00:00,0.0,0.001,0.3761904090393402,0.0,0.8
2024-01-01 17:15:00,0.0,0.001,0.3175237423726735,0.0,3.0
