,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.205,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.09133333333333332,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.11333333333333333,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.21466666666666664,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.05,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.112,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.205,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.081,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.08800000000000001,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.23999999999999996,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.05,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.12233333333333334,0.0,1.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.205,0.0,1.4
2024-01-01 03:15:00,0.001,0.0,0.001,0.07066666666666667,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.06266666666666668,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.23999999999999996,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.07533333333333334,0.0,0.6
2024-01-01 04:15:00,0.001,0.0,0.001,0.13266666666666665,0.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.205,0.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.060333333333333336,0.0,1.6
2024-01-01 05:00:00,0.001,0.0,0.001,0.05,0.0,2.6
2024-01-01 05:15:00,0.001,0.0,0.001,0.2273333333333333,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.10066666666666667,0.0,1.6
2024-01-01 05:45:00,0.001,0.0,0.001,0.143,0.0,2.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.21539999999999998,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.063,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.1358,0.0,1.8
2024-01-01 06:45:00,0.001,0.0,0.001,0.3051333333333333,0.0,2.6
2024-01-01 07:00:00,0.001,0.0,0.001,0.217,0.0,3.0
2024-01-01 07:15:00,0.4228852192307536,0.0,0.001,0.24433333333333332,0.0,1.0
2024-01-01 07:30:00,0.7920347860576631,0.0,0.001,0.26139999999999997,0.0,0.0
2024-01-01 07:45:00,0.7920347860576631,0.0,0.001,0.05,0.0,0.0
2024-01-01 08:00:00,0.7920347860576631,0.0,0.001,0.1857,0.0,0.0
2024-01-01 08:15:00,0.7920347860576631,0.0,0.001,0.3123666666666666,0.0,0.0
2024-01-01 08:30:00,0.7920347860576631,0.0,0.001,0.2870333333333333,0.0,0.0
2024-01-01 08:45:00,0.7920347860576631,0.0,0.001,0.29936666666666667,0.0,0.0
2024-01-01 09:00:00,0.7920347860576631,0.0,0.001,0.3200333333333333,0.0,0.0
2024-01-01 09:15:00,0.7920347860576631,0.0,0.001,0.1857,0.0,0.4
2024-01-01 09:30:00,0.7920347860576631,0.0,0.001,0.1857,0.0,3.0
2024-01-01 09:45:00,0.7920347860576631,0.0,0.001,0.2870333333333333,0.0,0.2
2024-01-01 10:00:00,0.7920347860576631,0.0,0.001,0.3123666666666666,0.0,0.0
2024-01-01 10:15:00,0.7920347860576631,0.0,0.001,0.30970000000000003,0.0,0.0
2024-01-01 10:30:00,0.7920347860576631,0.0,0.001,0.30970000000000003,3.0,0.0
2024-01-01 10:45:00,0.7920347860576631,0.0,0.001,0.1857,15.0,0.0
