,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.08299999999999999
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.328
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.20933333333333334
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.2693333333333333
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.8390666666666665
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.17266666666666666
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.39
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.057666666666666665
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.07600000000000001
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.39
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.15433333333333332
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.05533333333333333
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.314
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.251
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.045
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.7113333333333334
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.5806666666666668
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.37393333333333334
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.31
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.37520000000000003
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.31933333333333336
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.04815299796604626
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.18082374237267348
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.29149040903934015
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.18349040903934016
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.0568237423726735
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.0568237423726735
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.159638981942483
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.25588553068624764
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.2665521973529143
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.08921886401958098
