,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.13833333333333334,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.5368666666666666,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.44293333333333335,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.037,0.3
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.3716666666666667,1.5
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.20833333333333334,1.5
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.037,0.9
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.13833333333333334,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.359,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.11966666666666666,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.037,0.1
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.049666666666666665,1.5
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.227,1.5
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.25766666666666665,1.5
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.11966666666666666,1.5
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.43679999999999997,1.5
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.151,1.5
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.6014666666666667,1.5
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.19033333333333333,1.5
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.13266666666666665,1.5
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.05,1.5
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.07186666666666668,1.5
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.227,1.5
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.10033333333333334,1.5
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.18166666666666667,1.5
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.11966666666666666,1.5
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.08539999999999999,1.5
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.2846666666666666,1.5
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.7821733333333333,1.5
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.29369999999999996,1.5
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.4383666666666667,1.5
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.3279666666666667,1.5
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.2671666666666666,1.5
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.48369999999999996,1.5
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.34436666666666665,1.5
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.8673666666666666,1.5
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,2.5733666666666664,1.5
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,1.8648333333333331,1.5
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.32503333333333334,1.5
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.31376666666666664,1.5
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.1727,1.5
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.1727,1.5
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.31736666666666663,1.5
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.3060333333333333,1.5
2024-01-01 13:30:00,0.001,0.001,0.0,0.001,0.36269999999999997,1.5
2024-01-01 13:45:00,0.001,0.001,0.0,0.001,0.2107,1.5
2024-01-01 14:00:00,0.001,0.001,0.0,0.001,0.1727,1.5
2024-01-01 14:15:00,0.001,0.001,0.0,0.001,0.1727,1.5
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.22690000000000002,1.5
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.27166666666666667,0.7
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.16366666666666668,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.7780666666666666,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.3096666666666667,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.06233333333333333,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.037,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.4368,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.3463333333333333,0.1
2024-01-01 17:45:00,0.001,0.001,0.15033333333333332,0.001,0.7667333333333333,1.5
2024-01-01 18:00:00,0.001,0.001,2.25,0.001,0.1096,1.0
2024-01-01 18:15:00,0.001,0.001,1.0505333333333333,0.001,0.2949066666666667,0.0
2024-01-01 18:30:00,0.001,0.001,1.2004666666666668,0.001,0.4147,0.0
2024-01-01 18:45:00,0.001,0.001,0.0003333333333333333,0.001,0.6042617578823315,1.5
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.780918864019581,1.5
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.9928521973529143,0.1
2024-01-01 19:30:00,0.001,1.1086209490368857,0.0,0.001,0.394718864019581,0.0
2024-01-01 19:45:00,0.001,1.9396937650350974,0.0,0.001,0.45925219735291434,0.0
2024-01-01 20:00:00,0.001,1.7610668775895202,0.0,0.001,0.45925219735291434,0.0
2024-01-01 20:15:00,0.001,0.428166157682132,0.0,0.001,0.6365855306862476,0.0
2024-01-01 20:30:00,0.001,0.012587027171974983,0.0,0.001,0.7017855306862477,1.0
2024-01-01 20:45:00,0.001,0.001,0.0,0.001,0.456318864019581,1.5
2024-01-01 21:00:00,0.001,0.001,0.0,0.001,2.285318864019581,1.5
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,2.1965855306862476,1.5
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.4658313184117486,1.5
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.6047,1.5
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.5761945052548877,1.5
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.41598553068624766,1.5
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.32525219735291433,1.5
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.34138553068624766,1.5
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,0.5152521973529143,1.5
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.4034014649019429,1.5
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.9714333333333333,1.5
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.36829999999999996,1.5
2024-01-02 00:00:00,0.001,0.001,0.0,0.001,0.1727,1.5
2024-01-02 00:15:00,0.001,0.001,0.0,0.001,0.27403333333333335,1.5
2024-01-02 00:30:00,0.001,0.001,0.0,0.001,0.3228933333333333,1.5
2024-01-02 00:45:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-02 01:00:00,0.001,0.001,0.0,0.001,0.18166666666666667,1.5
2024-01-02 01:15:00,0.001,0.001,0.0,0.001,0.11966666666666666,1.5
2024-01-02 01:30:00,0.001,0.001,0.0,0.001,0.049666666666666665,1.5
2024-01-02 01:45:00,0.001,0.001,0.0,0.001,0.227,1.5
2024-01-02 02:00:00,0.001,0.001,0.0,0.001,0.113,1.5
2024-01-02 02:15:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-02 02:30:00,0.001,0.001,0.0,0.001,0.18166666666666667,1.5
2024-01-02 02:45:00,0.001,0.001,0.0,0.001,0.11966666666666666,1.5
2024-01-02 03:00:00,0.001,0.001,0.0,0.001,0.151,1.5
2024-01-02 03:15:00,0.001,0.001,0.0,0.001,0.20166666666666666,1.5
2024-01-02 03:30:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-02 03:45:00,0.001,0.001,0.0,0.001,0.037,1.5
2024-01-02 04:00:00,0.001,0.001,0.0,0.001,0.18166666666666667,1.5
2024-01-02 04:15:00,0.001,0.001,0.0,0.001,0.5448,1.5
2024-01-02 04:30:00,0.001,0.001,0.0,0.001,0.227,1.5
