,BaseLoad,P_HP
2024-01-01 00:00:00,0.227,0.0
2024-01-01 00:15:00,0.10033333333333334,0.0
2024-01-01 00:30:00,0.037,0.0
2024-01-01 00:45:00,0.125,0.0
2024-01-01 01:00:00,0.07366666666666667,0.0
2024-01-01 01:15:00,0.4494666666666667,0.0
2024-01-01 01:30:00,0.227,0.0
2024-01-01 01:45:00,0.08766666666666666,1.0
2024-01-01 02:00:00,0.12511538419605336,1.4
2024-01-01 02:15:00,0.1345521973529143,0.0
2024-01-01 02:30:00,0.0685521973529143,0.0
2024-01-01 02:45:00,0.09388553068624764,0.0
2024-01-01 03:00:00,0.791618864019581,0.0
2024-01-01 03:15:00,0.11695421227449905,1.2
2024-01-01 03:30:00,0.13233333333333333,0.6
2024-01-01 03:45:00,0.037,0.0
2024-01-01 04:00:00,0.037,0.6
2024-01-01 04:15:00,0.075,1.2
2024-01-01 04:30:00,0.6268,1.0
2024-01-01 04:45:00,0.17233333333333334,1.0
2024-01-01 05:00:00,0.05166666666666666,0.4
2024-01-01 05:15:00,0.037,1.4
2024-01-01 05:30:00,0.037,3.0
2024-01-01 05:45:00,0.08766666666666666,3.0
2024-01-01 06:00:00,0.7074666666666667,1.6
2024-01-01 06:15:00,0.09366666666666666,0.0
2024-01-01 06:30:00,0.037,0.0
2024-01-01 06:45:00,0.037,0.0
2024-01-01 07:00:00,0.048266666666666666,0.2
2024-01-01 07:15:00,0.16466666666666666,3.0
2024-01-01 07:30:00,0.3133333333333333,2.4
2024-01-01 07:45:00,0.5830666666666667,0.0
2024-01-01 08:00:00,0.04393333333333334,0.0
2024-01-01 08:15:00,0.05,0.0
2024-01-01 08:30:00,0.07200000000000001,0.4
2024-01-01 08:45:00,0.22866666666666666,2.4
2024-01-01 09:00:00,0.2273333333333333,0.0
2024-01-01 09:15:00,0.03873333333333333,0.0
2024-01-01 09:30:00,0.037,0.0
2024-01-01 09:45:00,0.037,0.0
2024-01-01 10:00:00,0.13966666666666666,0.6
2024-01-01 10:15:00,0.14766666666666667,2.0
2024-01-01 10:30:00,0.20166666666666666,0.0
2024-01-01 10:45:00,0.037,0.0
2024-01-01 11:00:00,0.037,0.0
2024-01-01 11:15:00,0.11033333333333332,0.0
2024-01-01 11:30:00,0.08833333333333333,0.0
2024-01-01 11:45:00,0.13833333333333334,1.4
2024-01-01 12:00:00,0.189,1.2
2024-01-01 12:15:00,0.037,0.0
2024-01-01 12:30:00,0.08099999999999999,0.0
2024-01-01 12:45:00,0.11766666666666666,0.0
2024-01-01 13:00:00,0.048266666666666666,0.0
2024-01-01 13:15:00,0.164,0.0
2024-01-01 13:30:00,0.20195421227449906,0.0
2024-01-01 13:45:00,0.20021886401958094,1.2
2024-01-01 14:00:00,0.2995521973529142,1.4
2024-01-01 14:15:00,0.18955219735291431,0.0
2024-01-01 14:30:00,0.18113827805880384,0.0
2024-01-01 14:45:00,0.2846666666666666,0.0
2024-01-01 15:00:00,0.21206666666666668,0.0
2024-01-01 15:15:00,0.13233333333333333,0.0
2024-01-01 15:30:00,0.06633333333333333,0.0
2024-01-01 15:45:00,0.17026666666666668,0.0
2024-01-01 16:00:00,0.3035333333333333,2.0
2024-01-01 16:15:00,0.17633333333333334,0.6
2024-01-01 16:30:00,0.217,0.0
2024-01-01 16:45:00,0.22139616361573608,0.0
2024-01-01 17:00:00,0.1698237423726735,0.0
2024-01-01 17:15:00,0.19506550025500496,0.0
2024-01-01 17:30:00,0.20137593972558782,0.0
2024-01-01 17:45:00,0.3819759397255878,0.0
2024-01-01 18:00:00,0.2665562750928749,0.0
2024-01-01 18:15:00,0.18955219735291431,1.6
2024-01-01 18:30:00,0.30213827805880383,1.0
2024-01-01 18:45:00,0.8141701464901944,0.0
2024-01-01 19:00:00,0.3178855306862476,0.0
2024-01-01 19:15:00,0.5944385286522939,0.0
2024-01-01 19:30:00,0.3345759397255878,0.0
2024-01-01 19:45:00,0.3138892730589211,0.0
2024-01-01 20:00:00,0.4514759397255878,0.0
2024-01-01 20:15:00,0.45807593972558786,0.0
2024-01-01 20:30:00,0.5460759397255878,0.6
2024-01-01 20:45:00,0.5591426063922544,1.8
2024-01-01 21:00:00,0.5277699437934953,0.0
2024-01-01 21:15:00,0.4462521973529144,0.0
2024-01-01 21:30:00,0.4462521973529144,0.0
2024-01-01 21:45:00,0.4968521973529143,0.0
2024-01-01 22:00:00,0.4168611719215543,0.0
2024-01-01 22:15:00,0.5152521973529143,0.0
2024-01-01 22:30:00,0.45025219735291433,0.0
2024-01-01 22:45:00,0.4608286963359375,0.0
2024-01-01 23:00:00,0.5004092730589211,0.0
2024-01-01 23:15:00,0.5664092730589212,0.0
2024-01-01 23:30:00,0.4802759397255878,0.0
2024-01-01 23:45:00,0.5674092730589211,0.0
2024-01-02 00:00:00,0.38738839411775544,0.0
2024-01-02 00:15:00,0.44238633129937965,0.0
2024-01-02 00:30:00,0.2827,0.0
2024-01-02 00:45:00,0.16927333333333333,0.0
2024-01-02 01:00:00,0.06233333333333334,0.0
2024-01-02 01:15:00,0.227,0.0
2024-01-02 01:30:00,0.075,0.0
2024-01-02 01:45:00,0.11766666666666666,0.0
2024-01-02 02:00:00,0.08099999999999999,0.0
2024-01-02 02:15:00,0.037,0.0
2024-01-02 02:30:00,0.075,0.0
2024-01-02 02:45:00,0.227,0.0
2024-01-02 03:00:00,0.11366666666666667,0.0
2024-01-02 03:15:00,0.11033333333333332,0.0
2024-01-02 03:30:00,0.037,0.0
2024-01-02 03:45:00,0.037,0.0
2024-01-02 04:00:00,0.08766666666666666,0.0
2024-01-02 04:15:00,0.24900000000000003,2.6
2024-01-02 04:30:00,0.15233333333333332,1.6
2024-01-02 04:45:00,0.037,0.0
2024-01-02 05:00:00,0.037,0.0
2024-01-02 05:15:00,0.037,0.6
2024-01-02 05:30:00,0.10033333333333333,0.0
2024-01-02 05:45:00,0.32966666666666666,2.4
2024-01-02 06:00:00,0.059000000000000004,0.0
2024-01-02 06:15:00,0.037,0.0
2024-01-02 06:30:00,0.037,0.0
2024-01-02 06:45:00,0.037,0.0
2024-01-02 07:00:00,0.18633333333333332,0.0
2024-01-02 07:15:00,0.26566666666666666,2.0
2024-01-02 07:30:00,0.037,0.4
2024-01-02 07:45:00,0.037,0.0
2024-01-02 08:00:00,0.037,0.0
2024-01-02 08:15:00,0.08099999999999999,0.0
2024-01-02 08:30:00,0.21413333333333331,0.2
2024-01-02 08:45:00,0.21466666666666664,2.4
2024-01-02 09:00:00,0.05,0.0
2024-01-02 09:15:00,0.05,0.0
2024-01-02 09:30:00,0.05773333333333333,0.0
2024-01-02 09:45:00,0.147,0.0
2024-01-02 10:00:00,0.13833333333333334,0.0
2024-01-02 10:15:00,0.189,0.0
2024-01-02 10:30:00,0.037,0.0
2024-01-02 10:45:00,0.037,2.6
2024-01-02 11:00:00,0.13233333333333333,0.0
2024-01-02 11:15:00,0.06893333333333333,0.0
2024-01-02 11:30:00,0.164,0.0
2024-01-02 11:45:00,0.18933333333333333,0.0
2024-01-02 12:00:00,0.1379294969490694,0.0
2024-01-02 12:15:00,1.3758237423726736,0.0
2024-01-02 12:30:00,1.28009040903934,0.0
2024-01-02 12:45:00,0.0488237423726735,0.4
2024-01-02 13:00:00,0.17549040903934016,2.0
2024-01-02 13:15:00,0.17549040903934016,0.0
2024-01-02 13:30:00,0.07603141514120136,0.0
2024-01-02 13:45:00,0.125,0.0
2024-01-02 14:00:00,0.037,0.0
2024-01-02 14:15:00,0.037,0.0
2024-01-02 14:30:00,0.17633333333333334,0.0
2024-01-02 14:45:00,0.15833333333333333,0.0
2024-01-02 15:00:00,0.147,0.8
2024-01-02 15:15:00,0.04433333333333333,1.6
2024-01-02 15:30:00,0.037,0.0
2024-01-02 15:45:00,0.037,0.0
2024-01-02 16:00:00,0.5888000000000001,0.0
2024-01-02 16:15:00,0.22633333333333333,0.0
2024-01-02 16:30:00,0.07366666666666667,0.0
2024-01-02 16:45:00,0.037,0.0
2024-01-02 17:00:00,0.037,0.0
2024-01-02 17:15:00,0.07733333333333332,0.4
2024-01-02 17:30:00,0.7811333333333332,2.0
2024-01-02 17:45:00,0.3126666666666667,0.0
2024-01-02 18:00:00,0.158,0.0
2024-01-02 18:15:00,0.158,0.0
2024-01-02 18:30:00,0.4448666666666667,0.0
2024-01-02 18:45:00,0.21853131841174858,0.0
2024-01-02 19:00:00,0.3498896084262082,0.0
2024-01-02 19:15:00,0.25317593972558783,0.0
2024-01-02 19:30:00,0.20137593972558782,0.4
2024-01-02 19:45:00,0.32237593972558776,2.0
2024-01-02 20:00:00,0.32237593972558776,0.0
2024-01-02 20:15:00,0.4323759397255878,0.0
2024-01-02 20:30:00,0.5183718619856272,0.0
2024-01-02 20:45:00,0.38570927305892105,0.0
2024-01-02 21:00:00,0.32237593972558776,0.0
2024-01-02 21:15:00,0.33327245990206017,0.0
2024-01-02 21:30:00,0.4160426063922545,0.0
2024-01-02 21:45:00,0.39204260639225447,1.2
2024-01-02 22:00:00,1.0245759397255878,1.2
2024-01-02 22:15:00,1.6150502791607826,0.0
2024-01-02 22:30:00,0.8215759397255877,0.0
2024-01-02 22:45:00,0.34426055552953444,0.0
2024-01-02 23:00:00,0.3238237423726735,0.0
2024-01-02 23:15:00,0.2838904090393402,0.0
