,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.10488553068624765,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.07555219735291431,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.07555219735291431,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.07555219735291431,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.13308058596077715,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.132,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.066,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.154,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.08066666666666666,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.11733333333333333,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.13933333333333334,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.044,0.0,2.2
2024-01-01 04:30:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.058666666666666666,0.0,2.4
2024-01-01 05:15:00,0.001,0.0,0.154,0.0,3.0
2024-01-01 05:30:00,0.001,0.0,0.08800000000000001,0.0,3.0
2024-01-01 05:45:00,0.001,0.0,0.044,0.0,3.0
2024-01-01 06:00:00,0.001,0.0,0.044,0.0,3.0
2024-01-01 06:15:00,0.001,0.0,0.044,0.0,1.8
2024-01-01 06:30:00,0.001,0.0,0.11,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.14666666666666667,6.066666666666666,0.0
2024-01-01 07:00:00,0.001,0.0,0.044,2.3333333333333335,0.0
2024-01-01 07:15:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.051333333333333335,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.154,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.09533333333333333,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.10266666666666667,0.0,2.0
2024-01-01 09:30:00,0.001,0.0,0.154,0.0,0.8
2024-01-01 09:45:00,0.001,0.0,0.044,2.3333333333333335,0.0
2024-01-01 10:00:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.154,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.10266666666666667,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.44380000000000003,0.0,0.0
2024-01-01 11:45:00,0.001,0.0,0.044,0.0,0.0
2024-01-01 12:00:00,0.001,0.0,0.09533333333333333,0.0,0.0
