,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-01 00:00:00,2.0,15.0,0.5887182679334525,14.993538937191513,13.502909604213796,12.0,0.0,0,0,0,0.0
2024-01-01 00:15:00,2.0,15.0,0.5887182679334525,14.97979976946322,13.509027293229897,12.0,0.0,0,0,0,0.0
2024-01-01 00:30:00,2.0,15.0,0.5887182679334525,14.966222997939912,13.514965657456736,12.0,0.0,0,0,0,0.0
2024-01-01 00:45:00,2.0,15.0,0.5887182679334525,14.952805886336106,13.520728060067688,12.0,0.0,0,0,0,0.0
2024-01-01 01:00:00,2.0,15.0,0.5887182679334525,14.939545747078808,13.526317803598351,12.0,0.0,0,0,0,0.0
2024-01-01 01:15:00,2.0,15.0,0.5887182679334525,14.92643994043448,13.531738131034944,12.0,0.0,0,0,0,0.0
2024-01-01 01:30:00,2.0,15.0,0.5887182679334525,14.913485873651643,13.536992226883156,12.0,0.0,0,0,0,0.0
2024-01-01 01:45:00,2.0,15.0,0.5887182679334525,14.900681000118896,13.542083218217865,12.0,0.0,0,0,0,0.0
2024-01-01 02:00:00,2.0,15.0,0.5887182679334525,14.887656422044035,13.545264408749954,11.0,0.0,0,0,0,0.0
2024-01-01 02:15:00,2.0,15.0,0.5887182679334525,14.874343131650823,13.546312975557242,11.0,0.0,0,0,0,0.0
2024-01-01 02:30:00,2.0,15.0,0.5887182679334525,14.861149961516814,13.547244478624242,11.0,0.0,0,0,0,0.0
2024-01-01 02:45:00,2.0,15.0,0.5887182679334525,14.848075006580936,13.548061224575992,11.0,0.0,0,0,0,0.0
2024-01-01 03:00:00,2.0,15.0,0.5887182679334525,14.83511639543053,13.54876547822564,11.0,0.0,0,0,0,0.0
2024-01-01 03:15:00,2.0,15.0,0.5887182679334525,14.822272289698844,13.54935946332539,11.0,0.0,0,0,0,0.0
2024-01-01 03:30:00,2.0,15.0,0.5887182679334525,14.809540883473343,13.54984536330397,11.0,0.0,0,0,0,0.0
2024-01-01 03:45:00,2.0,15.0,0.5887182679334525,14.796920402714644,13.550225321990903,11.0,0.0,0,0,0,0.0
2024-01-01 04:00:00,2.0,15.0,0.5887182679334525,14.784409104685865,13.550501444327734,11.0,0.0,0,0,0,0.0
2024-01-01 04:15:00,1.0,15.666666666666666,0.5887182679334525,14.776053355914794,13.550675797066548,11.0,0.0,0,0,0,0.0
2024-01-01 04:30:00,2.0,16.333333333333332,0.5887182679334525,15.28036741481098,13.552194323260718,11.0,0.0,0,0,0,0.0
2024-01-01 04:45:00,2.0,15.0,0.5887182679334525,15.529369954424826,13.557756418801564,11.0,0.0,0,0,0,0.0
2024-01-01 05:00:00,1.0,18.666666666666668,0.5887182679334525,15.732648809463447,13.56231846942637,10.0,0.0,0,0,0,0.0
2024-01-01 05:15:00,1.0,20.0,0.5887182679334525,16.578603665271437,13.569166408576992,10.0,0.0,0,0,0,0.0
2024-01-01 05:30:00,1.0,20.0,0.5887182679334525,17.457671656769186,13.582875728532189,10.0,0.0,0,0,0,0.0
2024-01-01 05:45:00,1.0,20.0,0.5887182679334525,18.329441256142875,13.60335081769905,10.0,0.0,0,0,0,0.0
2024-01-01 06:00:00,1.0,20.0,0.5887182679334525,19.19402556532133,13.63045555905733,10.0,0.0,0,0,0,0.0
2024-01-01 06:15:00,1.0,20.0,0.5887182679334525,20.051535694855048,13.664056308333128,10.0,0.0,0,0,0,0.0
2024-01-01 06:30:00,1.0,20.0,0.5887182679334525,20.47807097112278,13.703049305951867,10.0,0.0,0,0,0,0.0
2024-01-01 06:45:00,1.0,20.0,0.5887182679334525,20.418093485121222,13.742561400677943,10.0,0.0,0,0,0,0.0
2024-01-01 07:00:00,1.0,20.0,0.5887182679334525,20.358924048473988,13.781141857740291,10.0,0.0,0,0,0,0.0
2024-01-01 07:15:00,1.0,20.0,0.5887182679334525,20.300548938448323,13.818807873521811,10.0,0.0,0,0,0,0.0
2024-01-01 07:30:00,1.0,20.0,0.5887182679334525,20.242952912624794,13.85557632408328,10.0,0.0,0,0,0,0.0
2024-01-01 07:45:00,1.0,20.0,0.5887182679334525,20.18612255943077,13.891463777076684,10.0,0.0,0,0,0,0.0
2024-01-01 08:00:00,1.0,20.0,0.5887182679334525,20.13031748651661,13.926487127645508,10.0,0.0,0,0,0,0.0
2024-01-01 08:15:00,1.0,20.0,0.5887182679334525,20.075560555206504,13.960665404616527,10.0,0.0,0,0,0,0.0
2024-01-01 08:30:00,1.0,20.0,0.5887182679334525,20.02152561805854,13.994015148996374,10.0,0.0,0,0,0,0.0
2024-01-01 08:45:00,1.0,20.0,0.5887182679334525,19.968200271163884,14.026551676497323,10.0,0.0,0,0,0,0.0
2024-01-01 09:00:00,1.0,20.0,0.5887182679334525,19.9158775669611,14.058290727251366,10.0,0.0,0,0,0,0.0
2024-01-01 09:15:00,1.0,20.0,0.5887182679334525,19.86458559794919,14.089250485861413,10.0,0.0,0,0,0,0.0
2024-01-01 09:30:00,1.0,20.0,0.5887182679334525,19.813961878155173,14.119446409013003,10.0,0.0,0,0,0,0.0
2024-01-01 09:45:00,1.0,20.0,0.5887182679334525,19.763994950073336,14.148892637211482,10.0,0.0,0,0,0,0.0
2024-01-01 10:00:00,1.0,20.0,0.5887182679334525,19.71655092988438,14.179356289036855,11.0,0.0,0,0,0,0.0
2024-01-01 10:15:00,1.0,20.0,0.5887182679334525,19.671883609498497,14.211093745150551,11.0,0.0,0,0,0,0.0
2024-01-01 10:30:00,3.0,19.633333333333333,0.5887182679334525,19.627834684864865,14.242110515853701,11.0,0.0,0,0,0,0.0
2024-01-01 10:45:00,1.0,19.666666666666668,0.5887182679334525,19.58439344765355,14.272419847490248,11.0,0.0,0,0,0,0.0
2024-01-01 11:00:00,1.0,20.0,0.5887182679334525,19.543396949905357,14.303787912419136,12.0,0.0,0,0,0,0.0
2024-01-01 11:15:00,1.0,20.0,0.5887182679334525,19.5455536989752,14.336491342587408,12.0,0.0,0,0,0,0.0
2024-01-01 11:30:00,1.0,20.0,0.5887182679334525,20.18939721840867,14.370881535874007,12.0,0.0,0,0,0,0.0
2024-01-01 11:45:00,1.0,20.0,0.5887182679334525,20.512470540009595,14.409812741983819,12.0,0.0,0,0,0,0.0
2024-01-01 12:00:00,1.0,20.0,0.5887182679334525,20.46622636761546,14.448895421511141,12.0,0.0,0,0,0,0.0
2024-01-01 12:15:00,1.0,20.0,0.5887182679334525,20.41999613693668,14.487156308197592,12.0,0.0,0,0,0,0.0
2024-01-01 12:30:00,1.0,20.0,0.5887182679334525,20.374447253248377,14.524608391268076,12.0,0.0,0,0,0,0.0
2024-01-01 12:45:00,1.0,20.0,0.5887182679334525,20.329567805528768,14.561266436964589,12.0,0.0,0,0,0,0.0
2024-01-01 13:00:00,1.0,20.0,0.5887182679334525,20.28552152187356,14.597145348476573,12.0,0.0,0,0,0,0.0
2024-01-01 13:15:00,1.0,20.0,0.5887182679334525,20.242319935593926,14.632261328833332,12.0,0.0,0,0,0,0.0
2024-01-01 13:30:00,1.0,20.0,0.5887182679334525,20.199750187624357,14.666628910088965,12.0,0.0,0,0,0,0.0
2024-01-01 13:45:00,1.0,20.0,0.5887182679334525,20.15780124490782,14.70026176653345,12.0,0.0,0,0,0,0.0
2024-01-01 14:00:00,1.0,20.0,0.5887182679334525,20.11486729410062,14.733169668267013,12.0,0.0,0,0,0,0.0
2024-01-01 14:15:00,1.0,20.0,0.5887182679334525,20.07072837548807,14.765347955870416,12.0,0.0,0,0,0,0.0
2024-01-01 14:30:00,1.0,20.0,0.5887182679334525,20.027206767310062,14.796804597967727,12.0,0.0,0,0,0,0.0
2024-01-01 14:45:00,1.0,20.0,0.5887182679334525,19.984291763048812,14.827552843509876,12.0,0.0,0,0,0,0.0
2024-01-01 15:00:00,1.0,20.0,0.5887182679334525,19.940453149174363,14.857602217439823,12.0,0.0,0,0,0,0.0
2024-01-01 15:15:00,1.0,20.0,0.5887182679334525,19.895481159939518,14.886948492207784,12.0,0.0,0,0,0,0.0
2024-01-01 15:30:00,1.0,20.0,0.5887182679334525,19.851111881817715,14.91559946835158,12.0,0.0,0,0,0,0.0
2024-01-01 15:45:00,1.0,20.0,0.5887182679334525,19.8073349323279,14.943567973646509,12.0,0.0,0,0,0,0.0
2024-01-01 16:00:00,1.0,20.0,0.5887182679334525,19.763732661707667,14.969116743877484,11.0,0.0,0,0,0,0.0
2024-01-01 16:15:00,1.0,20.0,0.5887182679334525,19.720223115836127,14.992031851655526,11.0,0.0,0,0,0,0.0
2024-01-01 16:30:00,1.0,20.0,0.5887182679334525,19.677254880106833,15.014337915405815,11.0,0.0,0,0,0,0.0
2024-01-01 16:45:00,1.0,20.0,0.5887182679334525,19.634818747451327,15.036046276874421,11.0,0.0,0,0,0,0.0
2024-01-01 17:00:00,1.0,20.0,0.5887182679334525,19.592905674902468,15.057168073478838,11.0,0.0,0,0,0,0.0
2024-01-01 17:15:00,1.0,20.0,0.5887182679334525,19.551506780652975,15.077714241975183,11.0,0.0,0,0,0,0.0
2024-01-01 17:30:00,1.0,20.0,0.5887182679334525,19.5348926570732,15.097704103585354,11.0,0.0,0,0,0,0.0
2024-01-01 17:45:00,1.0,20.0,0.5887182679334525,20.135949723119477,15.119182294125665,11.0,0.0,0,0,0,0.0
2024-01-01 18:00:00,1.0,20.0,0.5887182679334525,20.513187375706064,15.145449678155822,11.0,0.0,0,0,0,0.0
2024-01-01 18:15:00,1.0,20.0,0.5887182679334525,20.464712173792783,15.172219714723125,11.0,0.0,0,0,0,0.0
2024-01-01 18:30:00,1.0,20.0,0.5887182679334525,20.416849522305732,15.198296792584935,11.0,0.0,0,0,0,0.0
2024-01-01 18:45:00,1.0,20.0,0.5887182679334525,20.36958897376171,15.223693789837034,11.0,0.0,0,0,0,0.0
2024-01-01 19:00:00,1.0,20.0,0.5887182679334525,20.32292026695093,15.248423352621698,11.0,0.0,0,0,0,0.0
2024-01-01 19:15:00,1.0,20.0,0.5887182679334525,20.276833323597955,15.27249789929055,11.0,0.0,0,0,0,0.0
2024-01-01 19:30:00,1.0,20.0,0.5887182679334525,20.23131824508256,15.295929624492727,11.0,0.0,0,0,0,0.0
2024-01-01 19:45:00,1.0,20.0,0.5887182679334525,20.18636530921938,15.318730503189721,11.0,0.0,0,0,0,0.0
2024-01-01 20:00:00,1.0,20.0,0.5887182679334525,20.141964967095358,15.340912294598164,11.0,0.0,0,0,0,0.0
2024-01-01 20:15:00,1.0,20.0,0.5887182679334525,20.098107839963852,15.362486546061923,11.0,0.0,0,0,0,0.0
2024-01-01 20:30:00,1.0,20.0,0.5887182679334525,20.054784716194536,15.383464596854692,11.0,0.0,0,0,0,0.0
2024-01-01 20:45:00,1.0,20.0,0.5887182679334525,20.01198654827795,15.403857581914407,11.0,0.0,0,0,0,0.0
2024-01-01 21:00:00,1.0,20.0,0.5887182679334525,19.96933805338983,15.421926668546606,10.0,0.0,0,0,0,0.0
2024-01-01 21:15:00,1.0,20.0,0.5887182679334525,19.926763952511017,15.437456755744611,10.0,0.0,0,0,0,0.0
2024-01-01 21:30:00,1.0,20.0,0.5887182679334525,19.884666918725642,15.452470986272077,10.0,0.0,0,0,0,0.0
2024-01-01 21:45:00,1.0,20.0,0.5887182679334525,19.843038997225698,15.466979112894007,10.0,0.0,0,0,0,0.0
2024-01-01 22:00:00,1.0,20.0,0.5887182679334525,19.801872374630943,15.480990712376718,10.0,0.0,0,0,0,0.0
2024-01-01 22:15:00,1.0,20.0,0.5887182679334525,19.76115937645461,15.494515188647158,10.0,0.0,0,0,0,0.0
2024-01-01 22:30:00,1.0,20.0,0.5887182679334525,19.720892464614515,15.507561775895574,10.0,0.0,0,0,0,0.0
2024-01-01 22:45:00,1.0,20.0,0.5887182679334525,19.681064234988874,15.520139541622521,10.0,0.0,0,0,0,0.0
2024-01-01 23:00:00,1.0,20.0,0.5887182679334525,19.641667415015892,15.532257389631187,10.0,0.0,0,0,0,0.0
