,WasherDryer,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.131,0.0,0.0
2024-01-01 00:15:00,0.001,0.038,0.0,0.0
2024-01-01 00:30:00,0.001,0.038,0.0,0.0
2024-01-01 00:45:00,0.001,0.17733333333333334,0.0,0.0
2024-01-01 01:00:00,0.001,0.19,0.0,0.0
2024-01-01 01:15:00,0.001,0.17233333333333334,0.0,0.0
2024-01-01 01:30:00,0.001,0.058666666666666666,0.0,0.0
2024-01-01 01:45:00,0.001,0.038,0.0,0.0
2024-01-01 02:00:00,0.001,0.038,0.0,0.0
2024-01-01 02:15:00,0.001,0.12666666666666668,0.0,0.0
2024-01-01 02:30:00,0.001,0.2796666666666667,0.0,0.0
2024-01-01 02:45:00,0.001,0.154,0.0,0.0
2024-01-01 03:00:00,0.001,0.038,0.0,0.0
2024-01-01 03:15:00,0.001,0.038,0.0,0.0
2024-01-01 03:30:00,0.001,0.038,0.0,0.0
2024-01-01 03:45:00,0.001,0.07600000000000001,0.0,0.0
2024-01-01 04:00:00,0.001,0.35200000000000004,0.0,0.0
2024-01-01 04:15:00,0.001,0.13233333333333333,0.0,0.13333333333333333
2024-01-01 04:30:00,0.001,0.038,0.0,1.6
2024-01-01 04:45:00,0.001,0.038,0.0,0.0
2024-01-01 05:00:00,0.001,0.038,0.0,1.3333333333333333
2024-01-01 05:15:00,0.001,0.07933333333333333,0.0,2.0
2024-01-01 05:30:00,0.001,0.329,0.0,2.0
2024-01-01 05:45:00,0.001,0.15200000000000002,0.0,2.0
2024-01-01 06:00:00,0.001,0.038,0.0,2.0
2024-01-01 06:15:00,0.001,0.038,0.0,2.0
2024-01-01 06:30:00,0.001,0.038,0.0,0.13333333333333333
2024-01-01 06:45:00,0.001,0.5514666666666667,0.0,0.0
2024-01-01 07:00:00,0.001,0.20600000000000002,0.0,0.0
2024-01-01 07:15:00,0.001,0.20266666666666666,0.0,0.0
2024-01-01 07:30:00,0.001,0.04926666666666667,0.0,0.0
2024-01-01 07:45:00,0.001,0.051,0.0,0.0
2024-01-01 08:00:00,0.001,0.082,0.0,0.0
2024-01-01 08:15:00,0.001,0.175,0.0,0.0
2024-01-01 08:30:00,0.001,0.12266666666666667,0.0,0.0
2024-01-01 08:45:00,0.001,0.228,0.0,0.0
2024-01-01 09:00:00,0.001,0.06333333333333332,0.0,0.0
2024-01-01 09:15:00,0.001,0.16853333333333334,0.0,0.0
2024-01-01 09:30:00,0.001,0.2963681315686095,0.0,0.0
2024-01-01 09:45:00,0.001,0.7882855306862476,0.0,0.0
2024-01-01 10:00:00,0.001,0.22888553068624765,0.0,0.0
2024-01-01 10:15:00,0.001,0.4864721973529143,0.0,0.0
2024-01-01 10:30:00,0.001,0.814318864019581,0.0,0.0
2024-01-01 10:45:00,0.001,0.22591886401958097,0.0,0.0
2024-01-01 11:00:00,0.001,0.8277055306862475,0.0,0.0
2024-01-01 11:15:00,0.001,0.2052521973529143,0.0,0.5333333333333333
2024-01-01 11:30:00,0.001,0.2052521973529143,0.0,1.8666666666666667
2024-01-01 11:45:00,0.001,0.3785855306862477,0.0,0.0
2024-01-01 12:00:00,0.001,0.40138553068624766,0.0,0.0
2024-01-01 12:15:00,0.001,0.40490695964705525,0.0,0.0
2024-01-01 12:30:00,0.001,0.3697,0.0,0.0
2024-01-01 12:45:00,0.001,0.3051,0.0,0.0
2024-01-01 13:00:00,0.001,0.29469999999999996,0.0,0.0
2024-01-01 13:15:00,0.001,0.7937589938981389,0.0,0.0
2024-01-01 13:30:00,0.001,0.3731904090393402,0.0,0.0
2024-01-01 13:45:00,0.001,0.33019040903934016,0.0,0.0
2024-01-01 14:00:00,0.001,0.1855237423726735,0.0,0.0
2024-01-01 14:15:00,0.001,0.16743040903934017,0.0,0.0
2024-01-01 14:30:00,0.001,0.0474589938981388,0.0,0.0
2024-01-01 14:45:00,0.001,0.10133333333333333,0.0,0.0
2024-01-01 15:00:00,0.001,0.3106666666666667,0.0,0.0
2024-01-01 15:15:00,0.001,0.14833333333333334,0.0,0.0
2024-01-01 15:30:00,0.001,0.038,0.0,0.0
2024-01-01 15:45:00,0.001,0.038,0.0,0.0
2024-01-01 16:00:00,0.001,0.038,0.0,0.0
2024-01-01 16:15:00,0.001,0.050666666666666665,0.0,0.0
2024-01-01 16:30:00,0.001,0.383,0.0,0.0
2024-01-01 16:45:00,0.001,0.12666666666666668,0.0,0.0
2024-01-01 17:00:00,0.001,0.038,0.0,0.0
2024-01-01 17:15:00,0.001,0.038,0.0,0.0
