,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.195,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.2793333333333334,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.17933333333333332,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.195,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.11366666666666667,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.23,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.10333333333333333,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.17933333333333332,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.21733333333333335,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.195,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.06533333333333333,0.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.23,0.0
2024-01-01 05:45:00,0.001,0.001,0.001,0.20333333333333334,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.195,0.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.4501333333333334,7.333333333333333
2024-01-01 06:30:00,0.001,0.001,0.001,0.04,8.066666666666666
2024-01-01 06:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-01 07:00:00,0.001,0.001,0.001,0.14133333333333334,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.3436666666666667,0.0
2024-01-01 07:30:00,0.001,0.001,0.001,0.179,0.0
2024-01-01 07:45:00,0.001,0.001,0.001,0.4398,0.0
