,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.0,0.3348855306862476,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.29355219735291427,0.0,0.2
2024-01-01 00:30:00,0.001,0.0,0.12730347982352763,0.0,1.5
2024-01-01 00:45:00,0.001,0.0,0.238,0.0,1.5
2024-01-01 01:00:00,0.001,0.0,0.16611538419605335,0.0,1.5
2024-01-01 01:15:00,0.001,0.0,0.0795521973529143,0.0,0.4
2024-01-01 01:30:00,0.001,0.0,0.2345521973529143,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.15188553068624763,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.13872435876469333,0.0,1.1
2024-01-01 02:15:00,0.001,0.0,0.238,0.0,1.5
2024-01-01 02:30:00,0.001,0.0,0.07333333333333333,0.0,1.0
2024-01-01 02:45:00,0.001,0.0,0.06866666666666667,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.203,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.09966666666666667,0.0,0.2
2024-01-01 03:30:00,0.001,0.0,0.18733333333333332,0.0,1.5
2024-01-01 03:45:00,0.001,0.0,0.2,0.0,1.5
2024-01-01 04:00:00,0.001,0.0,0.048,0.0,0.6
2024-01-01 04:15:00,0.001,0.0,0.08933333333333333,0.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.203,0.0,0.1
2024-01-01 04:45:00,0.001,0.0,0.09166666666666666,0.0,1.5
2024-01-01 05:00:00,0.001,0.0,0.238,0.0,0.7
2024-01-01 05:15:00,0.001,0.0,0.13666666666666666,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.44780000000000003,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.11000000000000001,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.203,0.0,1.2
2024-01-01 06:15:00,0.001,0.0,0.13433333333333333,0.0,1.5
2024-01-01 06:30:00,0.001,0.0,0.6378,0.0,1.2
2024-01-01 06:45:00,0.001,0.0,0.07333333333333333,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.44780000000000003,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.14279999999999998,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.2836666666666667,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.28700000000000003,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.30400000000000005,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.13986666666666667,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.061000000000000006,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.6973999999999999,0.0,0.2
2024-01-01 09:00:00,0.001,0.0,0.1864,0.0,1.5
2024-01-01 09:15:00,0.001,0.0,0.238,0.0,1.5
2024-01-01 09:30:00,0.001,0.0,0.1436,0.0,1.5
2024-01-01 09:45:00,0.001,0.0,0.061000000000000006,0.0,1.5
2024-01-01 10:00:00,0.001,0.0,0.061000000000000006,0.0,1.5
2024-01-01 10:15:00,0.001,0.0,0.185,0.0,1.5
2024-01-01 10:30:00,0.001,0.0,0.23686666666666667,0.0,1.5
