,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.10600000000000001,0.0,0.0
2024-01-01 00:15:00,0.199,0.0,2.0
2024-01-01 00:30:00,0.7037333333333334,0.0,0.0
2024-01-01 00:45:00,0.18333333333333332,0.0,0.0
2024-01-01 01:00:00,0.044,0.0,0.0
2024-01-01 01:15:00,0.044,0.0,0.0
2024-01-01 01:30:00,0.44380000000000003,0.0,0.0
2024-01-01 01:45:00,0.17833333333333334,0.0,0.0
2024-01-01 02:00:00,0.6278,0.0,2.0
2024-01-01 02:15:00,0.2086666666666667,0.0,0.6
2024-01-01 02:30:00,0.044,0.0,0.0
2024-01-01 02:45:00,0.044,0.0,0.0
2024-01-01 03:00:00,0.044,0.0,0.0
2024-01-01 03:15:00,0.09566666666666666,0.0,0.0
2024-01-01 03:30:00,0.275,0.0,1.2
2024-01-01 03:45:00,0.24433333333333335,0.0,1.2
2024-01-01 04:00:00,0.044,0.0,0.0
2024-01-01 04:15:00,0.044,0.0,0.0
2024-01-01 04:30:00,0.044,0.0,0.0
2024-01-01 04:45:00,0.044,0.0,0.0
2024-01-01 05:00:00,0.21866666666666668,0.0,0.0
2024-01-01 05:15:00,0.327,3.7333333333333334,0.0
2024-01-01 05:30:00,0.06933333333333333,7.0,0.0
2024-01-01 05:45:00,0.044,1.4,0.0
2024-01-01 06:00:00,0.044,0.0,0.0
2024-01-01 06:15:00,0.044,0.0,0.0
2024-01-01 06:30:00,0.11066666666666668,0.0,0.0
2024-01-01 06:45:00,0.389,0.0,0.0
2024-01-01 07:00:00,0.11533333333333333,0.0,0.0
2024-01-01 07:15:00,0.044,0.0,0.0
2024-01-01 07:30:00,0.044,0.0,0.0
2024-01-01 07:45:00,0.044,0.0,0.0
2024-01-01 08:00:00,0.044,0.0,0.0
2024-01-01 08:15:00,0.3476666666666667,0.0,1.2
2024-01-01 08:30:00,0.23286666666666667,0.0,2.0
2024-01-01 08:45:00,0.057,0.0,0.0
2024-01-01 09:00:00,0.057,0.0,0.4
2024-01-01 09:15:00,0.5900666666666667,0.0,3.0
2024-01-01 09:30:00,0.04486666666666666,0.0,0.8
2024-01-01 09:45:00,0.23966666666666667,0.0,0.0
2024-01-01 10:00:00,0.30033333333333334,0.0,0.0
2024-01-01 10:15:00,0.075,0.0,0.0
2024-01-01 10:30:00,0.044,0.0,0.0
2024-01-01 10:45:00,0.044,0.0,0.0
2024-01-01 11:00:00,0.044,0.0,0.0
2024-01-01 11:15:00,0.18333333333333332,0.0,0.0
2024-01-01 11:30:00,0.274,0.0,0.0
2024-01-01 11:45:00,0.15766666666666668,0.0,0.0
2024-01-01 12:00:00,0.044,0.0,0.0
2024-01-01 12:15:00,0.044,0.0,0.0
2024-01-01 12:30:00,0.044,0.0,0.0
2024-01-01 12:45:00,0.158,0.0,0.0
2024-01-01 13:00:00,0.21666666666666667,0.0,0.0
2024-01-01 13:15:00,0.199,0.0,0.0
2024-01-01 13:30:00,0.08848633129937959,0.0,0.0
2024-01-01 13:45:00,0.0558237423726735,0.0,3.0
2024-01-01 14:00:00,0.0558237423726735,0.0,0.6
2024-01-01 14:15:00,0.14449040903934016,0.0,0.0
2024-01-01 14:30:00,0.23315707570600683,0.0,0.0
2024-01-01 14:45:00,0.1488237423726735,0.0,2.6
2024-01-01 15:00:00,0.1703647484745347,0.0,2.2
2024-01-01 15:15:00,0.044,0.0,2.8
2024-01-01 15:30:00,0.05030599593209253,0.0,0.0
2024-01-01 15:45:00,0.20789040903934017,0.0,0.0
2024-01-01 16:00:00,0.3668237423726735,0.0,0.0
2024-01-01 16:15:00,0.1998237423726735,0.0,0.0
2024-01-01 16:30:00,0.4124904090393402,0.0,0.0
2024-01-01 16:45:00,0.31170599593209253,0.0,2.4
2024-01-01 17:00:00,0.16657649898302312,0.0,3.0
2024-01-01 17:15:00,0.6146237423726736,0.0,1.0
2024-01-01 17:30:00,0.3668237423726735,0.0,2.2
2024-01-01 17:45:00,0.20675707570600685,0.0,0.0
2024-01-01 18:00:00,0.13849040903934018,0.0,0.0
2024-01-01 18:15:00,0.19015707570600685,0.0,0.0
2024-01-01 18:30:00,0.046364748474534694,0.0,0.0
2024-01-01 18:45:00,0.059898081807868035,0.0,0.0
2024-01-01 19:00:00,0.2861689800785326,0.0,0.0
2024-01-01 19:15:00,0.16370927305892113,0.0,0.0
2024-01-01 19:30:00,0.1487759397255878,0.0,2.4
2024-01-01 19:45:00,0.37290927305892113,0.0,3.0
2024-01-01 20:00:00,0.2687994407425647,0.0,1.0
2024-01-01 20:15:00,0.30072435876469333,0.0,0.0
2024-01-01 20:30:00,0.46963932926542584,0.0,0.0
2024-01-01 20:45:00,0.35843070201972876,0.0,0.0
2024-01-01 21:00:00,0.32937593972558776,0.0,0.0
2024-01-01 21:15:00,0.35330927305892107,0.0,0.0
2024-01-01 21:30:00,0.4417759397255878,0.0,2.6
2024-01-01 21:45:00,0.32228169430198367,0.0,1.0
2024-01-01 22:00:00,0.368545237705859,0.0,0.0
2024-01-01 22:15:00,0.27899999999999997,0.0,0.0
2024-01-01 22:30:00,0.17235219735291432,0.0,0.0
2024-01-01 22:45:00,0.0946543569007429,0.0,0.0
2024-01-01 23:00:00,0.35304260639225443,0.0,1.0
2024-01-01 23:15:00,0.8137759397255878,0.0,1.6
2024-01-01 23:30:00,0.3350426063922544,0.0,0.2
2024-01-01 23:45:00,0.3350883941177554,0.0,3.0
2024-01-02 00:00:00,0.1189647484745347,0.0,3.0
