,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.157,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.18233333333333335,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.13166666666666668,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.2076666666666667,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.10633333333333334,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.043,0.0,1.2
2024-01-01 04:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.043,0.0,1.8
2024-01-01 04:30:00,0.001,0.001,0.0,0.081,0.0,3.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.233,0.0,3.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.06833333333333333,0.0,3.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.043,0.0,3.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.043,0.0,3.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.05566666666666666,0.0,3.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.233,0.0,1.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.22033333333333335,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.11900000000000001,0.0,0.8
2024-01-01 07:45:00,0.001,0.001,0.0,0.043,0.0,1.8
2024-01-01 08:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.195,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.14433333333333334,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.043,0.0,0.0
