,WasherDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.045,0.0,0.0,2.6666666666666665
2024-01-01 00:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.08299999999999999,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.235,0.0,0.0,0.3333333333333333
2024-01-01 01:15:00,0.001,0.38753333333333334,0.0,0.0,3.3333333333333335
2024-01-01 01:30:00,0.001,0.31153333333333333,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.44480000000000003,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.13366666666666666,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.235,0.0,1.0,0.0
2024-01-01 02:45:00,0.001,0.47013333333333335,0.0,0.6,0.0
2024-01-01 03:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.18433333333333332,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.20966666666666667,0.0,1.2,0.0
2024-01-01 04:15:00,0.001,0.5780666666666666,0.0,2.0,2.0
2024-01-01 04:30:00,0.001,0.045,0.0,3.0,0.6666666666666666
2024-01-01 04:45:00,0.001,0.045,0.0,3.0,0.0
2024-01-01 05:00:00,0.001,0.045,0.0,3.0,0.0
2024-01-01 05:15:00,0.001,0.235,0.0,0.2,0.0
2024-01-01 05:30:00,0.001,0.15899999999999997,0.0,0.0,2.6666666666666665
2024-01-01 05:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.09566666666666666,0.0,0.0,3.0
2024-01-01 06:45:00,0.001,0.235,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.10833333333333334,0.0,0.0,0.0
2024-01-01 07:15:00,0.001,0.045,5.6,0.0,0.0
2024-01-01 07:30:00,0.001,0.045,7.0,0.0,0.0
2024-01-01 07:45:00,0.001,0.045,4.2,0.0,2.6666666666666665
2024-01-01 08:00:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.235,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.057666666666666665,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.197,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.19699999999999998,0.0,1.4,3.0
2024-01-01 10:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.057666666666666665,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.235,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.045,2.8,0.0,2.6666666666666665
2024-01-01 12:00:00,0.001,0.045,0.0,0.0,1.3333333333333333
2024-01-01 12:15:00,0.001,0.10833333333333334,0.0,0.0,0.0
2024-01-01 12:30:00,0.001,0.235,0.0,2.0,0.0
2024-01-01 12:45:00,0.001,0.09566666666666665,0.0,0.6,0.0
2024-01-01 13:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 13:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 13:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 13:45:00,0.001,0.5588,0.0,0.0,0.0
2024-01-01 14:00:00,0.001,0.235,0.0,0.0,1.3333333333333333
2024-01-01 14:15:00,0.001,0.045,0.0,0.0,2.0
2024-01-01 14:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.045,0.0,0.0,2.6666666666666665
2024-01-01 15:15:00,0.001,0.20966666666666667,0.0,0.0,0.0
2024-01-01 15:30:00,0.001,0.18433333333333332,0.0,0.0,0.0
2024-01-01 15:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 16:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 16:15:00,0.001,0.050783458630078375,0.0,0.0,0.0
2024-01-01 16:30:00,0.001,0.11370927305892113,0.0,0.0,0.0
2024-01-01 16:45:00,0.001,0.8114426063922545,0.0,0.0,0.0
2024-01-01 17:00:00,0.001,0.1851092730589211,0.0,0.0,0.0
2024-01-01 17:15:00,0.001,0.21890927305892116,0.0,0.0,0.0
2024-01-01 17:30:00,0.001,0.1910894545621709,0.0,0.0,1.0
2024-01-01 17:45:00,0.001,0.179,0.0,0.0,1.6666666666666667
2024-01-01 18:00:00,0.001,2.0142666666666664,0.0,0.0,0.0
2024-01-01 18:15:00,0.001,1.4623374110732938,0.0,2.4,0.0
2024-01-01 18:30:00,0.001,0.09482374237267349,0.0,0.2,0.0
2024-01-01 18:45:00,0.001,0.0568237423726735,0.0,0.0,0.0
2024-01-01 19:00:00,0.001,2.4558237423726736,0.0,0.0,0.0
2024-01-01 19:15:00,0.001,0.7901689800785326,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.21700711351109253,0.0,0.0,0.6666666666666666
2024-01-01 19:45:00,0.001,0.3552055306862476,0.0,0.0,2.0
2024-01-01 20:00:00,0.001,0.08955219735291431,0.0,0.0,0.0
2024-01-01 20:15:00,0.001,0.07915219735291432,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.1648721973529143,0.0,0.0,1.0
2024-01-01 20:45:00,0.001,0.053413919294110476,0.0,0.0,3.0
2024-01-01 21:00:00,0.001,0.22233333333333333,0.0,0.0,0.0
2024-01-01 21:15:00,0.001,0.17166666666666666,0.0,0.0,0.0
2024-01-01 21:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 21:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 22:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 22:15:00,0.001,0.08299999999999999,0.0,0.0,0.0
2024-01-01 22:30:00,0.001,0.235,0.0,0.0,0.0
2024-01-01 22:45:00,0.001,0.121,0.0,0.0,2.6666666666666665
2024-01-01 23:00:00,0.001,0.17748,0.0,0.0,0.0
2024-01-01 23:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 23:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 23:45:00,0.001,0.13366666666666666,0.0,0.0,0.0
2024-01-02 00:00:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 00:15:00,0.001,0.07033333333333333,0.0,0.0,0.0
2024-01-02 00:30:00,0.001,0.045,0.0,0.0,2.0
2024-01-02 00:45:00,0.001,0.045,0.0,0.0,2.3333333333333335
2024-01-02 01:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 01:15:00,0.001,0.18433333333333332,0.0,0.0,0.0
2024-01-02 01:30:00,0.001,0.20966666666666667,0.0,0.6,3.0
2024-01-02 01:45:00,0.001,0.045,0.0,0.0,0.3333333333333333
2024-01-02 02:00:00,0.001,0.31153333333333333,0.0,0.0,0.0
2024-01-02 02:15:00,0.001,0.17826666666666666,0.0,0.0,0.0
2024-01-02 02:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 02:45:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 03:00:00,0.001,0.15899999999999997,0.0,0.0,0.0
2024-01-02 03:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 03:30:00,0.001,0.5780666666666666,0.0,0.0,2.6666666666666665
2024-01-02 03:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 04:00:00,0.001,0.09566666666666666,0.0,0.2,0.0
2024-01-02 04:15:00,0.001,0.235,0.0,3.0,0.0
2024-01-02 04:30:00,0.001,0.10833333333333334,0.0,0.0,0.0
2024-01-02 04:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 05:00:00,0.001,0.045,2.3333333333333335,0.0,0.0
2024-01-02 05:15:00,0.001,0.045,3.2666666666666666,0.0,0.0
2024-01-02 05:30:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-02 05:45:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 06:00:00,0.001,0.057666666666666665,0.0,0.0,0.0
2024-01-02 06:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 06:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 06:45:00,0.001,0.045,1.4,0.0,0.0
2024-01-02 07:00:00,0.001,0.197,0.0,0.0,0.0
