,Occupancy,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-01-01 00:00:00,2.0,0.0,0.076,60.0,60.0,0.0
2024-01-01 00:01:00,2.0,0.0,0.0759891065456283,60.0,59.994553272814144,0.0
2024-01-01 00:02:00,2.0,0.0,0.07597821465266906,60.0,59.989107326334526,0.0
2024-01-01 00:03:00,2.0,0.0,0.07596732432089849,60.0,59.98366216044924,0.0
2024-01-01 00:04:00,2.0,0.0,0.07595643555009282,60.0,59.97821777504641,0.0
2024-01-01 00:05:00,2.0,0.0,0.07594554834002831,60.0,59.972774170014155,0.0
2024-01-01 00:06:00,2.0,0.0,0.07593466269048124,60.0,59.96733134524062,0.0
2024-01-01 00:07:00,2.0,0.0,0.07592377860122795,60.0,59.961889300613976,0.0
2024-01-01 00:08:00,2.0,0.0,0.0759128960720448,60.0,59.956448036022394,0.0
2024-01-01 00:09:00,2.0,0.0,0.07590201510270814,60.0,59.95100755135407,0.0
2024-01-01 00:10:00,2.0,0.0,0.07589113569299441,60.0,59.945567846497205,0.0
2024-01-01 00:11:00,2.0,0.0,0.07588025784268009,60.0,59.94012892134004,0.0
2024-01-01 00:12:00,2.0,0.0,0.07586938155154162,60.0,59.93469077577081,0.0
2024-01-01 00:13:00,2.0,0.0,0.07585850681935555,60.0,59.92925340967777,0.0
2024-01-01 00:14:00,2.0,0.0,0.0758476336458984,60.0,59.9238168229492,0.0
2024-01-01 00:15:00,2.0,0.0,0.07583676203094676,60.0,59.91838101547338,0.0
2024-01-01 00:16:00,2.0,0.0,0.07582589197427726,60.0,59.91294598713863,0.0
2024-01-01 00:17:00,2.0,0.0,0.07581502347566652,60.0,59.907511737833254,0.0
2024-01-01 00:18:00,2.0,0.0,0.07580415653489121,60.0,59.9020782674456,0.0
2024-01-01 00:19:00,2.0,0.0,0.07579329115172806,60.0,59.89664557586403,0.0
2024-01-01 00:20:00,2.0,0.0,0.0757824273259538,60.0,59.8912136629769,0.0
2024-01-01 00:21:00,2.0,0.0,0.07577156505734521,60.0,59.88578252867261,0.0
2024-01-01 00:22:00,2.0,0.0,0.0757607043456791,60.0,59.880352172839544,0.0
2024-01-01 00:23:00,2.0,0.0,0.07574984519073226,60.0,59.87492259536613,0.0
2024-01-01 00:24:00,2.0,0.0,0.0757389875922816,60.0,59.8694937961408,0.0
2024-01-01 00:25:00,2.0,0.0,0.07572813155010402,60.0,59.86406577505201,0.0
2024-01-01 00:26:00,2.0,0.0,0.07571727706397643,60.0,59.85863853198822,0.0
2024-01-01 00:27:00,2.0,0.0,0.07570642413367583,60.0,59.85321206683791,0.0
2024-01-01 00:28:00,2.0,0.0,0.07569557275897917,60.0,59.847786379489584,0.0
2024-01-01 00:29:00,2.0,0.0,0.07568472293966351,60.0,59.84236146983175,0.0
2024-01-01 00:30:00,2.0,0.0,0.07567387467550589,60.0,59.83693733775294,0.0
2024-01-01 00:31:00,2.0,0.0,0.07566302796628341,60.0,59.831513983141704,0.0
2024-01-01 00:32:00,2.0,0.0,0.07565218281177319,60.0,59.826091405886594,0.0
2024-01-01 00:33:00,2.0,0.0,0.07564133921175238,60.0,59.82066960587619,0.0
2024-01-01 00:34:00,2.0,0.0,0.07563049716599819,60.0,59.8152485829991,0.0
2024-01-01 00:35:00,2.0,0.0,0.07561965667428783,60.0,59.80982833714391,0.0
2024-01-01 00:36:00,2.0,0.0,0.07560881773639853,60.0,59.80440886819927,0.0
2024-01-01 00:37:00,2.0,0.0,0.0755979803521076,60.0,59.7989901760538,0.0
2024-01-01 00:38:00,2.0,0.0,0.07558714452119235,60.0,59.79357226059617,0.0
2024-01-01 00:39:00,2.0,0.0,0.07557631024343012,60.0,59.78815512171506,0.0
2024-01-01 00:40:00,2.0,0.0,0.07556547751859828,60.0,59.78273875929914,0.0
2024-01-01 00:41:00,2.0,0.0,0.07555464634647426,60.0,59.77732317323713,0.0
2024-01-01 00:42:00,2.0,0.0,0.0755438167268355,60.0,59.771908363417744,0.0
2024-01-01 00:43:00,2.0,0.0,0.07553298865945945,60.0,59.766494329729724,0.0
2024-01-01 00:44:00,2.0,0.0,0.07552216214412365,60.0,59.76108107206182,0.0
2024-01-01 00:45:00,2.0,0.0,0.07551133718060561,60.0,59.755668590302804,0.0
2024-01-01 00:46:00,2.0,0.0,0.07550051376868293,60.0,59.75025688434146,0.0
2024-01-01 00:47:00,2.0,0.0,0.07548969190813318,60.0,59.74484595406659,0.0
2024-01-01 00:48:00,2.0,0.0,0.07547887159873402,60.0,59.73943579936701,0.0
2024-01-01 00:49:00,2.0,0.0,0.0754680528402631,60.0,59.73402642013155,0.0
2024-01-01 00:50:00,2.0,0.0,0.07545723563249812,60.0,59.72861781624906,0.0
2024-01-01 00:51:00,2.0,0.0,0.07544641997521682,60.0,59.72320998760841,0.0
2024-01-01 00:52:00,2.0,0.0,0.07543560586819698,60.0,59.717802934098486,0.0
2024-01-01 00:53:00,2.0,0.0,0.07542479331121635,60.0,59.712396655608174,0.0
2024-01-01 00:54:00,2.0,0.0,0.07541398230405277,60.0,59.70699115202638,0.0
2024-01-01 00:55:00,2.0,0.0,0.0754031728464841,60.0,59.70158642324205,0.0
2024-01-01 00:56:00,2.0,0.0,0.07539236493828824,60.0,59.69618246914412,0.0
2024-01-01 00:57:00,2.0,0.0,0.0753815585792431,60.0,59.690779289621545,0.0
2024-01-01 00:58:00,2.0,0.0,0.07537075376912662,60.0,59.68537688456331,0.0
2024-01-01 00:59:00,2.0,0.0,0.07535995050771681,60.0,59.6799752538584,0.0
2024-01-01 01:00:00,2.0,0.0,0.07534914879479167,60.0,59.67457439739583,0.0
2024-01-01 01:01:00,2.0,0.0,0.07533834863012925,60.0,59.66917431506462,0.0
2024-01-01 01:02:00,2.0,0.0,0.07532755001350763,60.0,59.663775006753816,0.0
2024-01-01 01:03:00,2.0,0.0,0.07531675294470493,60.0,59.658376472352465,0.0
2024-01-01 01:04:00,2.0,0.0,0.0753059574234993,60.0,59.65297871174965,0.0
2024-01-01 01:05:00,2.0,0.0,0.07529516344966888,60.0,59.64758172483444,0.0
2024-01-01 01:06:00,2.0,0.0,0.0752843710229919,60.0,59.64218551149595,0.0
2024-01-01 01:07:00,2.0,0.0,0.07527358014324662,60.0,59.63679007162331,0.0
2024-01-01 01:08:00,2.0,0.0,0.07526279081021127,60.0,59.631395405105636,0.0
2024-01-01 01:09:00,2.0,0.0,0.07525200302366418,60.0,59.62600151183209,0.0
2024-01-01 01:10:00,2.0,0.0,0.07524121678338366,60.0,59.62060839169183,0.0
2024-01-01 01:11:00,2.0,0.0,0.0752304320891481,60.0,59.615216044574055,0.0
2024-01-01 01:12:00,2.0,0.0,0.0752196489407359,60.0,59.609824470367954,0.0
2024-01-01 01:13:00,2.0,0.0,0.07520886733792548,60.0,59.60443366896274,0.0
2024-01-01 01:14:00,2.0,0.0,0.0751980872804953,60.0,59.59904364024765,0.0
2024-01-01 01:15:00,2.0,0.0,0.07518730876822384,60.0,59.59365438411192,0.0
