,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-07-29 00:00:00,2.0,0,0,0,0.0,0.0,15.0,15.0,16.259165,17.51833,0.36222655735187775,0.0,0.076,60.0,60.0,0.0
2024-07-29 00:01:00,2.0,0,0,0,0.0,0.0,15.0,15.001385122458368,16.25829135849259,17.51833,0.36222655735187775,1.92556,0.0759891065456283,60.0,59.994553272814144,1.0
2024-07-29 00:02:00,2.0,0,0,0,0.0,0.0,15.0,15.00276790810231,16.257420352617405,17.51833,0.36222655735187775,1.92556,0.07570221465266906,60.0,59.85110732633453,1.0
2024-07-29 00:03:00,2.0,0,0,0,0.0,0.0,15.0,15.004148362042455,16.25655197632937,17.51833,0.36222655735187775,0.0,0.07541536388133806,60.0,59.707681940669026,0.0
2024-07-29 00:04:00,2.0,0,0,0,0.0,0.0,15.0,15.005526489377976,16.255686223597007,17.51833,0.36222655735187775,0.0,0.0754045542257411,60.0,59.702277112870554,0.0
2024-07-29 00:05:00,2.0,0,0,0,0.0,0.0,15.0,15.006902295196609,16.254823088402425,17.51833,0.36222655735187775,0.0,0.07539374611954536,60.0,59.69687305977268,0.0
2024-07-29 00:06:00,2.0,0,0,0,0.0,0.0,15.0,15.008275784574684,16.253962564741276,17.51833,0.36222655735187775,0.0,0.0753829395625287,60.0,59.69146978126435,0.0
2024-07-29 00:07:00,2.0,0,0,0,0.0,0.0,15.0,15.009646962577147,16.253104646622724,17.51833,0.36222655735187775,0.0,0.0753721345544691,60.0,59.68606727723455,0.0
2024-07-29 00:08:00,2.0,0,0,0,0.0,0.0,15.0,15.01101583425759,16.252249328069425,17.51833,0.36222655735187775,0.0,0.07536133109514452,60.0,59.68066554757226,0.0
2024-07-29 00:09:00,2.0,0,0,0,0.0,0.0,15.0,15.01238240465827,16.251396603117485,17.51833,0.36222655735187775,0.0,0.07535052918433299,60.0,59.67526459216649,0.0
2024-07-29 00:10:00,2.0,0,0,0,0.0,0.0,15.0,15.01374667881014,16.25054646581643,17.51833,0.36222655735187775,0.0,0.07533972882181253,60.0,59.669864410906264,0.0
2024-07-29 00:11:00,2.0,0,0,0,0.0,0.0,15.0,15.015108661732873,16.249698910229196,17.51833,0.36222655735187775,0.0,0.07532893000736124,60.0,59.66446500368062,0.0
2024-07-29 00:12:00,2.0,0,0,0,0.0,0.0,15.0,15.016468358434885,16.248853930432066,17.51833,0.36222655735187775,0.0,0.07531813274075723,60.0,59.65906637037861,0.0
2024-07-29 00:13:00,2.0,0,0,0,0.0,0.0,15.0,15.017825773913366,16.24801152051467,17.51833,0.36222655735187775,0.0,0.07530733702177861,60.0,59.653668510889304,0.0
2024-07-29 00:14:00,2.0,0,0,0,0.0,0.0,15.0,15.019180913154296,16.24717167457993,17.51833,0.36222655735187775,0.0,0.07529654285020358,60.0,59.64827142510179,0.0
2024-07-29 00:15:00,2.0,0,0,0,0.0,0.0,15.0,15.02053378113248,16.24633438674406,17.51833,0.36222655735187775,0.0,0.07528575022581033,60.0,59.642875112905166,0.0
2024-07-29 00:16:00,2.0,0,0,0,0.0,0.0,15.0,15.021884382811567,16.2454996511365,17.51833,0.36222655735187775,0.0,0.0752749591483771,60.0,59.63747957418855,0.0
2024-07-29 00:17:00,2.0,0,0,0,0.0,0.0,15.0,15.023232723144076,16.244667461899923,17.51833,0.36222655735187775,0.0,0.07526416961768218,60.0,59.632084808841086,0.0
2024-07-29 00:18:00,2.0,0,0,0,0.0,0.0,15.0,15.024578807071425,16.243837813190172,17.51833,0.36222655735187775,0.0,0.07525338163350381,60.0,59.6266908167519,0.0
2024-07-29 00:19:00,2.0,0,0,0,0.0,0.0,15.0,15.025922639523948,16.243010699176253,17.51833,0.36222655735187775,0.0,0.07524259519562036,60.0,59.621297597810184,0.0
