,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.14833333333333334,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.09766666666666665,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.123,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.123,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.09766666666666665,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.14833333333333334,0.0,1.4
2024-01-01 04:30:00,0.001,0.0,0.001,0.237,0.0,1.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.07233333333333333,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.047,0.0,0.6
2024-01-01 05:30:00,0.001,0.0,0.001,0.047,0.0,1.2
2024-01-01 05:45:00,0.001,0.0,0.001,0.17366666666666666,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.237,0.0,0.2
2024-01-01 06:15:00,0.001,0.0,0.001,0.047,0.0,1.6
2024-01-01 06:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.047,8.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.19899999999999998,5.0,2.4
2024-01-01 07:30:00,0.001,0.0,0.001,0.21166666666666664,0.0,1.4
2024-01-01 07:45:00,0.001,0.0,0.001,0.047,0.0,3.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.047,0.0,0.8
2024-01-01 08:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.22433333333333333,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.18633333333333332,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.047,0.0,0.0
