,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.7920347860576631,0.001,0.001,0.398718864019581,0.0,0.0
2024-01-01 00:15:00,0.7920347860576631,0.001,0.001,0.34225219735291434,0.0,1.4
2024-01-01 00:30:00,0.7920347860576631,0.001,0.001,0.34225219735291434,0.0,1.1
2024-01-01 00:45:00,0.7920347860576631,0.001,0.001,0.33594175788233144,0.0,0.0
2024-01-01 01:00:00,0.7920347860576631,0.001,0.001,0.42069999999999996,0.0,0.0
2024-01-01 01:15:00,0.7920347860576631,0.001,0.001,0.21976666666666664,0.0,0.0
2024-01-01 01:30:00,0.7920347860576631,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.7
2024-01-01 02:00:00,0.001,0.001,0.001,0.18969999999999995,0.0,1.5
2024-01-01 02:15:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.9
2024-01-01 02:30:00,0.001,0.001,0.001,0.2923666666666666,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.21903333333333333,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.17160666666666663,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.14933333333333335,0.0,0.4
2024-01-01 04:15:00,0.001,0.001,0.001,0.09066666666666667,0.0,1.5
2024-01-01 04:30:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-01 04:45:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-01 05:00:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-01 05:15:00,0.001,0.001,0.001,0.054,0.0,1.2
2024-01-01 05:30:00,0.001,0.001,0.001,0.142,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.001,0.098,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.054,0.0,0.8
2024-01-01 06:30:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-01 06:45:00,0.001,0.001,0.001,0.054,0.0,0.7
2024-01-01 07:00:00,0.001,0.001,0.001,0.13466666666666666,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.10533333333333333,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.001,0.0855521973529143,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.001,0.0855521973529143,0.0,1.4
2024-01-01 08:15:00,0.001,0.001,0.001,0.0855521973529143,0.0,1.5
2024-01-01 08:30:00,0.001,0.001,0.001,0.1588855306862476,0.0,0.3
2024-01-01 08:45:00,0.001,0.001,0.001,0.1358049447254705,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.054,0.0,1.3
2024-01-01 09:15:00,0.001,0.001,0.001,0.054,0.0,1.0
2024-01-01 09:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.001,0.12000000000000001,0.0,1.5
2024-01-01 10:15:00,0.001,0.001,0.001,0.12000000000000001,0.0,1.1
2024-01-01 10:30:00,0.001,0.9808338158094145,0.001,1.4686666666666668,0.0,0.0
2024-01-01 10:45:00,0.001,1.8718670002722217,0.001,2.176,0.0,0.0
2024-01-01 11:00:00,0.001,1.9694928551016753,0.001,0.19546666666666665,0.0,0.0
2024-01-01 11:15:00,0.001,1.8811419253958235,0.001,0.054,0.0,0.0
2024-01-01 11:30:00,0.001,0.09605463116803693,0.001,0.12212566056480548,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.001,0.13915707570600683,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.001,0.06582374237267351,0.0,0.5
2024-01-01 12:15:00,0.001,0.001,0.001,0.06582374237267351,5.6,1.5
2024-01-01 12:30:00,0.001,0.001,0.001,0.19549040903934017,7.0,0.3
2024-01-01 12:45:00,0.001,0.001,0.001,0.19351774644058095,7.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.001,0.2700883941177554,0.9333333333333333,0.7
2024-01-01 13:15:00,0.001,0.001,0.001,0.31204260639225445,0.0,1.5
2024-01-01 13:30:00,0.001,0.001,0.001,0.1921759397255878,0.0,1.5
2024-01-01 13:45:00,0.001,0.001,0.001,0.1699759397255878,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.001,0.2183759397255878,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.001,0.195237661666784,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.001,0.2308237423726735,0.0,0.0
2024-01-01 14:45:00,0.001,1.4722013236727856,0.001,0.2492147678040335,0.0,0.0
2024-01-01 15:00:00,0.001,1.954200059956906,0.001,0.0973759397255878,0.0,0.0
2024-01-01 15:15:00,0.001,1.6200243860984527,0.001,0.17780836096865038,0.0,0.0
2024-01-01 15:30:00,0.001,0.2757115776730087,0.001,0.34225219735291434,0.0,0.9
2024-01-01 15:45:00,0.001,0.46494382294464626,0.001,0.34225219735291434,0.0,1.5
2024-01-01 16:00:00,0.001,0.001,0.001,0.35998754560783236,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.4375855306862476,0.0,0.8
2024-01-01 16:30:00,0.001,0.001,0.001,0.32125219735291427,0.0,1.5
2024-01-01 16:45:00,0.001,0.001,0.001,0.2342521973529143,0.0,1.5
2024-01-01 17:00:00,0.001,0.001,0.001,0.2342521973529143,0.0,0.8
2024-01-01 17:15:00,0.001,0.001,0.001,0.2211347982352762,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.001,0.7639237423726735,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.001,0.3041904090393402,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.001,0.2015237423726735,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.001,0.21624810113736684,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.001,0.2259816943019837,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.001,0.34225219735291434,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.001,0.3642521973529143,0.0,1.5
2024-01-01 19:15:00,0.001,0.001,0.001,0.4530404468444259,0.0,1.5
2024-01-01 19:30:00,0.001,0.001,0.001,0.4259814344707002,0.0,0.1
2024-01-01 19:45:00,0.001,0.001,0.001,0.9537237423726734,0.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.001,0.3225237423726735,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.001,0.3225237423726735,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.001,0.3582252072746164,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.001,0.4884601114771388,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.001,0.48041886401958095,0.0,1.2
2024-01-01 21:15:00,0.001,0.001,0.001,0.3962855306862476,0.0,1.5
2024-01-01 21:30:00,0.001,0.001,0.001,0.3275521973529143,0.0,0.9
2024-01-01 21:45:00,0.001,0.001,0.001,0.25391043947058284,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.001,0.18233333333333332,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.001,0.285,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.001,0.11706666666666667,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.001,0.164,0.0,0.6
2024-01-02 00:00:00,0.001,0.001,0.001,0.07600000000000001,0.0,1.5
2024-01-02 00:15:00,0.001,0.001,0.001,0.054,0.0,0.6
2024-01-02 00:30:00,0.001,0.001,0.001,0.054,0.0,0.5
2024-01-02 00:45:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-02 01:00:00,0.001,0.001,0.001,0.054,0.0,1.3
2024-01-02 01:15:00,0.001,0.001,0.001,0.15666666666666668,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.001,0.08333333333333333,0.0,0.0
2024-01-02 01:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 02:15:00,0.001,0.001,0.001,0.054,0.0,0.6
2024-01-02 02:30:00,0.001,0.001,0.001,0.054,0.0,1.4
2024-01-02 02:45:00,0.001,0.001,0.001,0.14933333333333335,0.0,0.0
2024-01-02 03:00:00,0.001,0.001,0.001,0.09066666666666667,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.001,0.054,0.0,0.6
2024-01-02 03:45:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-02 04:00:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-02 04:15:00,0.001,0.001,0.001,0.142,0.0,0.6
2024-01-02 04:30:00,0.001,0.001,0.001,0.098,6.533333333333333,0.0
2024-01-02 04:45:00,0.001,0.001,0.001,0.054,2.8,0.0
2024-01-02 05:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 05:15:00,0.001,0.001,0.001,0.054,0.0,1.3
2024-01-02 05:30:00,0.001,0.001,0.001,0.054,0.0,0.8
2024-01-02 05:45:00,0.001,0.001,0.001,0.13466666666666666,0.0,0.0
2024-01-02 06:00:00,0.001,0.001,0.001,0.10533333333333333,0.0,0.0
2024-01-02 06:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 06:30:00,0.001,0.001,0.001,0.054,0.0,0.3
2024-01-02 06:45:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-02 07:00:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-02 07:15:00,0.001,0.001,0.001,1.5667333333333333,0.0,0.1
2024-01-02 07:30:00,0.001,0.001,0.001,1.712,0.0,0.0
2024-01-02 07:45:00,0.001,0.001,0.001,0.054,0.9333333333333333,0.5
2024-01-02 08:00:00,0.001,0.001,0.001,0.054,4.2,1.5
2024-01-02 08:15:00,0.001,0.001,0.001,0.4538,0.0,0.7
2024-01-02 08:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 08:45:00,0.001,0.001,0.001,0.12346666666666666,0.0,0.0
2024-01-02 09:00:00,0.001,0.001,0.001,0.13299999999999998,0.0,0.0
2024-01-02 09:15:00,0.001,0.001,0.001,0.067,0.0,0.0
2024-01-02 09:30:00,0.001,0.001,0.001,0.067,0.0,0.6
2024-01-02 09:45:00,0.001,0.001,0.001,0.5114666666666666,0.0,1.5
2024-01-02 10:00:00,0.001,0.001,0.001,2.6963333333333335,0.0,0.0
2024-01-02 10:15:00,0.05373565240384421,0.001,0.001,0.12566666666666668,0.0,0.0
2024-01-02 10:30:00,0.7920347860576631,0.001,0.001,0.2613333333333333,0.0,0.0
2024-01-02 10:45:00,0.7920347860576631,0.001,0.001,0.188,0.0,0.0
2024-01-02 11:00:00,0.7920347860576631,0.001,0.001,0.18453333333333333,0.0,0.0
2024-01-02 11:15:00,0.7920347860576631,0.001,0.001,0.1820942454236041,0.0,0.0
2024-01-02 11:30:00,0.7920347860576631,0.001,0.001,0.7334237423726736,6.533333333333333,0.0
2024-01-02 11:45:00,0.7920347860576631,0.001,0.001,2.964357075706007,2.3333333333333335,0.2
2024-01-02 12:00:00,0.7920347860576631,0.001,0.001,0.25049040903934017,0.0,1.5
2024-01-02 12:15:00,0.7920347860576631,0.001,0.001,0.1698237423726735,0.0,1.0
2024-01-02 12:30:00,0.7920347860576631,0.001,0.001,0.6107294969490694,0.0,0.0
2024-01-02 12:45:00,0.7920347860576631,0.001,0.001,0.19383549288116195,0.0,0.0
2024-01-02 13:00:00,0.7920347860576631,0.001,0.001,0.2230104090393402,0.0,0.0
2024-01-02 13:15:00,0.7920347860576631,0.001,0.001,0.3665237423726735,0.0,0.0
2024-01-02 13:30:00,0.7920347860576631,0.001,0.001,0.3621237423726735,0.0,0.0
2024-01-02 13:45:00,0.5810921764422863,0.001,0.001,0.2015237423726735,0.0,0.0
2024-01-02 14:00:00,0.001,0.001,0.001,0.1967942454236041,0.0,0.1
2024-01-02 14:15:00,0.001,0.001,0.001,0.19600599593209253,0.0,1.5
2024-01-02 14:30:00,0.001,0.001,0.001,0.21765707570600684,0.0,1.5
2024-01-02 14:45:00,0.001,0.001,0.001,0.3812704090393402,0.0,0.7
2024-01-02 15:00:00,0.001,0.001,0.001,0.5135457932353935,0.0,0.0
2024-01-02 15:15:00,0.001,0.001,0.001,0.3540759397255878,0.0,0.0
2024-01-02 15:30:00,0.001,0.001,0.001,0.36447593972558784,0.0,0.0
2024-01-02 15:45:00,0.001,0.001,0.001,0.3607699437934953,0.0,0.0
2024-01-02 16:00:00,0.001,0.001,0.001,0.3047487175293867,0.0,0.0
2024-01-02 16:15:00,0.001,0.001,0.001,0.2294333333333333,0.0,0.0
2024-01-02 16:30:00,0.001,0.001,0.001,0.31550494472547047,0.0,0.0
2024-01-02 16:45:00,0.001,0.001,0.001,0.2212521973529143,0.0,0.0
2024-01-02 17:00:00,0.001,0.001,0.001,0.2212521973529143,0.0,0.0
2024-01-02 17:15:00,0.001,0.001,0.001,0.17601886401958095,0.0,1.5
2024-01-02 17:30:00,0.001,0.001,0.001,1.1085521973529142,0.0,0.5
2024-01-02 17:45:00,0.001,0.001,0.001,1.9730945052548876,0.0,0.0
2024-01-02 18:00:00,0.001,0.001,0.001,0.285,0.0,0.0
2024-01-02 18:15:00,0.001,0.001,0.001,0.175,0.0,0.0
2024-01-02 18:30:00,0.001,0.001,0.001,0.175,0.0,0.0
2024-01-02 18:45:00,0.001,0.001,0.001,0.11046666666666667,0.0,0.0
2024-01-02 19:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 19:15:00,0.001,0.001,0.001,0.06866666666666667,0.0,0.0
2024-01-02 19:30:00,0.001,0.001,0.001,0.164,0.0,0.0
2024-01-02 19:45:00,0.001,0.001,0.001,0.06133333333333334,0.0,0.0
2024-01-02 20:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 20:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 20:30:00,0.001,0.001,0.001,0.15665279526934725,0.0,0.0
2024-01-02 20:45:00,0.001,0.001,0.001,0.22570927305892113,0.0,1.3
2024-01-02 21:00:00,0.001,0.001,0.001,0.32837593972558776,0.0,0.8
2024-01-02 21:15:00,0.001,0.001,0.001,0.23304260639225446,0.0,0.0
2024-01-02 21:30:00,0.001,0.001,0.001,0.3313092730589211,0.0,0.0
2024-01-02 21:45:00,0.001,0.001,0.001,0.8640331306366344,0.0,0.0
2024-01-02 22:00:00,0.001,0.001,0.001,0.21443469226802997,0.0,0.7
2024-01-02 22:15:00,0.001,0.001,0.001,0.2183759397255878,0.0,1.5
2024-01-02 22:30:00,0.001,0.001,0.001,0.32837593972558776,0.0,0.8
2024-01-02 22:45:00,0.001,0.001,0.001,0.23189593972558778,0.0,0.0
2024-01-02 23:00:00,0.001,0.001,0.001,0.06871991522620302,0.0,0.0
2024-01-02 23:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-02 23:30:00,0.001,0.001,0.001,0.15325073245097143,0.0,0.0
2024-01-02 23:45:00,0.001,0.001,0.001,0.3275521973529143,0.0,0.0
2024-01-03 00:00:00,0.001,0.001,0.001,0.430218864019581,0.0,0.3
2024-01-03 00:15:00,0.001,0.001,0.001,0.3568855306862477,0.0,1.5
2024-01-03 00:30:00,0.001,0.001,0.001,0.8041521973529143,0.0,0.9
2024-01-03 00:45:00,0.001,0.001,0.001,0.18024725262744382,0.0,0.0
2024-01-03 01:00:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 01:15:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 01:30:00,0.001,0.001,0.001,0.2850333333333333,0.0,0.6
2024-01-03 01:45:00,0.001,0.001,0.001,0.22636666666666666,0.0,1.5
2024-01-03 02:00:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.3
2024-01-03 02:15:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 02:30:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 02:45:00,0.001,0.001,0.001,0.7227666666666667,0.0,0.0
2024-01-03 03:00:00,0.001,0.001,0.001,0.2777,0.0,0.0
2024-01-03 03:15:00,0.001,0.001,0.001,0.23369999999999996,0.0,0.0
2024-01-03 03:30:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 03:45:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 04:00:00,0.001,0.001,0.001,0.18969999999999995,0.0,1.1
2024-01-03 04:15:00,0.001,0.001,0.001,0.18969999999999995,0.0,1.5
2024-01-03 04:30:00,0.001,0.001,0.001,0.27036666666666664,0.0,1.5
2024-01-03 04:45:00,0.001,0.001,0.001,0.2410333333333333,0.0,0.0
2024-01-03 05:00:00,0.001,0.001,0.001,0.18969999999999995,2.8,0.0
2024-01-03 05:15:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.0
2024-01-03 05:30:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.6
2024-01-03 05:45:00,0.001,0.001,0.001,0.18969999999999995,0.0,1.5
2024-01-03 06:00:00,0.001,0.001,0.001,0.2630333333333333,0.0,0.4
2024-01-03 06:15:00,0.001,0.001,0.001,0.24836666666666662,0.0,0.0
2024-01-03 06:30:00,0.001,0.001,0.001,0.18969999999999995,0.0,1.4
2024-01-03 06:45:00,0.001,0.001,0.001,0.18969999999999995,0.0,0.6
2024-01-03 07:00:00,0.001,0.001,0.001,0.10827999999999999,0.0,0.0
2024-01-03 07:15:00,0.001,0.001,0.001,0.06006666666666667,0.0,0.0
2024-01-03 07:30:00,0.001,0.001,0.001,0.13299999999999998,0.0,0.0
2024-01-03 07:45:00,0.001,0.001,0.001,0.13299999999999998,0.0,0.4
2024-01-03 08:00:00,0.001,0.001,0.001,0.067,0.0,1.5
2024-01-03 08:15:00,0.001,0.001,0.001,0.0566,0.0,1.5
2024-01-03 08:30:00,0.001,0.001,0.001,0.054,0.0,0.2
2024-01-03 08:45:00,0.001,0.001,0.001,0.06353333333333334,0.0,0.0
2024-01-03 09:00:00,0.001,0.001,0.001,0.12566666666666668,2.3333333333333335,0.0
2024-01-03 09:15:00,0.001,0.001,0.001,0.7800666666666667,3.2666666666666666,1.3
2024-01-03 09:30:00,0.001,0.001,0.001,1.9862000000000002,0.0,1.1
2024-01-03 09:45:00,0.001,0.001,0.001,0.057466666666666666,0.0,0.0
2024-01-03 10:00:00,0.001,0.001,0.001,0.06093333333333333,0.0,0.0
2024-01-03 10:15:00,0.001,0.001,0.001,0.15573333333333333,0.0,0.0
2024-01-03 10:30:00,0.001,1.3312494268995703,0.001,0.24406283028240275,0.0,0.0
2024-01-03 10:45:00,0.001,1.9120072957021788,0.001,0.27875707570600683,0.0,0.0
2024-01-03 11:00:00,0.001,1.975589256962361,0.001,0.18682374237267352,0.0,0.2
2024-01-03 11:15:00,0.001,1.7335662512467718,0.001,0.18682374237267352,0.0,1.5
2024-01-03 11:30:00,0.001,0.08761334898773074,0.001,0.09809040903934017,3.7333333333333334,1.5
2024-01-03 11:45:00,0.001,0.001,0.001,0.0587294969490694,0.9333333333333333,1.4
2024-01-03 12:00:00,0.001,0.001,0.001,0.098,0.0,0.0
2024-01-03 12:15:00,0.001,0.001,0.001,0.15153333333333335,0.0,0.0
2024-01-03 12:30:00,0.001,0.001,0.001,0.067,0.0,0.0
2024-01-03 12:45:00,0.001,0.001,0.001,0.067,0.0,0.0
2024-01-03 13:00:00,0.001,0.001,0.001,0.09644871752938668,0.0,0.0
2024-01-03 13:15:00,0.001,0.001,0.001,0.10028960842620821,0.0,1.2
2024-01-03 13:30:00,0.001,0.001,0.001,0.1340426063922545,0.0,0.9
2024-01-03 13:45:00,0.001,0.001,0.001,0.19270927305892116,0.0,0.9
2024-01-03 14:00:00,0.001,0.001,0.001,0.0973759397255878,0.0,1.5
2024-01-03 14:15:00,0.001,0.001,0.001,0.06845420303670562,0.0,1.5
2024-01-03 14:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 14:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 15:00:00,0.001,0.001,0.001,0.08333333333333333,0.0,0.0
2024-01-03 15:15:00,0.001,0.001,0.001,0.15666666666666668,0.0,0.0
2024-01-03 15:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 15:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 16:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 16:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 16:30:00,0.001,0.001,0.001,0.07600000000000001,0.0,0.0
2024-01-03 16:45:00,0.001,0.001,0.001,0.164,0.0,0.0
2024-01-03 17:00:00,0.001,0.001,0.001,0.054,5.133333333333334,0.0
2024-01-03 17:15:00,0.001,0.001,0.001,0.054,1.4,0.0
2024-01-03 17:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 17:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 18:00:00,0.001,0.001,0.001,0.06866666666666667,0.0,0.0
2024-01-03 18:15:00,0.001,0.001,0.001,0.164,0.0,0.0
2024-01-03 18:30:00,0.001,0.001,0.001,0.06133333333333334,0.0,0.0
2024-01-03 18:45:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 19:00:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 19:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 19:30:00,0.001,0.001,0.001,0.06133333333333333,0.0,0.0
2024-01-03 19:45:00,0.001,0.001,0.001,0.164,0.0,0.0
2024-01-03 20:00:00,0.001,0.001,0.001,0.06866666666666667,0.0,0.0
2024-01-03 20:15:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 20:30:00,0.001,0.001,0.001,0.054,0.0,0.0
2024-01-03 20:45:00,0.001,0.001,0.001,0.054,0.0,1.0
2024-01-03 21:00:00,0.001,0.001,0.001,0.17070599593209254,0.0,1.0
2024-01-03 21:15:00,0.001,0.001,0.001,0.28769535376481065,0.0,0.0
2024-01-03 21:30:00,0.001,0.001,0.001,0.3613759397255878,0.0,0.0
2024-01-03 21:45:00,0.001,0.001,0.001,0.33937593972558777,0.0,0.0
2024-01-03 22:00:00,0.001,0.001,0.001,0.7391759397255878,0.0,0.0
2024-01-03 22:15:00,0.001,0.001,0.001,0.33937593972558777,0.0,0.0
2024-01-03 22:30:00,0.001,0.001,0.001,0.2517947558483777,0.0,0.0
2024-01-03 22:45:00,0.001,0.001,0.001,0.5564666666666667,0.0,1.4
2024-01-03 23:00:00,0.001,0.001,0.001,0.08963932926542587,0.0,1.5
2024-01-03 23:15:00,0.001,0.001,0.001,0.06582374237267351,0.0,1.5
2024-01-03 23:30:00,0.001,0.001,0.001,0.06582374237267351,0.0,0.1
2024-01-03 23:45:00,0.001,0.001,0.001,0.06582374237267351,0.0,0.0
2024-01-04 00:00:00,0.001,0.001,0.001,0.06582374237267351,0.0,0.0
2024-01-04 00:15:00,0.001,0.001,0.001,0.15800407773996059,0.0,1.1
2024-01-04 00:30:00,0.001,0.001,0.001,0.09066666666666667,0.0,1.5
2024-01-04 00:45:00,0.001,0.001,0.001,0.054,0.0,1.5
2024-01-04 01:00:00,0.001,0.001,0.001,0.054,0.0,0.2
2024-01-04 01:15:00,0.001,0.001,0.001,0.054,0.0,0.0
