,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.2504589938981388,0.0,1.6
2024-01-01 00:15:00,0.001,0.0,0.13536813156860952,0.0,3.0
2024-01-01 00:30:00,0.001,0.0,0.615618864019581,0.0,3.0
2024-01-01 00:45:00,0.001,0.0,0.08255219735291432,0.0,3.0
2024-01-01 01:00:00,0.001,0.0,1.1486855306862476,0.0,0.6
2024-01-01 01:15:00,0.001,0.0,0.653618864019581,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.26203479823527615,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.11433333333333333,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.089,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.241,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.11433333333333333,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.089,0.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.241,0.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.11433333333333333,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.051,15.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.051,15.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.051,15.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.089,8.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.241,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.11433333333333333,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.051,0.0,0.4
2024-01-01 07:15:00,0.001,0.0,0.089,0.0,2.6
2024-01-01 07:30:00,0.001,0.0,0.241,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.11433333333333333,9.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.5840666666666666,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.089,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.241,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.11433333333333333,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 10:00:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.089,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.241,0.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.11433333333333333,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.06713333333333332,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.172,0.0,0.0
2024-01-01 11:45:00,0.001,0.0,0.6098,0.0,0.0
2024-01-01 12:00:00,0.001,0.0,0.362,0.0,0.0
2024-01-01 12:15:00,0.001,0.0,0.2353333333333333,0.0,0.0
2024-01-01 12:30:00,0.001,0.0,0.185,0.0,0.0
2024-01-01 12:45:00,0.001,0.0,0.064,0.0,0.0
2024-01-01 13:00:00,0.001,0.15033333333333332,1.6201333333333332,0.0,0.0
2024-01-01 13:15:00,0.001,2.25,2.0254666666666665,0.0,0.0
2024-01-01 13:30:00,0.001,1.0505333333333333,0.362,0.0,0.0
2024-01-01 13:45:00,0.001,1.2004666666666668,0.2353333333333333,0.0,0.0
2024-01-01 14:00:00,0.001,0.0006000000000000001,0.17633333333333334,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,0.12107074440662724,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.0758237423726735,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.5136237423726736,0.0,0.0
2024-01-01 15:00:00,0.001,0.0,0.3498104090393402,0.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.12615707570600684,0.0,0.0
2024-01-01 15:30:00,0.001,0.0,0.1985237423726735,11.0,0.0
2024-01-01 15:45:00,0.001,0.0,0.19300599593209253,0.0,0.0
2024-01-01 16:00:00,0.001,0.0,0.18669999999999998,0.0,0.0
2024-01-01 16:15:00,0.001,0.0,0.22469999999999998,0.0,1.0
2024-01-01 16:30:00,0.001,0.0,0.3767,0.0,1.8
2024-01-01 16:45:00,0.001,0.0,0.27264018701314235,0.0,0.0
2024-01-01 17:00:00,0.001,0.0,0.2300759397255878,0.0,0.0
2024-01-01 17:15:00,0.001,0.0,0.2300759397255878,0.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.2300759397255878,0.0,0.0
2024-01-01 17:45:00,0.001,0.0,0.2680759397255878,0.0,0.0
2024-01-01 18:00:00,0.001,0.0,0.9564983324013581,9.0,0.0
2024-01-01 18:15:00,0.001,0.0,2.3980243587646934,3.0,0.0
2024-01-01 18:30:00,0.001,0.0,2.070318864019581,0.0,0.0
2024-01-01 18:45:00,0.001,0.0,0.5383855306862476,0.0,0.0
2024-01-01 19:00:00,0.001,0.0,2.483711191251053,0.0,0.0
2024-01-01 19:15:00,0.001,0.0,1.8025057932353934,0.0,0.0
2024-01-01 19:30:00,0.001,0.0,0.5978437423726735,0.0,0.0
2024-01-01 19:45:00,0.001,0.0,0.38285707570600686,0.0,0.0
2024-01-01 20:00:00,0.001,0.0,0.30821033350333665,0.0,0.0
2024-01-01 20:15:00,0.001,0.0,0.33925219735291434,0.0,0.0
2024-01-01 20:30:00,0.001,0.7503333333333333,0.3494994407425647,0.0,0.0
2024-01-01 20:45:00,0.001,2.25,0.29860927305892115,0.0,0.0
2024-01-01 21:00:00,0.001,0.9006000000000001,0.3811759397255878,0.0,0.0
2024-01-01 21:15:00,0.001,0.7506666666666667,0.1324675151765897,0.0,0.0
2024-01-01 21:30:00,0.001,0.0002666666666666667,0.11929040903934017,0.0,0.0
2024-01-01 21:45:00,0.001,0.0,0.17515299796604628,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.19513827805880382,0.0,0.0
2024-01-01 22:15:00,0.001,0.0,0.2415521973529143,0.0,0.0
