,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.0,0.001,0.3346666666666667,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.27348633129937966,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.3121570757060068,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.0648237423726735,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.4646237423726735,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.08549040903934017,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.29345899389813884,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.2533333333333333,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.06566666666666666,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.31953333333333334,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.4125333333333333,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.184,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.243,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.10366666666666666,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.06333333333333332,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.208,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.07366666666666667,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.243,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.14166666666666666,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.13566666666666669,3.7333333333333334
2024-01-01 05:45:00,0.001,0.0,0.001,0.15633333333333332,3.7333333333333334
2024-01-01 06:00:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.205,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.17966666666666667,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.208,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.084,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.16699999999999998,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.29,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.16666666666666666,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.13333333333333333,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.8004666666666667,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.12000000000000001,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.10218666666666666,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.19996666666666665,0.0
2024-01-01 10:00:00,0.001,0.0,0.04455419540545832,0.2887,0.0
2024-01-01 10:15:00,0.001,0.0,0.20731554370726968,0.5027,5.133333333333334
2024-01-01 10:30:00,0.001,0.0,0.8902552693618025,0.23936666666666664,7.0
2024-01-01 10:45:00,0.001,0.0,0.42325419234686357,0.7037666666666667,2.8
2024-01-01 11:00:00,0.001,0.0,0.1434758900354722,0.3227,0.0
2024-01-01 11:15:00,0.001,0.0,0.24618820814434933,0.45703333333333335,0.0
2024-01-01 11:30:00,0.001,0.0,0.67508669111518,1.1458333333333333,0.0
2024-01-01 11:45:00,0.001,0.0,0.10709226375653774,0.5237,0.0
2024-01-01 12:00:00,0.001,0.0,0.21072525923273164,1.5624333333333333,0.0
2024-01-01 12:15:00,0.001,0.0,0.9959464484620395,2.515633333333333,0.0
2024-01-01 12:30:00,0.001,0.0,1.1512204811753755,0.7138491615817824,3.7333333333333334
2024-01-01 12:45:00,0.001,0.0,0.15392557377093488,0.3655237423726735,7.0
2024-01-01 13:00:00,0.001,0.0,0.17367506367595334,0.5176570757060068,4.666666666666667
2024-01-01 13:15:00,0.001,0.0,0.3801110704258784,0.4555237423726735,0.0
2024-01-01 13:30:00,0.001,0.0,0.4848631906614292,0.5989426063922544,0.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.5458445245843865,0.0
2024-01-01 14:00:00,0.001,0.0,0.001,0.4843855306862476,0.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.38321886401958094,0.0
2024-01-01 14:30:00,0.001,0.0,0.001,0.21640695964705525,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.3316666666666667,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.21644871752938669,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.29455219735291427,0.0
2024-01-01 15:30:00,0.001,0.0,0.001,0.4024855306862476,0.0
2024-01-01 15:45:00,0.001,0.0,0.001,0.2834855306862476,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.14216117192155428,0.0
2024-01-01 16:15:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.091,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,0.274,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,0.25866666666666666,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 17:45:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 18:00:00,0.001,0.0,0.001,0.3463333333333333,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.22433333333333336,0.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 18:45:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.07366666666666667,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.3735844131072476,0.0
2024-01-01 19:30:00,0.001,0.0,0.001,0.45609040903934017,0.0
2024-01-01 19:45:00,0.001,0.0,0.001,0.6087620204314774,0.0
2024-01-01 20:00:00,0.001,0.0,0.001,0.2173759397255878,0.0
2024-01-01 20:15:00,0.001,0.0,0.001,0.3103759397255878,0.0
2024-01-01 20:30:00,0.001,0.0,0.001,0.37693469226803,0.0
2024-01-01 20:45:00,0.001,0.0,0.001,0.3862252072746164,0.0
2024-01-01 21:00:00,0.001,0.0,0.001,0.3215237423726735,0.0
2024-01-01 21:15:00,0.001,0.0,0.001,0.4065605555295344,0.0
2024-01-01 21:30:00,0.001,0.0,0.001,0.6290759397255877,0.0
2024-01-01 21:45:00,0.001,0.0,0.001,0.5660131094431851,0.0
2024-01-01 22:00:00,0.001,0.0,0.001,0.6585581932850069,0.0
2024-01-01 22:15:00,0.001,0.0,0.001,0.4544759397255878,0.0
2024-01-01 22:30:00,0.001,0.0,0.001,0.4189147678040335,0.0
2024-01-01 22:45:00,0.001,0.0,0.001,0.4311675151765897,0.0
2024-01-01 23:00:00,0.001,0.0,0.001,0.4878759397255878,0.0
2024-01-01 23:15:00,0.001,0.0,0.001,0.6561934448104721,0.0
2024-01-01 23:30:00,0.001,0.0,0.001,0.4483855306862477,0.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.5072876902340763,0.0
2024-01-02 00:00:00,0.001,0.0,0.001,0.4314341818432564,0.0
2024-01-02 00:15:00,0.001,0.0,0.001,0.3215237423726735,0.0
2024-01-02 00:30:00,0.001,0.0,0.001,0.5115237423726735,0.0
2024-01-02 00:45:00,0.001,0.0,0.001,0.4825237423726735,0.0
2024-01-02 01:00:00,0.001,0.0,0.001,0.3962266666666666,0.0
2024-01-02 01:15:00,0.001,0.0,0.001,0.07289040903934017,0.0
2024-01-02 01:30:00,0.001,0.0,0.001,0.0648237423726735,0.0
2024-01-02 01:45:00,0.001,0.0,0.001,0.21682374237267352,0.0
2024-01-02 02:00:00,0.001,0.0,0.001,0.3345805767229837,0.0
2024-01-02 02:15:00,0.001,0.0,0.001,0.09433333333333334,0.0
2024-01-02 02:30:00,0.001,0.0,0.001,0.053,0.0
2024-01-02 02:45:00,0.001,0.0,0.001,0.1498,0.0
2024-01-02 03:00:00,0.001,0.0,0.001,0.8830666666666667,0.0
2024-01-02 03:15:00,0.001,0.0,0.001,0.46266666666666667,0.0
2024-01-02 03:30:00,0.001,0.0,0.001,0.174,0.0
2024-01-02 03:45:00,0.001,0.0,0.001,0.1950347982352762,0.0
2024-01-02 04:00:00,0.001,0.0,0.001,0.16521886401958097,0.0
2024-01-02 04:15:00,0.001,0.0,0.001,0.2948855306862476,0.0
2024-01-02 04:30:00,0.001,0.0,0.001,0.32621886401958095,0.0
2024-01-02 04:45:00,0.001,0.0,0.001,0.09301190437252572,0.0
2024-01-02 05:00:00,0.001,0.0,0.001,0.053,0.0
2024-01-02 05:15:00,0.001,0.0,0.001,0.10466666666666666,0.0
2024-01-02 05:30:00,0.001,0.0,0.001,0.22533333333333333,2.8
2024-01-02 05:45:00,0.001,0.0,0.001,0.243,7.0
2024-01-02 06:00:00,0.001,0.0,0.001,0.10366666666666666,6.533333333333333
2024-01-02 06:15:00,0.001,0.0,0.001,0.053,0.0
2024-01-02 06:30:00,0.001,0.0,0.001,0.177,0.0
2024-01-02 06:45:00,0.001,0.0,0.001,0.11499999999999999,0.0
2024-01-02 07:00:00,0.001,0.0,0.001,0.243,2.8
2024-01-02 07:15:00,0.001,0.0,0.001,0.5414666666666667,1.8666666666666667
2024-01-02 07:30:00,0.001,0.0,0.001,0.09433333333333334,0.0
2024-01-02 07:45:00,0.001,0.0,0.001,0.48059999999999997,0.0
2024-01-02 08:00:00,0.001,0.0,0.030528685607001272,2.1819333333333333,0.0
2024-01-02 08:15:00,0.3701495668269094,0.0,0.13127529386954348,1.4912,0.0
2024-01-02 08:30:00,0.7920347860576631,0.0,0.4035889908621166,0.19266666666666668,0.0
2024-01-02 08:45:00,0.7920347860576631,0.0,0.967440270205737,0.5768666666666667,0.0
2024-01-02 09:00:00,0.7920347860576631,0.0,0.127732778090345,1.8756666666666668,0.0
2024-01-02 09:15:00,0.7920347860576631,0.0,0.2795297395044324,3.436,0.0
2024-01-02 09:30:00,0.7920347860576631,0.0,0.6215710321512413,2.202,0.0
2024-01-02 09:45:00,0.7920347860576631,0.0,0.14483182563310534,0.26481966463271295,0.0
2024-01-02 10:00:00,0.7920347860576631,0.0,0.12370632987967563,0.23109040903934017,0.0
2024-01-02 10:15:00,0.7920347860576631,0.0,0.4627587167084743,0.0778237423726735,0.0
2024-01-02 10:30:00,0.7920347860576631,0.0,1.7921499552981397,0.0778237423726735,0.0
2024-01-02 10:45:00,0.7920347860576631,0.0,0.10716399965674288,0.26422374237267354,0.0
2024-01-02 11:00:00,0.7920347860576631,0.0,0.13654650227945514,0.3628040777399606,0.0
2024-01-02 11:15:00,0.6865634812499747,0.0,0.2432091648742815,0.5481333333333333,0.0
2024-01-02 11:30:00,0.001,0.0,0.7002896214021729,0.7193333333333333,0.0
2024-01-02 11:45:00,0.001,0.0,0.10510630079405671,0.3467611719215543,4.2
2024-01-02 12:00:00,0.001,0.0,0.19214710767787047,0.16428553068624765,7.0
2024-01-02 12:15:00,0.001,0.0,1.2027958555259315,0.5635521973529143,7.0
2024-01-02 12:30:00,0.001,0.0,0.10547570046788418,0.27868553068624763,5.133333333333334
2024-01-02 12:45:00,0.001,0.0,0.19810219016477396,0.2055521973529143,0.0
2024-01-02 13:00:00,0.001,0.0,0.4055025913590631,0.17610347982352761,0.0
2024-01-02 13:15:00,0.001,0.0,0.45188089508402235,0.20246666666666666,0.0
2024-01-02 13:30:00,0.001,0.0,0.11496419182045223,0.336,0.0
2024-01-02 13:45:00,0.001,0.0,0.30229283432497456,0.14166666666666666,0.0
2024-01-02 14:00:00,0.001,0.0,1.9337103493254595,0.053,0.0
2024-01-02 14:15:00,0.001,0.0,0.1364252346954003,0.06333333333333332,0.0
2024-01-02 14:30:00,0.001,0.0,0.16296581508691743,0.208,0.0
2024-01-02 14:45:00,0.001,0.0,0.24201605146578084,0.22566666666666665,0.0
2024-01-02 15:00:00,0.001,0.0,0.6914044548965439,0.17966666666666667,0.0
2024-01-02 15:15:00,0.001,0.0,0.04708069931470505,0.10534124745755784,0.0
