,WasherDryer,TumbleDryer,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.001,0.038
2024-01-01 00:15:00,0.001,0.001,0.001,0.038
2024-01-01 00:30:00,0.001,0.001,0.001,0.09666666666666666
2024-01-01 00:45:00,0.001,0.001,0.001,0.19126666666666667
2024-01-01 01:00:00,0.001,0.001,0.001,0.159
2024-01-01 01:15:00,0.001,0.001,0.001,0.159
2024-01-01 01:30:00,0.001,0.001,0.001,0.159
2024-01-01 01:45:00,0.001,0.001,0.001,0.4255333333333333
2024-01-01 02:00:00,0.001,0.001,0.001,0.2336
2024-01-01 02:15:00,0.001,0.001,0.001,0.148
2024-01-01 02:30:00,0.001,0.001,0.001,0.04533333333333333
2024-01-01 02:45:00,0.001,0.001,0.001,0.038
2024-01-01 03:00:00,0.001,0.001,0.001,0.038
2024-01-01 03:15:00,0.001,0.001,0.001,0.038
2024-01-01 03:30:00,0.001,0.001,0.001,0.038
2024-01-01 03:45:00,0.001,0.001,0.001,0.13333333333333333
2024-01-01 04:00:00,0.001,0.001,0.001,0.082
2024-01-01 04:15:00,0.001,0.001,0.001,0.038
2024-01-01 04:30:00,0.001,0.001,0.001,0.038
2024-01-01 04:45:00,0.001,0.001,0.001,0.038
2024-01-01 05:00:00,0.001,0.001,0.001,0.5710666666666666
2024-01-01 05:15:00,0.001,0.001,0.001,0.09666666666666666
2024-01-01 05:30:00,0.001,0.001,0.001,0.11866666666666666
2024-01-01 05:45:00,0.001,0.001,0.001,0.041466666666666666
2024-01-01 06:00:00,0.001,0.001,0.001,0.051
2024-01-01 06:15:00,0.001,0.001,0.001,0.051
2024-01-01 06:30:00,0.001,0.001,0.001,0.051
2024-01-01 06:45:00,0.001,0.001,0.001,0.19673333333333332
2024-01-01 07:00:00,0.001,0.001,0.001,0.5478
2024-01-01 07:15:00,0.001,0.001,0.001,0.04533333333333333
2024-01-01 07:30:00,0.001,0.001,0.001,0.038
2024-01-01 07:45:00,0.001,0.001,0.001,0.04588249491511567
2024-01-01 08:00:00,0.001,0.001,0.001,0.0498237423726735
2024-01-01 08:15:00,0.001,0.001,0.001,0.5828904090393401
2024-01-01 08:30:00,0.001,0.001,0.001,0.14515707570600683
2024-01-01 08:45:00,0.001,0.001,0.001,0.7670904090393402
2024-01-01 09:00:00,0.001,0.001,0.001,0.05651774644058097
2024-01-01 09:15:00,0.001,0.001,0.001,0.4508
2024-01-01 09:30:00,0.6338278288461304,0.001,0.001,0.051
2024-01-01 09:45:00,0.7920347860576631,0.001,0.001,0.5762666666666667
2024-01-01 10:00:00,0.7920347860576631,0.001,0.001,0.09666666666666666
2024-01-01 10:15:00,0.7920347860576631,0.001,0.001,0.11866666666666666
2024-01-01 10:30:00,0.7920347860576631,0.001,0.001,0.038
2024-01-01 10:45:00,0.7920347860576631,0.001,0.001,0.04666666666666666
2024-01-01 11:00:00,0.7920347860576631,0.001,0.014266666666666669,0.5840666666666666
2024-01-01 11:15:00,0.7920347860576631,0.001,0.10510630079405671,0.172
2024-01-01 11:30:00,0.7920347860576631,0.001,0.19214710767787047,0.19399999999999998
2024-01-01 11:45:00,0.7920347860576631,0.001,1.2027958555259315,0.27246666666666663
2024-01-01 12:00:00,0.7920347860576631,0.001,0.10547570046788418,0.17933333333333332
2024-01-01 12:15:00,0.7920347860576631,0.001,0.19810219016477396,0.15586666666666665
2024-01-01 12:30:00,0.7920347860576631,0.001,0.4055025913590631,0.051
2024-01-01 12:45:00,0.1064713048076884,0.001,0.45188089508402235,0.045799999999999993
2024-01-01 13:00:00,0.001,0.001,0.11496419182045223,0.14286666666666667
