,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.001,0.13466666666666666,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.23600000000000002,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.09666666666666666,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.046,0.0,1.0
2024-01-01 01:45:00,0.001,0.001,0.2233333333333333,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.19799999999999998,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.12199999999999998,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.23600000000000002,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.10933333333333332,1.8666666666666667,0.0
2024-01-01 04:00:00,0.001,0.001,0.046,7.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.046,6.533333333333333,0.0
2024-01-01 04:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.046,0.0,0.9
2024-01-01 05:00:00,0.001,0.001,0.21066666666666664,0.0,0.1
2024-01-01 05:15:00,0.001,0.001,0.21066666666666664,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.046,1.8666666666666667,0.0
2024-01-01 06:00:00,0.001,0.001,0.046,5.6,0.0
2024-01-01 06:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.10933333333333332,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.23600000000000002,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.12199999999999998,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.046,0.0,0.7
2024-01-01 08:15:00,0.001,0.001,0.19799999999999998,0.0,0.3
2024-01-01 08:30:00,0.001,0.001,0.2233333333333333,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.09666666666666666,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.23600000000000002,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.13466666666666666,0.0,0.0
