,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.07455219735291431,0.0
2024-01-01 00:15:00,0.001,0.28953886401958095,0.0
2024-01-01 00:30:00,0.001,0.1675173991176381,1.3
2024-01-01 00:45:00,0.001,0.07244871752938668,1.5
2024-01-01 01:00:00,0.001,0.07455219735291431,1.5
2024-01-01 01:15:00,0.001,0.07455219735291431,0.8
2024-01-01 01:30:00,0.001,0.1505521973529143,0.2
2024-01-01 01:45:00,0.001,0.23921886401958095,0.6
2024-01-01 02:00:00,0.001,0.061931318411748586,1.3
2024-01-01 02:15:00,0.001,0.3095333333333333,0.0
2024-01-01 02:30:00,0.001,0.17626666666666665,1.2
2024-01-01 02:45:00,0.001,0.06833333333333333,0.5
2024-01-01 03:00:00,0.001,0.233,0.3
2024-01-01 03:15:00,0.001,0.06833333333333333,0.2
2024-01-01 03:30:00,0.001,0.043,0.1
2024-01-01 03:45:00,0.001,0.043,0.1
2024-01-01 04:00:00,0.001,0.043,0.1
2024-01-01 04:15:00,0.001,0.2076666666666667,0.0
2024-01-01 04:30:00,0.001,0.11900000000000001,0.1
2024-01-01 04:45:00,0.001,0.043,0.1
2024-01-01 05:00:00,0.001,0.043,0.2
2024-01-01 05:15:00,0.001,0.0918,0.2
2024-01-01 05:30:00,0.001,0.27899999999999997,0.2
2024-01-01 05:45:00,0.001,0.2916666666666667,0.1
2024-01-01 06:00:00,0.001,0.165,0.3
2024-01-01 06:15:00,0.001,0.165,1.0
2024-01-01 06:30:00,0.001,0.08366666666666665,0.8
2024-01-01 06:45:00,0.001,0.10633333333333334,0.1
2024-01-01 07:00:00,0.001,0.22033333333333335,0.3
2024-01-01 07:15:00,0.001,0.043,0.1
2024-01-01 07:30:00,0.001,0.44279999999999997,0.1
2024-01-01 07:45:00,0.001,0.4722487175293867,0.2
2024-01-01 08:00:00,0.001,0.08721886401958097,0.0
2024-01-01 08:15:00,0.001,0.8019521973529143,0.1
2024-01-01 08:30:00,0.001,0.12555219735291429,1.2
2024-01-01 08:45:00,0.001,0.08755219735291431,0.5
2024-01-01 09:00:00,0.001,0.056,0.1
2024-01-01 09:15:00,0.001,0.056,0.9
2024-01-01 09:30:00,0.001,0.20106666666666667,0.9
2024-01-01 09:45:00,0.001,0.13166666666666668,0.1
2024-01-01 10:00:00,0.001,0.043,0.0
2024-01-01 10:15:00,0.001,0.043,0.1
2024-01-01 10:30:00,0.001,0.043,0.1
2024-01-01 10:45:00,0.001,0.14433333333333334,0.1
2024-01-01 11:00:00,0.001,0.18233333333333335,0.0
2024-01-01 11:15:00,0.001,0.043,0.1
2024-01-01 11:30:00,0.001,0.043,0.1
2024-01-01 11:45:00,0.001,0.043,0.1
2024-01-01 12:00:00,0.001,0.09366666666666666,0.0
2024-01-01 12:15:00,0.001,0.233,0.1
2024-01-01 12:30:00,0.001,0.043,0.1
2024-01-01 12:45:00,0.001,0.043,0.1
2024-01-01 13:00:00,0.001,0.043,0.0
2024-01-01 13:15:00,0.001,0.043,0.1
2024-01-01 13:30:00,0.001,0.233,0.1
2024-01-01 13:45:00,0.001,0.09366666666666666,0.1
2024-01-01 14:00:00,0.001,0.043,0.0
2024-01-01 14:15:00,0.001,0.043,0.1
2024-01-01 14:30:00,0.001,0.043,0.1
2024-01-01 14:45:00,0.001,0.18233333333333335,0.1
2024-01-01 15:00:00,0.001,0.14433333333333334,0.0
2024-01-01 15:15:00,0.001,0.043,0.1
2024-01-01 15:30:00,0.001,0.043,0.1
2024-01-01 15:45:00,0.001,0.043,0.1
2024-01-01 16:00:00,0.001,0.13166666666666668,0.0
2024-01-01 16:15:00,0.001,0.195,0.1
2024-01-01 16:30:00,0.001,0.043,0.1
2024-01-01 16:45:00,0.001,0.043,0.6
2024-01-01 17:00:00,0.001,0.043,1.2
2024-01-01 17:15:00,0.001,0.081,0.1
2024-01-01 17:30:00,0.001,0.233,1.2
2024-01-01 17:45:00,0.001,0.05566666666666666,0.7
2024-01-01 18:00:00,0.001,0.043,0.5
2024-01-01 18:15:00,0.001,0.5241333333333333,1.1
2024-01-01 18:30:00,0.001,0.2982666666666667,0.8
2024-01-01 18:45:00,0.001,0.3536824949151157,1.2
2024-01-01 19:00:00,0.001,0.7862237423726736,1.5
2024-01-01 19:15:00,0.001,0.18982374237267352,0.1
2024-01-01 19:30:00,0.001,0.17282374237267353,0.1
2024-01-01 19:45:00,0.001,0.18015707570600684,0.0
2024-01-01 20:00:00,0.001,0.3526100829098465,1.3
2024-01-01 20:15:00,0.001,0.4315521973529143,1.4
2024-01-01 20:30:00,0.001,0.32306994379349524,0.1
2024-01-01 20:45:00,0.001,0.22450927305892115,0.3
2024-01-01 21:00:00,0.001,0.2002426063922545,0.4
2024-01-01 21:15:00,0.001,0.2791689800785325,0.1
2024-01-01 21:30:00,0.001,0.37204260639225445,0.3
2024-01-01 21:45:00,0.001,0.20737593972558782,0.7
2024-01-01 22:00:00,0.001,0.2002816943019837,0.5
2024-01-01 22:15:00,0.001,0.18082783858822096,0.0
2024-01-01 22:30:00,0.001,0.19905027916078233,0.5
2024-01-01 22:45:00,0.001,0.27637593972558777,0.3
2024-01-01 23:00:00,0.001,0.18444260639225446,0.1
2024-01-01 23:15:00,0.001,0.32937593972558776,0.3
2024-01-01 23:30:00,0.001,0.3230655002550049,1.5
2024-01-01 23:45:00,0.001,0.8308904090393402,0.4
