,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.5983521973529143,0.2
2024-01-01 00:15:00,0.001,0.0,0.001,0.1985521973529143,0.3
2024-01-01 00:30:00,0.001,0.0,0.001,0.2915521973529143,0.1
2024-01-01 00:45:00,0.001,0.0,0.001,0.26890347982352764,0.4
2024-01-01 01:00:00,0.001,0.0,0.001,0.09733333333333333,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.046,0.9
2024-01-01 01:30:00,0.001,0.0,0.001,0.046,0.4
2024-01-01 01:45:00,0.001,0.0,0.001,0.046,0.2
2024-01-01 02:00:00,0.001,0.0,0.001,0.10800000000000001,0.6
2024-01-01 02:15:00,0.001,0.0,0.001,0.29633333333333334,1.5
2024-01-01 02:30:00,0.001,0.0,0.001,0.08266666666666667,1.3
2024-01-01 02:45:00,0.001,0.0,0.001,0.046,0.5
2024-01-01 03:00:00,0.001,0.0,0.001,0.046,0.2
2024-01-01 03:15:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 03:30:00,0.001,0.0,0.001,0.077,0.6
2024-01-01 03:45:00,0.001,0.0,0.001,0.311,1.5
2024-01-01 04:00:00,0.001,0.0,0.001,0.09899999999999999,0.2
2024-01-01 04:15:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 04:30:00,0.001,0.0,0.001,0.4458,1.2
2024-01-01 04:45:00,0.001,0.0,0.001,0.046,0.3
2024-01-01 05:00:00,0.001,0.0,0.001,0.06066666666666667,0.7
2024-01-01 05:15:00,0.001,0.0,0.001,0.44426666666666664,0.3
2024-01-01 05:30:00,0.001,0.0,0.001,0.3818666666666667,0.3
2024-01-01 05:45:00,0.001,0.0,0.001,0.046,0.8
2024-01-01 06:00:00,0.001,0.0,0.001,0.046,0.7
2024-01-01 06:15:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 06:30:00,0.001,0.0,0.001,0.6083999999999999,0.5
2024-01-01 06:45:00,0.001,0.0,0.001,0.27660791412422453,0.3
2024-01-01 07:00:00,0.001,0.0,0.001,0.1508237423726735,0.2
2024-01-01 07:15:00,0.001,0.0,0.001,0.0578237423726735,0.2
2024-01-01 07:30:00,0.001,0.0,0.001,0.0578237423726735,0.4
2024-01-01 07:45:00,0.001,0.0,0.001,0.0578237423726735,0.2
2024-01-01 08:00:00,0.001,0.0,0.001,0.631737411073294,0.3
2024-01-01 08:15:00,0.001,0.0,0.001,0.227,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.17,0.1
2024-01-01 08:45:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 09:00:00,0.001,0.0,0.001,0.046,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.046,0.4
2024-01-01 09:30:00,0.001,0.0,0.001,0.13693333333333335,1.5
2024-01-01 09:45:00,0.001,0.0,0.001,0.30233333333333334,1.5
2024-01-01 10:00:00,0.001,0.0,0.001,1.2553333333333334,1.5
2024-01-01 10:15:00,0.001,0.0,0.001,1.5003333333333333,1.5
2024-01-01 10:30:00,0.001,0.0,0.001,0.167,1.5
2024-01-01 10:45:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 11:00:00,0.001,0.0,0.001,0.11933333333333333,1.5
