,WasherDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.24288553068624763,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.19413827805880382,0.0,1.3333333333333333
2024-01-01 00:30:00,0.001,0.001,0.171,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.23700000000000002,0.0,0.3333333333333333
2024-01-01 01:00:00,0.001,0.001,0.259,0.0,1.6666666666666667
2024-01-01 01:15:00,0.001,0.001,0.15486666666666668,0.0,0.3333333333333333
2024-01-01 01:30:00,0.001,0.001,0.05,0.0,1.0
2024-01-01 01:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.06466666666666668,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.16,0.0,0.3333333333333333
2024-01-01 02:30:00,0.001,0.001,0.07933333333333333,3.7333333333333334,0.3333333333333333
2024-01-01 02:45:00,0.001,0.001,0.05,0.26666666666666666,0.0
2024-01-01 03:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 03:30:00,0.001,0.001,0.12333333333333334,0.0,0.3333333333333333
2024-01-01 03:45:00,0.001,0.001,0.13066666666666665,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.05,2.6666666666666665,0.0
2024-01-01 04:30:00,0.001,0.001,0.05,4.0,0.3333333333333333
2024-01-01 04:45:00,0.001,0.001,0.07200000000000001,0.5333333333333333,0.0
2024-01-01 05:00:00,0.001,0.001,0.16,0.0,0.3333333333333333
2024-01-01 05:15:00,0.001,0.001,0.07200000000000001,2.6666666666666665,0.3333333333333333
2024-01-01 05:30:00,0.001,0.001,0.05,2.4,0.0
2024-01-01 05:45:00,0.001,0.001,0.05,2.4,1.0
2024-01-01 06:00:00,0.001,0.001,0.05,4.0,1.6666666666666667
2024-01-01 06:15:00,0.001,0.001,0.13066666666666665,3.7333333333333334,0.0
2024-01-01 06:30:00,0.001,0.001,0.12333333333333334,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 07:00:00,0.001,0.001,0.05,0.0,1.6666666666666667
2024-01-01 07:15:00,0.001,0.001,0.4498,0.0,0.3333333333333333
2024-01-01 07:30:00,0.001,0.001,0.07933333333333333,0.0,1.6666666666666667
